,STREET,PARTY,COUNT
0,"E GREEN DR, ATHENS",None,541
1,"E GREEN DR, ATHENS",D,26
2,"E GREEN DR, ATHENS",R,7
3,"POSTON RD, THE PLAINS",None,67
4,"POSTON RD, THE PLAINS",D,15
5,"POSTON RD, THE PLAINS",R,10
6,"N MCKINLEY AVE, ATHENS",None,498
7,"N MCKINLEY AVE, ATHENS",D,34
8,"N MCKINLEY AVE, ATHENS",R,16
9,"LUHRIG RD, ATHENS",None,61
10,"LUHRIG RD, ATHENS",D,16
11,"LUHRIG RD, ATHENS",R,9
12,"E STATE ST, ATHENS",None,246
13,"E STATE ST, ATHENS",D,92
14,"E STATE ST, ATHENS",R,25
15,"SR 691, NELSONVILLE",None,207
16,"SR 691, NELSONVILLE",R,48
17,"SR 691, NELSONVILLE",D,44
18,"SR 691, NELSONVILLE",L,1
19,"GLEN DR, ATHENS",None,6
20,"GLEN DR, ATHENS",D,1
21,"LADD RIDGE RD, ATHENS",None,34
22,"LADD RIDGE RD, ATHENS",D,11
23,"LADD RIDGE RD, ATHENS",R,11
24,"BROADWELL ST, STEWART",None,3
25,"BROADWELL ST, STEWART",D,4
26,"SUNNYSIDE DR, ATHENS",None,52
27,"SUNNYSIDE DR, ATHENS",D,41
28,"SUNNYSIDE DR, ATHENS",R,10
29,"MAPLE ST, GLOUSTER",None,11
30,"MAPLE ST, GLOUSTER",R,4
31,"MAPLE ST, GLOUSTER",D,4
32,"GREENBRIER DR, ATHENS",None,9
33,"GREENBRIER DR, ATHENS",D,4
34,"LLEWELLYN RD, NEW MARSHFIELD",None,4
35,"LLEWELLYN RD, NEW MARSHFIELD",D,2
36,"MILLFIELD RD, MILLFIELD",None,30
37,"MILLFIELD RD, MILLFIELD",D,11
38,"MILLFIELD RD, MILLFIELD",R,6
39,"COMMUNITY DR, ATHENS",None,67
40,"COMMUNITY DR, ATHENS",D,6
41,"MORGAN ST, GLOUSTER",None,32
42,"MORGAN ST, GLOUSTER",D,5
43,"MORGAN ST, GLOUSTER",R,2
44,"MILL ST, ATHENS",None,212
45,"MILL ST, ATHENS",D,14
46,"MILL ST, ATHENS",R,5
47,"SR 682, ATHENS",None,74
48,"SR 682, ATHENS",R,11
49,"SR 682, ATHENS",D,21
50,"MONTICELLO DR, ATHENS",None,47
51,"MONTICELLO DR, ATHENS",D,2
52,"MONTICELLO DR, ATHENS",R,1
53,"MEADOWBROOK RD, ALBANY",None,88
54,"MEADOWBROOK RD, ALBANY",R,37
55,"MEADOWBROOK RD, ALBANY",D,15
56,"PLEASANTVIEW AVE, NELSONVILLE",None,25
57,"PLEASANTVIEW AVE, NELSONVILLE",D,3
58,"PLEASANTVIEW AVE, NELSONVILLE",R,4
59,"N COURT ST, ATHENS",None,77
60,"N COURT ST, ATHENS",R,3
61,"N COURT ST, ATHENS",D,6
62,"S CANAAN RD, GUYSVILLE",None,29
63,"S CANAAN RD, GUYSVILLE",R,12
64,"S CANAAN RD, GUYSVILLE",D,7
65,"AYERS RD, ALBANY",None,6
66,"AYERS RD, ALBANY",D,1
67,"AYERS RD, ALBANY",R,3
68,"BAKER RD, ATHENS",None,101
69,"BAKER RD, ATHENS",D,14
70,"BAKER RD, ATHENS",R,12
71,"STEPHEN CIR, ATHENS",None,2
72,"STEPHEN CIR, ATHENS",R,1
73,"STEPHEN CIR, ATHENS",D,1
74,"1/2 S COURT ST, ATHENS",None,45
75,"1/2 S COURT ST, ATHENS",D,4
76,"1/2 PALMER ST, ATHENS",None,11
77,"1/2 PALMER ST, ATHENS",D,1
78,"1/2 W UNION ST, ATHENS",None,21
79,"1/2 W UNION ST, ATHENS",R,1
80,"1/2 W UNION ST, ATHENS",D,3
81,"1/2 N CONGRESS ST, ATHENS",None,19
82,"1/2 N CONGRESS ST, ATHENS",D,3
83,"1/2 N CONGRESS ST, ATHENS",R,1
84,"1/2 S SHANNON AVE, ATHENS",None,2
85,"1/2 PLAYGROUND DR, ATHENS",None,2
86,"E GREEN DR, NELSONVILLE",None,24
87,"HOCKING PARKWAY, NELSONVILLE",None,119
88,"HOCKING PARKWAY, NELSONVILLE",R,5
89,"HOCKING PARKWAY, NELSONVILLE",D,3
90,"SR 78, BUCHTEL",None,22
91,"SR 78, BUCHTEL",D,12
92,"SR 78, BUCHTEL",R,6
93,"RICHLAND AVE, ATHENS",None,468
94,"RICHLAND AVE, ATHENS",D,31
95,"RICHLAND AVE, ATHENS",R,12
96,"1/2 MARY ST, ATHENS",None,1
97,"E STIMSON AVE, ATHENS",None,25
98,"E STIMSON AVE, ATHENS",D,3
99,"STATION ST, ATHENS",None,73
100,"STATION ST, ATHENS",D,7
101,"STATION ST, ATHENS",R,2
102,"BROAD ST, GLOUSTER",None,45
103,"BROAD ST, GLOUSTER",R,8
104,"BROAD ST, GLOUSTER",D,9
105,"S CONGRESS ST, ATHENS",None,167
106,"S CONGRESS ST, ATHENS",R,2
107,"S CONGRESS ST, ATHENS",D,7
108,"S GREEN DR, ATHENS",None,613
109,"S GREEN DR, ATHENS",D,30
110,"S GREEN DR, ATHENS",R,15
111,"MADISON ST, GLOUSTER",None,41
112,"MADISON ST, GLOUSTER",R,7
113,"MADISON ST, GLOUSTER",D,6
114,"JAMES DR, NELSONVILLE",None,7
115,"JAMES DR, NELSONVILLE",R,4
116,"W THIRD ST, THE PLAINS",None,25
117,"W THIRD ST, THE PLAINS",D,11
118,"W THIRD ST, THE PLAINS",R,4
119,"CARRIAGE HILL DR, ATHENS",None,209
120,"CARRIAGE HILL DR, ATHENS",D,24
121,"CARRIAGE HILL DR, ATHENS",R,6
122,"HOCKING ST, ATHENS",None,34
123,"HOCKING ST, ATHENS",D,5
124,"1/2 S CONGRESS ST, ATHENS",None,16
125,"E OXBOW TRL, ATHENS",None,284
126,"E OXBOW TRL, ATHENS",D,15
127,"E OXBOW TRL, ATHENS",R,11
128,"SR 56, NEW MARSHFIELD",None,41
129,"SR 56, NEW MARSHFIELD",R,28
130,"SR 56, NEW MARSHFIELD",D,20
131,"1/2 N COURT ST, ATHENS",None,39
132,"1/2 N COURT ST, ATHENS",D,4
133,"1/2 W STATE ST, ATHENS",None,23
134,"1/2 W STATE ST, ATHENS",D,2
135,"1/2 W WASHINGTON ST, ATHENS",None,11
136,"1/2 W WASHINGTON ST, ATHENS",D,6
137,"1/2 MAIN ST, GLOUSTER",None,3
138,"1/2 MAIN ST, GLOUSTER",R,1
139,"1/2 N LANCASTER ST, ATHENS",None,24
140,"1/2 N LANCASTER ST, ATHENS",D,1
141,"1/2 W STIMSON AVE, ATHENS",None,3
142,"1/2 W STIMSON AVE, ATHENS",D,2
143,"1/2 CENTRAL AVE, ATHENS",None,3
144,"1/2 CENTRAL AVE, ATHENS",D,1
145,"1/2 SPRING ST, ATHENS",None,5
146,"1/2 MORRIS AVE, ATHENS",None,10
147,"1/2 MORRIS AVE, ATHENS",D,4
148,"1/2 S SHAFER ST, ATHENS",None,5
149,"1/2 S SHAFER ST, ATHENS",D,2
150,"1/2 MAPLE ST, ATHENS",None,2
151,"1/2 CLINTON ST, NELSONVILLE",D,1
152,"1/2 CLINTON ST, NELSONVILLE",None,3
153,"1/2 FRANKLIN AVE, ATHENS",None,5
154,"1/2 FRANKLIN AVE, ATHENS",D,2
155,"PLEASANT HILL RD, ATHENS",None,76
156,"PLEASANT HILL RD, ATHENS",R,28
157,"PLEASANT HILL RD, ATHENS",D,42
158,"ELLIOTT ST, ATHENS",None,49
159,"ELLIOTT ST, ATHENS",D,3
160,"ELLIOTT ST, ATHENS",R,1
161,"FERN ST, ATHENS",None,40
162,"FERN ST, ATHENS",D,3
163,"MCLEAN LN, ATHENS",None,7
164,"MCLEAN LN, ATHENS",D,2
165,"FOSTER PL, ATHENS",None,17
166,"FOSTER PL, ATHENS",D,3
167,"ANDOVER RD, ATHENS",None,101
168,"ANDOVER RD, ATHENS",R,6
169,"ANDOVER RD, ATHENS",D,17
170,"RIVERFRONT RD, HOCKINGPORT",None,15
171,"RIVERFRONT RD, HOCKINGPORT",R,1
172,"RIVERFRONT RD, HOCKINGPORT",D,1
173,"ADAMS ST, NELSONVILLE",None,51
174,"ADAMS ST, NELSONVILLE",D,7
175,"ADAMS ST, NELSONVILLE",R,7
176,"RIVERFRONT RD, COOLVILLE",None,32
177,"RIVERFRONT RD, COOLVILLE",R,3
178,"RIVERFRONT RD, COOLVILLE",D,3
179,"HOME ST, ATHENS",None,69
180,"HOME ST, ATHENS",D,19
181,"HOME ST, ATHENS",R,4
182,"ROBBINS RD, NELSONVILLE",None,18
183,"ROBBINS RD, NELSONVILLE",D,4
184,"ROBBINS RD, NELSONVILLE",R,7
185,"SR 690, ATHENS",None,17
186,"SR 690, ATHENS",D,13
187,"SR 690, ATHENS",R,14
188,"RUFUS ST, ATHENS",None,81
189,"RUFUS ST, ATHENS",D,3
190,"RUFUS ST, ATHENS",R,1
191,"S COLLEGE ST, ATHENS",None,83
192,"S COLLEGE ST, ATHENS",D,3
193,"S COLLEGE ST, ATHENS",R,1
194,"1/2 ELMWOOD PL, ATHENS",None,4
