,STREET,AGE_RANGE,PARTY_AFFILIATION
0,"E GREEN DR, ATHENS",0-24,None
1,"E GREEN DR, ATHENS",0-24,None
2,"E GREEN DR, ATHENS",24-44,None
3,"E GREEN DR, ATHENS",0-24,None
4,"E GREEN DR, ATHENS",24-44,None
5,"E GREEN DR, ATHENS",0-24,None
6,"E GREEN DR, ATHENS",0-24,None
7,"E GREEN DR, ATHENS",0-24,None
8,"E GREEN DR, ATHENS",24-44,None
9,"E GREEN DR, ATHENS",0-24,None
10,"E GREEN DR, ATHENS",0-24,None
11,"E GREEN DR, ATHENS",24-44,None
12,"E GREEN DR, ATHENS",24-44,None
13,"E GREEN DR, ATHENS",24-44,None
14,"POSTON RD, THE PLAINS",0-24,None
15,"E GREEN DR, ATHENS",0-24,None
16,"E GREEN DR, ATHENS",24-44,None
17,"E GREEN DR, ATHENS",24-44,None
18,"E GREEN DR, ATHENS",24-44,None
19,"E GREEN DR, ATHENS",24-44,None
20,"E GREEN DR, ATHENS",0-24,None
21,"E GREEN DR, ATHENS",24-44,None
22,"N MCKINLEY AVE, ATHENS",24-44,None
23,"N MCKINLEY AVE, ATHENS",24-44,None
24,"N MCKINLEY AVE, ATHENS",0-24,None
25,"N MCKINLEY AVE, ATHENS",0-24,None
26,"LUHRIG RD, ATHENS",24-44,None
27,"E STATE ST, ATHENS",24-44,None
28,"LUHRIG RD, ATHENS",65+,None
29,"SR 691, NELSONVILLE",0-24,None
30,"GLEN DR, ATHENS",24-44,None
31,"LADD RIDGE RD, ATHENS",24-44,None
32,"E STATE ST, ATHENS",24-44,None
33,"SUNNYSIDE DR, ATHENS",24-44,None
34,"GREENBRIER DR, ATHENS",24-44,None
35,"MILLFIELD RD, MILLFIELD",24-44,None
36,"COMMUNITY DR, ATHENS",24-44,None
37,"MORGAN ST, GLOUSTER",45-64,None
38,"MILL ST, ATHENS",0-24,None
39,"E STATE ST, ATHENS",45-64,None
40,"SR 682, ATHENS",0-24,None
41,"MONTICELLO DR, ATHENS",0-24,None
42,"MEADOWBROOK RD, ALBANY",24-44,None
43,"PLEASANTVIEW AVE, NELSONVILLE",24-44,None
44,"N COURT ST, ATHENS",0-24,None
45,"S CANAAN RD, GUYSVILLE",0-24,None
46,"BAKER RD, ATHENS",65+,None
47,"1/2 S COURT ST, ATHENS",24-44,None
48,"1/2 PALMER ST, ATHENS",24-44,None
49,"1/2 PALMER ST, ATHENS",24-44,None
50,"1/2 S COURT ST, ATHENS",24-44,None
51,"1/2 W UNION ST, ATHENS",24-44,None
52,"1/2 N CONGRESS ST, ATHENS",24-44,None
53,"1/2 S COURT ST, ATHENS",24-44,None
54,"E GREEN DR, NELSONVILLE",24-44,None
55,"HOCKING PARKWAY, NELSONVILLE",0-24,None
56,"HOCKING PARKWAY, NELSONVILLE",0-24,None
57,"SR 78, BUCHTEL",65+,None
58,"RICHLAND AVE, ATHENS",24-44,None
59,"E STIMSON AVE, ATHENS",24-44,None
60,"STATION ST, ATHENS",24-44,None
61,"BROAD ST, GLOUSTER",65+,None
62,"S CONGRESS ST, ATHENS",24-44,None
63,"S GREEN DR, ATHENS",24-44,None
64,"S GREEN DR, ATHENS",24-44,None
65,"MADISON ST, GLOUSTER",24-44,None
66,"S GREEN DR, ATHENS",24-44,None
67,"RICHLAND AVE, ATHENS",24-44,None
68,"W THIRD ST, THE PLAINS",24-44,None
69,"CARRIAGE HILL DR, ATHENS",24-44,None
70,"HOCKING ST, ATHENS",0-24,None
71,"STATION ST, ATHENS",24-44,None
72,"CARRIAGE HILL DR, ATHENS",24-44,None
73,"CARRIAGE HILL DR, ATHENS",0-24,None
74,"HOCKING PARKWAY, NELSONVILLE",0-24,None
75,"E GREEN DR, ATHENS",24-44,None
76,"E GREEN DR, ATHENS",0-24,None
77,"E GREEN DR, ATHENS",0-24,D
78,"E GREEN DR, ATHENS",0-24,None
79,"E GREEN DR, ATHENS",24-44,None
80,"E GREEN DR, ATHENS",24-44,None
81,"E GREEN DR, ATHENS",24-44,None
82,"E GREEN DR, ATHENS",24-44,None
83,"E GREEN DR, ATHENS",0-24,None
84,"E GREEN DR, ATHENS",24-44,None
85,"E GREEN DR, ATHENS",0-24,None
86,"E GREEN DR, ATHENS",24-44,None
87,"E GREEN DR, ATHENS",24-44,None
88,"E GREEN DR, ATHENS",24-44,None
89,"E GREEN DR, ATHENS",0-24,None
90,"E GREEN DR, ATHENS",0-24,None
91,"E GREEN DR, ATHENS",24-44,None
92,"E GREEN DR, ATHENS",0-24,None
93,"E GREEN DR, ATHENS",0-24,None
94,"E GREEN DR, ATHENS",24-44,None
95,"E GREEN DR, ATHENS",0-24,D
96,"E GREEN DR, ATHENS",24-44,None
97,"E GREEN DR, ATHENS",0-24,None
98,"E GREEN DR, ATHENS",24-44,None
99,"E GREEN DR, ATHENS",24-44,None
100,"N MCKINLEY AVE, ATHENS",0-24,None
101,"N MCKINLEY AVE, ATHENS",0-24,None
102,"N MCKINLEY AVE, ATHENS",24-44,None
103,"N MCKINLEY AVE, ATHENS",24-44,None
104,"N MCKINLEY AVE, ATHENS",0-24,None
105,"HOCKING ST, ATHENS",0-24,None
106,"N MCKINLEY AVE, ATHENS",24-44,None
107,"N MCKINLEY AVE, ATHENS",24-44,None
108,"N MCKINLEY AVE, ATHENS",24-44,None
109,"N MCKINLEY AVE, ATHENS",0-24,None
110,"N MCKINLEY AVE, ATHENS",24-44,None
111,"N MCKINLEY AVE, ATHENS",24-44,None
112,"N MCKINLEY AVE, ATHENS",24-44,None
113,"N MCKINLEY AVE, ATHENS",24-44,None
114,"N MCKINLEY AVE, ATHENS",0-24,None
115,"N MCKINLEY AVE, ATHENS",24-44,None
116,"N MCKINLEY AVE, ATHENS",24-44,None
117,"N MCKINLEY AVE, ATHENS",24-44,None
118,"N MCKINLEY AVE, ATHENS",24-44,None
119,"1/2 S CONGRESS ST, ATHENS",0-24,None
120,"N MCKINLEY AVE, ATHENS",0-24,None
121,"E OXBOW TRL, ATHENS",0-24,None
122,"SR 56, NEW MARSHFIELD",0-24,None
123,"RICHLAND AVE, ATHENS",24-44,None
124,"E GREEN DR, ATHENS",0-24,None
125,"1/2 W UNION ST, ATHENS",24-44,None
126,"1/2 N COURT ST, ATHENS",24-44,None
127,"1/2 W STATE ST, ATHENS",24-44,None
128,"1/2 W STATE ST, ATHENS",24-44,None
129,"1/2 S COURT ST, ATHENS",24-44,None
130,"1/2 W UNION ST, ATHENS",24-44,None
131,"1/2 N COURT ST, ATHENS",24-44,None
132,"1/2 S COURT ST, ATHENS",24-44,None
133,"1/2 W WASHINGTON ST, ATHENS",24-44,None
134,"1/2 N LANCASTER ST, ATHENS",24-44,None
135,"1/2 N COURT ST, ATHENS",24-44,None
136,"1/2 N COURT ST, ATHENS",24-44,None
137,"1/2 MORRIS AVE, ATHENS",24-44,None
138,"1/2 W STATE ST, ATHENS",24-44,None
139,"1/2 FRANKLIN AVE, ATHENS",24-44,None
140,"1/2 W STATE ST, ATHENS",24-44,None
141,"1/2 W UNION ST, ATHENS",24-44,None
142,"HOCKING PARKWAY, NELSONVILLE",0-24,None
143,"HOCKING PARKWAY, NELSONVILLE",0-24,None
144,"PLEASANT HILL RD, ATHENS",45-64,None
145,"ELLIOTT ST, ATHENS",24-44,None
146,"RICHLAND AVE, ATHENS",0-24,None
147,"FERN ST, ATHENS",24-44,None
148,"CARRIAGE HILL DR, ATHENS",45-64,None
149,"LADD RIDGE RD, ATHENS",24-44,None
150,"FOSTER PL, ATHENS",24-44,None
151,"ELLIOTT ST, ATHENS",24-44,None
152,"S GREEN DR, ATHENS",0-24,None
153,"MILL ST, ATHENS",24-44,None
154,"ANDOVER RD, ATHENS",24-44,None
155,"HOCKING PARKWAY, NELSONVILLE",0-24,None
156,"HOCKING PARKWAY, NELSONVILLE",0-24,None
157,"HOCKING PARKWAY, NELSONVILLE",0-24,None
158,"HOCKING PARKWAY, NELSONVILLE",0-24,None
159,"HOCKING PARKWAY, NELSONVILLE",0-24,None
160,"HOCKING PARKWAY, NELSONVILLE",0-24,None
161,"HOCKING PARKWAY, NELSONVILLE",24-44,None
162,"E GREEN DR, ATHENS",24-44,None
163,"E GREEN DR, ATHENS",24-44,None
164,"E GREEN DR, ATHENS",0-24,None
