,RESIDENTIAL_CITY,AGE_RANGE,PARTY_AFFILIATION
0,ATHENS,0-24,None
1,ATHENS,0-24,None
2,ATHENS,0-24,None
3,ATHENS,0-24,None
4,ATHENS,0-24,None
5,ATHENS,0-24,None
6,ATHENS,0-24,None
7,ATHENS,0-24,None
8,ATHENS,0-24,None
9,ATHENS,0-24,None
10,ATHENS,0-24,None
11,ATHENS,0-24,None
12,ATHENS,0-24,None
13,ATHENS,0-24,None
14,ATHENS,0-24,None
15,ATHENS,0-24,None
16,ATHENS,0-24,None
17,ATHENS,0-24,None
18,ATHENS,0-24,None
19,ATHENS,0-24,None
20,ATHENS,0-24,D
21,ATHENS,0-24,None
22,ATHENS,0-24,None
23,ATHENS,0-24,None
24,ATHENS,0-24,None
25,ATHENS,0-24,None
26,ATHENS,0-24,None
27,ATHENS,0-24,None
28,ATHENS,0-24,D
29,ATHENS,0-24,None
30,ATHENS,0-24,None
31,ATHENS,0-24,None
32,ATHENS,0-24,None
33,ATHENS,0-24,None
34,ATHENS,0-24,None
35,ATHENS,0-24,None
36,ATHENS,0-24,None
37,ATHENS,0-24,None
38,ATHENS,0-24,None
39,ATHENS,0-24,None
40,ATHENS,0-24,None
41,ATHENS,0-24,None
42,ATHENS,0-24,None
43,ATHENS,0-24,None
44,ATHENS,0-24,D
45,ATHENS,0-24,None
46,ATHENS,0-24,None
47,ATHENS,0-24,None
48,ATHENS,0-24,None
49,ATHENS,0-24,None
50,ATHENS,0-24,None
51,ATHENS,0-24,None
52,ATHENS,0-24,None
53,ATHENS,0-24,None
54,ATHENS,0-24,None
55,ATHENS,0-24,None
56,ATHENS,0-24,None
57,ATHENS,0-24,None
58,ATHENS,0-24,None
59,ATHENS,0-24,None
60,ATHENS,0-24,None
61,ATHENS,0-24,None
62,ATHENS,0-24,None
63,ATHENS,0-24,None
64,ATHENS,0-24,R
65,ATHENS,0-24,None
66,ATHENS,0-24,None
67,ATHENS,0-24,None
68,ATHENS,0-24,None
69,ATHENS,0-24,None
70,ATHENS,0-24,None
71,ATHENS,0-24,None
72,ATHENS,0-24,None
73,ATHENS,0-24,None
74,ATHENS,0-24,None
75,ATHENS,0-24,None
76,ATHENS,0-24,None
77,ATHENS,0-24,None
78,ATHENS,0-24,D
79,ATHENS,0-24,None
80,ATHENS,0-24,None
81,ATHENS,0-24,None
82,ATHENS,0-24,None
83,ATHENS,0-24,None
84,ATHENS,0-24,None
85,ATHENS,0-24,None
86,ATHENS,0-24,None
87,ATHENS,0-24,None
88,ATHENS,0-24,None
89,ATHENS,0-24,None
90,ATHENS,0-24,None
91,ATHENS,0-24,None
92,ATHENS,0-24,None
93,ATHENS,0-24,None
94,ATHENS,0-24,None
95,ATHENS,0-24,None
96,ATHENS,0-24,None
97,ATHENS,0-24,None
98,ATHENS,0-24,None
99,ATHENS,0-24,D
100,ATHENS,0-24,None
101,ATHENS,0-24,None
102,ATHENS,0-24,None
103,ATHENS,0-24,None
104,ATHENS,0-24,None
105,ATHENS,0-24,None
106,ATHENS,0-24,None
107,ATHENS,0-24,None
108,ATHENS,0-24,None
109,ATHENS,0-24,None
110,ATHENS,0-24,None
111,ATHENS,0-24,None
112,ATHENS,0-24,None
113,ATHENS,0-24,None
114,ATHENS,0-24,None
115,ATHENS,0-24,None
116,ATHENS,0-24,None
117,ATHENS,0-24,None
118,ATHENS,0-24,None
119,ATHENS,0-24,None
120,ATHENS,0-24,None
121,ATHENS,0-24,None
122,ATHENS,0-24,None
123,ATHENS,0-24,None
124,ATHENS,0-24,None
125,ATHENS,0-24,None
126,ATHENS,0-24,None
127,ATHENS,0-24,None
128,ATHENS,0-24,D
129,ATHENS,0-24,D
130,ATHENS,0-24,None
131,ATHENS,0-24,None
132,ATHENS,0-24,None
133,ATHENS,0-24,None
134,ATHENS,0-24,None
135,ATHENS,0-24,None
136,ATHENS,0-24,None
137,ATHENS,0-24,None
138,ATHENS,0-24,None
139,ATHENS,0-24,None
140,ATHENS,0-24,None
141,ATHENS,0-24,None
142,ATHENS,0-24,None
143,ATHENS,0-24,None
144,ATHENS,0-24,None
145,ATHENS,0-24,None
146,ATHENS,0-24,None
147,ATHENS,0-24,None
148,ATHENS,0-24,None
149,ATHENS,0-24,None
150,ATHENS,0-24,None
151,ATHENS,0-24,None
152,ATHENS,0-24,None
153,ATHENS,0-24,None
154,ATHENS,0-24,None
155,ATHENS,0-24,None
156,ATHENS,0-24,None
157,ATHENS,0-24,None
158,ATHENS,0-24,None
159,ATHENS,0-24,None
160,ATHENS,0-24,None
161,ATHENS,0-24,None
162,ATHENS,0-24,None
163,ATHENS,0-24,None
164,ATHENS,0-24,None
165,ATHENS,0-24,None
166,ATHENS,0-24,None
167,ATHENS,0-24,None
168,ATHENS,0-24,None
169,ATHENS,0-24,None
170,ATHENS,0-24,None
171,ATHENS,0-24,None
172,ATHENS,0-24,None
173,ATHENS,0-24,None
174,ATHENS,0-24,None
175,ATHENS,0-24,None
176,ATHENS,0-24,None
177,ATHENS,0-24,None
178,ATHENS,0-24,None
179,ATHENS,0-24,None
180,ATHENS,0-24,None
181,ATHENS,0-24,None
182,ATHENS,0-24,None
183,ATHENS,0-24,None
184,ATHENS,0-24,None
185,ATHENS,0-24,None
186,ATHENS,0-24,None
187,ATHENS,0-24,None
188,ATHENS,0-24,None
189,ATHENS,0-24,None
190,ATHENS,0-24,None
191,ATHENS,0-24,None
192,ATHENS,0-24,None
193,ATHENS,0-24,None
194,ATHENS,0-24,None
195,ATHENS,0-24,None
196,ATHENS,0-24,None
197,ATHENS,0-24,None
198,ATHENS,0-24,D
199,ATHENS,0-24,None
200,ATHENS,0-24,None
201,ATHENS,0-24,D
202,ATHENS,0-24,None
203,ATHENS,0-24,None
204,ATHENS,0-24,None
205,ATHENS,0-24,None
206,ATHENS,0-24,D
207,ATHENS,0-24,None
208,ATHENS,0-24,None
209,ATHENS,0-24,None
210,ATHENS,0-24,None
211,ATHENS,0-24,None
212,ATHENS,0-24,None
213,ATHENS,0-24,None
214,ATHENS,0-24,None
215,ATHENS,0-24,None
216,ATHENS,0-24,None
217,ATHENS,0-24,None
218,ATHENS,0-24,None
219,ATHENS,0-24,None
220,ATHENS,0-24,None
221,ATHENS,0-24,None
222,ATHENS,0-24,None
223,ATHENS,0-24,None
224,ATHENS,0-24,None
225,ATHENS,0-24,None
226,ATHENS,0-24,None
227,ATHENS,0-24,None
228,ATHENS,0-24,None
229,ATHENS,0-24,None
230,ATHENS,0-24,None
231,ATHENS,0-24,None
232,ATHENS,0-24,None
233,ATHENS,0-24,None
234,ATHENS,0-24,None
235,ATHENS,0-24,None
236,ATHENS,0-24,None
237,ATHENS,0-24,R
238,ATHENS,0-24,None
239,ATHENS,0-24,None
240,ATHENS,0-24,None
241,ATHENS,0-24,None
242,ATHENS,0-24,None
243,ATHENS,0-24,None
244,ATHENS,0-24,None
245,ATHENS,0-24,None
246,ATHENS,0-24,None
247,ATHENS,0-24,None
248,ATHENS,0-24,None
249,ATHENS,0-24,None
250,ATHENS,0-24,None
251,ATHENS,0-24,None
252,ATHENS,0-24,None
253,ATHENS,0-24,None
254,ATHENS,0-24,None
255,ATHENS,0-24,None
256,ATHENS,0-24,None
257,ATHENS,0-24,None
258,ATHENS,0-24,D
259,ATHENS,0-24,None
260,ATHENS,0-24,None
261,ATHENS,0-24,None
262,ATHENS,0-24,None
263,ATHENS,0-24,None
264,ATHENS,0-24,None
265,ATHENS,0-24,None
266,ATHENS,0-24,None
267,ATHENS,0-24,None
268,ATHENS,0-24,None
269,ATHENS,0-24,None
270,ATHENS,0-24,None
271,ATHENS,0-24,None
272,ATHENS,0-24,None
273,ATHENS,0-24,None
274,ATHENS,0-24,None
275,ATHENS,0-24,None
276,ATHENS,0-24,None
277,ATHENS,0-24,None
278,ATHENS,0-24,None
279,ATHENS,0-24,None
280,ATHENS,0-24,None
281,ATHENS,0-24,None
282,ATHENS,0-24,None
283,ATHENS,0-24,None
284,ATHENS,0-24,None
285,ATHENS,0-24,None
286,ATHENS,0-24,None
287,ATHENS,0-24,None
288,ATHENS,0-24,None
289,ATHENS,0-24,None
290,ATHENS,0-24,None
291,ATHENS,0-24,None
292,ATHENS,0-24,None
293,ATHENS,0-24,None
294,ATHENS,0-24,None
295,ATHENS,0-24,None
296,ATHENS,0-24,None
297,ATHENS,0-24,None
298,ATHENS,0-24,None
299,ATHENS,0-24,None
300,ATHENS,0-24,None
301,ATHENS,0-24,None
302,ATHENS,0-24,None
303,ATHENS,0-24,None
304,ATHENS,0-24,None
305,ATHENS,0-24,None
306,ATHENS,0-24,None
307,ATHENS,0-24,None
308,ATHENS,0-24,None
309,ATHENS,0-24,None
310,ATHENS,0-24,None
311,ATHENS,0-24,None
312,ATHENS,0-24,None
313,ATHENS,0-24,None
314,ATHENS,0-24,None
315,ATHENS,0-24,None
316,ATHENS,0-24,None
317,ATHENS,0-24,None
318,ATHENS,0-24,None
319,ATHENS,0-24,D
320,ATHENS,0-24,None
321,ATHENS,0-24,None
322,ATHENS,0-24,None
323,ATHENS,0-24,None
324,ATHENS,0-24,None
325,ATHENS,0-24,None
326,ATHENS,0-24,None
327,ATHENS,0-24,None
328,ATHENS,0-24,None
329,ATHENS,0-24,None
330,ATHENS,0-24,None
331,ATHENS,0-24,None
332,ATHENS,0-24,None
333,ATHENS,0-24,None
334,ATHENS,0-24,None
335,ATHENS,0-24,None
336,ATHENS,0-24,None
337,ATHENS,0-24,None
338,ATHENS,0-24,None
339,ATHENS,0-24,None
340,ATHENS,0-24,None
341,ATHENS,0-24,None
342,ATHENS,0-24,None
343,ATHENS,0-24,None
344,ATHENS,0-24,None
345,ATHENS,0-24,None
346,ATHENS,0-24,None
347,ATHENS,0-24,None
348,ATHENS,0-24,None
349,ATHENS,0-24,None
350,ATHENS,0-24,None
351,ATHENS,0-24,None
352,ATHENS,0-24,None
353,ATHENS,0-24,None
354,ATHENS,0-24,None
355,ATHENS,0-24,None
356,ATHENS,0-24,None
357,ATHENS,0-24,None
358,ATHENS,0-24,None
359,ATHENS,0-24,None
360,ATHENS,0-24,None
361,ATHENS,0-24,None
362,ATHENS,0-24,None
363,ATHENS,0-24,None
364,ATHENS,0-24,None
365,ATHENS,0-24,None
366,ATHENS,0-24,None
367,ATHENS,0-24,None
368,ATHENS,0-24,None
369,ATHENS,0-24,None
370,ATHENS,0-24,None
371,ATHENS,0-24,None
372,ATHENS,0-24,None
373,ATHENS,0-24,None
374,ATHENS,0-24,None
375,ATHENS,0-24,None
376,ATHENS,0-24,None
377,ATHENS,0-24,None
378,ATHENS,0-24,None
379,ATHENS,0-24,None
380,ATHENS,0-24,None
381,ATHENS,0-24,None
382,ATHENS,0-24,None
383,ATHENS,0-24,None
384,ATHENS,0-24,None
385,ATHENS,0-24,None
386,ATHENS,0-24,None
387,ATHENS,0-24,None
388,ATHENS,0-24,None
389,ATHENS,0-24,None
390,ATHENS,0-24,None
391,ATHENS,0-24,None
392,ATHENS,0-24,None
393,ATHENS,0-24,None
394,ATHENS,0-24,None
395,ATHENS,0-24,None
396,ATHENS,0-24,None
397,ATHENS,0-24,None
398,ATHENS,0-24,None
399,ATHENS,0-24,None
400,ATHENS,0-24,None
401,ATHENS,0-24,None
402,ATHENS,0-24,None
403,ATHENS,0-24,None
404,ATHENS,0-24,None
405,ATHENS,0-24,None
406,ATHENS,0-24,None
407,ATHENS,0-24,None
408,ATHENS,0-24,None
409,ATHENS,0-24,None
410,ATHENS,0-24,None
411,ATHENS,0-24,None
412,ATHENS,0-24,None
413,ATHENS,0-24,None
414,ATHENS,0-24,None
415,ATHENS,0-24,None
416,ATHENS,0-24,None
417,ATHENS,0-24,None
418,ATHENS,0-24,None
419,ATHENS,0-24,None
420,ATHENS,0-24,None
421,ATHENS,0-24,None
422,ATHENS,0-24,None
423,ATHENS,0-24,None
424,ATHENS,0-24,None
425,ATHENS,0-24,None
426,ATHENS,0-24,None
427,ATHENS,0-24,None
428,ATHENS,0-24,None
429,ATHENS,0-24,None
430,ATHENS,0-24,None
431,ATHENS,0-24,None
432,ATHENS,0-24,None
433,ATHENS,0-24,None
434,ATHENS,0-24,None
435,ATHENS,0-24,None
436,ATHENS,0-24,None
437,ATHENS,0-24,None
438,ATHENS,0-24,None
439,ATHENS,0-24,None
440,ATHENS,0-24,None
441,ATHENS,0-24,None
442,ATHENS,0-24,None
