,STREET,AGE_RANGE,PARTY_AFFILIATION
0,"ENGLE DR, MCARTHUR",45-64,None
1,"PONETOWN RD, RAY",65+,R
2,"ENGLE DR, MCARTHUR",45-64,None
3,"CHILLICOTHE ST, HAMDEN",65+,R
4,"CHILLICOTHE ST, HAMDEN",65+,R
5,"VANDYKE RD, NEW MARSHFIELD",45-64,R
6,"N BROADWAY, ZALESKI",65+,R
7,"W HIGH ST, MCARTHUR",65+,None
8,"ST RT 56, CREOLA",45-64,None
9,"DUNKLE CREEK RD, CREOLA",65+,R
10,"CREOLA RD, CREOLA",45-64,R
11,"ST RT 160, HAMDEN",45-64,D
12,"ST RT 160, HAMDEN",45-64,R
13,"ST RT 160, HAMDEN",65+,R
14,"WOLF HILL RD, MCARTHUR",65+,R
15,"SHEETS MCCOY RD, NEW PLYMOUTH",65+,D
16,"ST RT 327, LONDONDERRY",65+,None
17,"E CENTRAL AVE, HAMDEN",65+,D
18,"SHEETS MCCOY RD, NEW PLYMOUTH",65+,D
19,"US HIGHWAY 50, MCARTHUR",65+,R
20,"ST RT 93, HAMDEN",65+,None
21,"BRAY HOLLOW RD, MCARTHUR",24-44,None
22,"TWO MILE RD, NEW PLYMOUTH",65+,None
23,"LIVELY RIDGE RD, ALBANY",65+,R
24,"WHEELABOUT RD, MCARTHUR",24-44,R
25,"CARPENTER RD, RAY",45-64,R
26,"ST RT 93, HAMDEN",45-64,None
27,"CARPENTER RD, RAY",45-64,R
28,"S FIRST ST, ZALESKI",24-44,D
29,"S FIRST ST, ZALESKI",65+,D
30,"N SPRING ST, MCARTHUR",65+,D
31,"PONETOWN RD, RAY",24-44,R
32,"N BUFFALO ST, HAMDEN",65+,D
33,"DEPUE RD, MCARTHUR",65+,D
34,"ST RT 671, LONDONDERRY",65+,R
35,"UNION RIDGE RD, ALBANY",65+,R
36,"UNION RIDGE RD, ALBANY",65+,R
37,"N BOUNDARY AVE, MCARTHUR",65+,R
38,"CIRCLE DR, MCARTHUR",45-64,R
39,"CIRCLE DR, MCARTHUR",45-64,D
40,"W MAIN ST, MCARTHUR",65+,R
41,"ST RT 93 N, MCARTHUR",45-64,None
42,"WOODGEARD RD, CREOLA",65+,R
43,"W SOUTH ST, MCARTHUR",45-64,R
44,"W SOUTH ST, MCARTHUR",45-64,R
45,"MADISON AVE, MCARTHUR",65+,D
46,"POWDER PLANT RD, MCARTHUR",45-64,R
47,"GARRETT RIDGE RD, MCARTHUR",24-44,R
48,"GARRETT RIDGE RD, MCARTHUR",65+,R
49,"SHORT ST, MCARTHUR",65+,R
50,"CIRCLE DR, MCARTHUR",45-64,R
51,"ST RT 93 N, MCARTHUR",65+,R
52,"W MILL ST, MCARTHUR",65+,R
53,"ST RT 683, MCARTHUR",65+,R
54,"SHORT ST, MCARTHUR",65+,R
55,"W MILL ST, MCARTHUR",65+,R
56,"MAIN ST, ZALESKI",45-64,None
57,"BETHEL RD, NEW PLYMOUTH",45-64,R
58,"CREEK RD, MCARTHUR",45-64,D
59,"N BROADWAY, ZALESKI",65+,R
60,"CHILLICOTHE ST, HAMDEN",65+,R
61,"WOLF HILL RD, MCARTHUR",45-64,None
62,"S MAIN, HAMDEN",45-64,None
63,"WOODGEARD RD, CREOLA",65+,R
64,"ST RT 160, HAMDEN",24-44,None
65,"ST RT 683, MCARTHUR",45-64,None
66,"MOUND HILL RD, ALBANY",65+,R
67,"LOG PILE RD, RAY",45-64,None
68,"MURPHY RD, MCARTHUR",65+,R
69,"MORGAN RD, MCARTHUR",45-64,R
70,"ST RT 327, LONDONDERRY",45-64,None
71,"MURPHY RD, MCARTHUR",65+,R
72,"RADCLIFF ST, RADCLIFF",45-64,R
73,"TWO MILE RD, NEW PLYMOUTH",45-64,None
74,"MOUNT OLIVE RD, MCARTHUR",24-44,R
75,"ST RT 160, HAMDEN",45-64,None
76,"FITZPATRICK RD, RADCLIFF",45-64,R
77,"KNOX RD, RADCLIFF",24-44,None
78,"NORTH RUN RD, ALBANY",65+,R
79,"RANDERSON RD, MCARTHUR",65+,R
80,"RANDERSON RD, MCARTHUR",65+,R
81,"EAST FORK RD, LAURELVILLE",24-44,None
82,"ST RT 56, NEW PLYMOUTH",65+,None
83,"N BUFFALO ST, HAMDEN",65+,R
84,"INFIRMARY RD, MCARTHUR",65+,D
85,"INFIRMARY RD, MCARTHUR",65+,D
86,"ST RT 160, VINTON",45-64,R
87,"W HIGH ST, MCARTHUR",45-64,R
88,"MINERTON CHAPEL RD, VINTON",45-64,None
89,"US HIGHWAY 50, MCARTHUR",45-64,None
90,"BLEDSOE RD, RAY",65+,None
91,"ST RT 56, NEW PLYMOUTH",45-64,R
92,"DEPUE RD, HAMDEN",65+,D
93,"DEPUE RD, HAMDEN",65+,D
94,"ST RT 160, HAMDEN",45-64,None
95,"ST RT 160, HAMDEN",45-64,None
96,"ST RT 160, HAMDEN",45-64,None
97,"SAM RUSSELL RD, HAMDEN",45-64,None
98,"S MARKET ST, MCARTHUR",45-64,R
99,"ST RT 356, NEW MARSHFIELD",65+,None
100,"LOCUST GROVE RD, MCARTHUR",45-64,None
101,"N BOUNDARY AVE, MCARTHUR",24-44,D
102,"MCARTHUR AVE, MCARTHUR",45-64,R
103,"US HIGHWAY 50, ALBANY",65+,R
104,"W MAIN ST, MCARTHUR",65+,R
105,"W MAIN ST, MCARTHUR",65+,R
106,"CHURCH ST, HAMDEN",65+,D
107,"US HIGHWAY 50, MCARTHUR",65+,D
108,"MINERTON RD, VINTON",45-64,R
109,"HAWK STATION RD, VINTON",65+,None
110,"MT ZION RD, MCARTHUR",45-64,R
111,"SIVERLY CREEK RD, MCARTHUR",24-44,None
112,"ST RT 356, NEW MARSHFIELD",45-64,None
113,"N PEARL ST, MCARTHUR",65+,None
114,"N BOUNDARY AVE, MCARTHUR",24-44,None
115,"SIVERLY CREEK RD, MCARTHUR",45-64,R
116,"CURRY RD, MCARTHUR",24-44,None
117,"US HIGHWAY 50, MCARTHUR",24-44,R
118,"OLD MCARTHUR RD, MCARTHUR",45-64,R
119,"LOCUST GROVE RD, MCARTHUR",45-64,None
120,"ST RT 327, LONDONDERRY",65+,None
121,"GOOSECREEK RD, MCARTHUR",45-64,R
122,"SHEETS MCCOY RD, NEW PLYMOUTH",45-64,None
123,"SHEETS MCCOY RD, NEW PLYMOUTH",45-64,None
124,"S MAIN, HAMDEN",65+,None
125,"ST RT 56, NEW PLYMOUTH",65+,None
126,"ST RT 327, LONDONDERRY",24-44,D
127,"CRESCENT ST, ZALESKI",65+,D
128,"BOLAR RD, MCARTHUR",65+,D
129,"E NORTH ST, MCARTHUR",24-44,R
130,"OWINGS RD, MCARTHUR",45-64,None
131,"E NORTH ST, MCARTHUR",24-44,R
132,"DEPUE RD, HAMDEN",45-64,D
133,"ST RT 327, LONDONDERRY",24-44,R
134,"ST RT 160, RADCLIFF",65+,None
135,"N MARKET ST, MCARTHUR",65+,R
136,"HART RIDGE RD, MCARTHUR",24-44,None
137,"MOUNT OLIVE RD, MCARTHUR",24-44,None
138,"S MARKET ST, MCARTHUR",24-44,D
139,"US HIGHWAY 50, MCARTHUR",65+,None
140,"LOCUST GROVE RD, MCARTHUR",65+,R
141,"ST RT 93, HAMDEN",45-64,None
142,"BORING RD, CREOLA",65+,R
143,"INFIRMARY RD, MCARTHUR",65+,R
144,"ST RT 93 S, CREOLA",65+,None
145,"MADISON AVE, MCARTHUR",24-44,R
146,"MADISON AVE, MCARTHUR",24-44,R
147,"US HIGHWAY 50, MCARTHUR",24-44,None
148,"US HIGHWAY 50, MCARTHUR",45-64,None
149,"TWO MILE RD, NEW PLYMOUTH",45-64,R
150,"VINTON STATION RD, MCARTHUR",24-44,R
151,"MINERTON RD, VINTON",45-64,None
152,"E NORTH ST, MCARTHUR",24-44,L
153,"WOODFIELD DR, NEW PLYMOUTH",45-64,R
154,"MOUND HILL RD, ALBANY",65+,None
155,"KOTTCAMP RD, HAMDEN",45-64,None
156,"ST RT 683, MCARTHUR",24-44,R
157,"LOCUST GROVE RD, CREOLA",65+,None
158,"CURRY RD, MCARTHUR",24-44,None
159,"OAK ST, MCARTHUR",24-44,None
160,"MORGAN RD, MCARTHUR",24-44,None
161,"S MARKET ST, MCARTHUR",24-44,None
162,"LOCUST GROVE RD, MCARTHUR",45-64,R
163,"OLD RT 50, LONDONDERRY",24-44,None
164,"ST RT 671, LONDONDERRY",65+,R
165,"PRETTY RUN RD, MCARTHUR",24-44,None
166,"E CENTRAL AVE, HAMDEN",24-44,None
167,"W MAIN ST, MCARTHUR",24-44,D
168,"ST RT 328, NEW PLYMOUTH",24-44,None
169,"KELLY RD, RAY",24-44,None
170,"UNION RIDGE RD, ALBANY",24-44,None
171,"AIRPORT RD, NEW PLYMOUTH",24-44,None
172,"CIRCLE DR, MCARTHUR",24-44,None
173,"N MARKET ST, MCARTHUR",45-64,None
174,"POWDER PLANT RD, MCARTHUR",24-44,R
175,"N MARKET ST, MCARTHUR",24-44,None
176,"N PEARL ST, MCARTHUR",45-64,None
177,"ST RT 93 S, CREOLA",45-64,R
178,"MINERTON CHAPEL RD, VINTON",45-64,None
179,"HAWK STATION RD, VINTON",45-64,None
180,"N PEARL ST, MCARTHUR",45-64,None
181,"ZION RD, HAMDEN",45-64,R
182,"S SUGAR ST, MCARTHUR",24-44,R
183,"MADISON AVE, MCARTHUR",45-64,R
184,"MADISON AVE, MCARTHUR",65+,R
185,"N MARKET ST, MCARTHUR",24-44,D
186,"PRETTY RUN RD, MCARTHUR",65+,R
187,"ST RT 93, HAMDEN",45-64,R
188,"MURPHY RD, MCARTHUR",24-44,None
189,"PONETOWN RD, RAY",24-44,None
190,"CHURCH ST, HAMDEN",45-64,None
191,"LIVELY RIDGE RD, ALBANY",45-64,None
192,"MADISON AVE, MCARTHUR",24-44,R
193,"MADISON AVE, MCARTHUR",24-44,R
194,"MOUND HILL RD, ALBANY",24-44,None
195,"KELLY RD, RAY",24-44,None
196,"MCARTHUR PARK DR, MCARTHUR",45-64,R
197,"US HIGHWAY 50, MCARTHUR",45-64,R
198,"ENGLE DR, MCARTHUR",45-64,R
199,"LOCUST GROVE RD, MCARTHUR",45-64,R
200,"HAWK STATION RD, WELLSTON",65+,D
