,RESIDENTIAL_CITY,AGE_RANGE,PARTY_AFFILIATION
0,MCARTHUR,45-64,None
1,MCARTHUR,45-64,None
2,MCARTHUR,45-64,None
3,MCARTHUR,45-64,None
4,MCARTHUR,45-64,R
5,MCARTHUR,45-64,R
6,MCARTHUR,45-64,D
7,MCARTHUR,45-64,None
8,MCARTHUR,45-64,R
9,MCARTHUR,45-64,R
10,MCARTHUR,45-64,R
11,MCARTHUR,45-64,R
12,MCARTHUR,45-64,D
13,MCARTHUR,45-64,None
14,MCARTHUR,45-64,None
15,MCARTHUR,45-64,R
16,MCARTHUR,45-64,R
17,MCARTHUR,45-64,None
18,MCARTHUR,45-64,R
19,MCARTHUR,45-64,None
20,MCARTHUR,45-64,R
21,MCARTHUR,45-64,R
22,MCARTHUR,45-64,R
23,MCARTHUR,45-64,None
24,MCARTHUR,45-64,R
25,MCARTHUR,45-64,None
26,MCARTHUR,45-64,R
27,MCARTHUR,45-64,None
28,MCARTHUR,45-64,None
29,MCARTHUR,45-64,R
30,MCARTHUR,45-64,None
31,MCARTHUR,45-64,R
32,MCARTHUR,45-64,R
33,MCARTHUR,45-64,R
34,MCARTHUR,45-64,None
35,MCARTHUR,45-64,None
36,MCARTHUR,45-64,R
37,MCARTHUR,45-64,R
38,MCARTHUR,45-64,R
39,MCARTHUR,45-64,R
40,MCARTHUR,45-64,R
41,MCARTHUR,45-64,None
42,MCARTHUR,45-64,None
43,MCARTHUR,45-64,R
44,MCARTHUR,45-64,R
45,MCARTHUR,45-64,None
46,MCARTHUR,45-64,R
47,MCARTHUR,45-64,None
48,MCARTHUR,45-64,None
49,MCARTHUR,45-64,None
50,MCARTHUR,45-64,None
51,MCARTHUR,45-64,None
52,MCARTHUR,45-64,R
53,MCARTHUR,45-64,None
54,MCARTHUR,45-64,R
55,MCARTHUR,45-64,R
56,MCARTHUR,45-64,None
57,MCARTHUR,45-64,D
58,MCARTHUR,45-64,None
59,MCARTHUR,45-64,None
60,MCARTHUR,45-64,None
61,MCARTHUR,45-64,None
62,MCARTHUR,45-64,None
63,MCARTHUR,45-64,None
64,MCARTHUR,45-64,R
65,MCARTHUR,45-64,None
66,MCARTHUR,45-64,None
67,MCARTHUR,45-64,None
68,MCARTHUR,45-64,None
69,MCARTHUR,45-64,None
70,MCARTHUR,45-64,None
71,MCARTHUR,45-64,D
72,MCARTHUR,45-64,R
73,MCARTHUR,45-64,R
74,MCARTHUR,45-64,D
75,MCARTHUR,45-64,D
76,MCARTHUR,45-64,R
77,MCARTHUR,45-64,R
78,MCARTHUR,45-64,None
79,MCARTHUR,45-64,R
80,MCARTHUR,45-64,None
81,MCARTHUR,45-64,R
82,MCARTHUR,45-64,D
83,MCARTHUR,45-64,None
84,MCARTHUR,45-64,None
85,MCARTHUR,45-64,None
86,MCARTHUR,45-64,R
87,MCARTHUR,45-64,None
88,MCARTHUR,45-64,None
89,MCARTHUR,45-64,None
90,MCARTHUR,45-64,None
91,MCARTHUR,45-64,None
92,MCARTHUR,45-64,None
93,MCARTHUR,45-64,None
94,MCARTHUR,45-64,None
95,MCARTHUR,45-64,None
96,MCARTHUR,45-64,None
97,MCARTHUR,45-64,None
98,MCARTHUR,45-64,None
99,MCARTHUR,45-64,None
100,MCARTHUR,45-64,None
101,MCARTHUR,45-64,R
102,MCARTHUR,45-64,None
103,MCARTHUR,45-64,None
104,MCARTHUR,45-64,None
105,MCARTHUR,45-64,None
106,MCARTHUR,45-64,None
107,MCARTHUR,45-64,None
108,MCARTHUR,45-64,None
109,MCARTHUR,45-64,None
110,MCARTHUR,45-64,None
111,MCARTHUR,45-64,None
112,MCARTHUR,45-64,None
113,MCARTHUR,45-64,None
114,MCARTHUR,45-64,None
115,MCARTHUR,45-64,None
116,MCARTHUR,45-64,None
117,MCARTHUR,45-64,None
118,MCARTHUR,45-64,None
119,MCARTHUR,45-64,None
120,MCARTHUR,45-64,None
121,MCARTHUR,45-64,D
122,MCARTHUR,45-64,D
123,MCARTHUR,45-64,R
124,MCARTHUR,45-64,R
125,MCARTHUR,45-64,R
126,MCARTHUR,45-64,D
127,MCARTHUR,45-64,R
128,MCARTHUR,45-64,R
129,MCARTHUR,45-64,None
130,MCARTHUR,45-64,None
131,MCARTHUR,45-64,R
132,MCARTHUR,45-64,D
133,MCARTHUR,45-64,D
134,MCARTHUR,45-64,R
135,MCARTHUR,45-64,R
136,MCARTHUR,45-64,R
137,MCARTHUR,45-64,None
138,MCARTHUR,45-64,D
139,MCARTHUR,45-64,None
140,MCARTHUR,45-64,R
141,MCARTHUR,45-64,R
142,MCARTHUR,45-64,None
143,MCARTHUR,45-64,R
144,MCARTHUR,45-64,None
145,MCARTHUR,45-64,None
146,MCARTHUR,45-64,D
147,MCARTHUR,45-64,D
148,MCARTHUR,45-64,R
149,MCARTHUR,45-64,None
150,MCARTHUR,45-64,None
151,MCARTHUR,45-64,R
152,MCARTHUR,45-64,R
153,MCARTHUR,45-64,None
154,MCARTHUR,45-64,None
155,MCARTHUR,45-64,R
156,MCARTHUR,45-64,R
157,MCARTHUR,45-64,R
158,MCARTHUR,45-64,R
159,MCARTHUR,45-64,R
160,MCARTHUR,45-64,None
161,MCARTHUR,45-64,R
162,MCARTHUR,45-64,R
163,MCARTHUR,45-64,R
164,MCARTHUR,45-64,None
165,MCARTHUR,45-64,None
166,MCARTHUR,45-64,None
167,MCARTHUR,45-64,R
168,MCARTHUR,45-64,None
169,MCARTHUR,45-64,None
170,MCARTHUR,45-64,R
171,MCARTHUR,45-64,None
172,MCARTHUR,45-64,R
173,MCARTHUR,45-64,None
174,MCARTHUR,45-64,None
175,MCARTHUR,45-64,None
176,MCARTHUR,45-64,None
177,MCARTHUR,45-64,None
178,MCARTHUR,45-64,None
179,MCARTHUR,45-64,None
180,MCARTHUR,45-64,None
181,MCARTHUR,45-64,None
182,MCARTHUR,45-64,None
183,MCARTHUR,45-64,R
184,MCARTHUR,45-64,R
185,MCARTHUR,45-64,R
186,MCARTHUR,45-64,R
187,MCARTHUR,45-64,R
188,MCARTHUR,45-64,R
189,MCARTHUR,45-64,R
190,MCARTHUR,45-64,None
191,MCARTHUR,45-64,None
192,MCARTHUR,45-64,None
193,MCARTHUR,45-64,None
194,MCARTHUR,45-64,None
195,MCARTHUR,45-64,None
196,MCARTHUR,45-64,R
197,MCARTHUR,45-64,R
198,MCARTHUR,45-64,None
199,MCARTHUR,45-64,None
200,MCARTHUR,45-64,None
201,MCARTHUR,45-64,None
202,MCARTHUR,45-64,None
203,MCARTHUR,45-64,None
204,MCARTHUR,45-64,None
205,MCARTHUR,45-64,None
206,MCARTHUR,45-64,None
207,MCARTHUR,45-64,None
208,MCARTHUR,45-64,None
209,MCARTHUR,45-64,None
210,MCARTHUR,45-64,None
211,MCARTHUR,45-64,None
212,MCARTHUR,45-64,R
213,MCARTHUR,45-64,D
214,MCARTHUR,45-64,None
215,MCARTHUR,45-64,None
216,MCARTHUR,45-64,None
217,MCARTHUR,45-64,None
218,MCARTHUR,45-64,None
