smoothed;2
(;);n;o;r;d;s;t;m; ;h;a;p;e;c;i;l;y;f;u;g;w;b;k;v;#
(;0.000123;0.017649;0.025493;0.045839;0.018507;0.025738;0.060914;0.149773;0.029783;0.000123;0.037014;0.120480;0.029906;0.021816;0.029783;0.128570;0.024513;0.043388;0.023042;0.005393;0.020223;0.075745;0.042407;0.004167;0.005638;0.013972
);0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
n;0.000012;0.007999;0.009150;0.064606;0.000436;0.176223;0.040550;0.124220;0.002327;0.238866;0.000351;0.030031;0.000315;0.066024;0.022953;0.026868;0.005284;0.012701;0.004811;0.006023;0.130813;0.000303;0.000254;0.023062;0.005017;0.000800
o;0.000011;0.002663;0.152079;0.019510;0.111312;0.015539;0.022522;0.053305;0.051952;0.152963;0.005598;0.003350;0.022435;0.007344;0.012756;0.019412;0.027673;0.001440;0.077835;0.156542;0.004288;0.044346;0.011196;0.009319;0.013072;0.001539
r;0.000016;0.007938;0.015633;0.069112;0.014194;0.020435;0.048257;0.053188;0.013855;0.199415;0.001390;0.066445;0.003136;0.286617;0.011527;0.074496;0.007210;0.041322;0.002829;0.026950;0.013871;0.001229;0.001875;0.011802;0.007049;0.000210
d;0.000024;0.013362;0.011464;0.098681;0.015598;0.008243;0.019876;0.000192;0.005624;0.540244;0.000168;0.033142;0.000192;0.134947;0.000913;0.079454;0.005167;0.013699;0.000144;0.010094;0.004158;0.000601;0.000385;0.000192;0.003100;0.000336
s;0.000014;0.014269;0.007264;0.075249;0.000928;0.000928;0.038382;0.125333;0.004246;0.422764;0.037522;0.030927;0.015061;0.109767;0.009230;0.056078;0.010582;0.004574;0.001038;0.026421;0.000328;0.002458;0.001461;0.004492;0.000109;0.000573
t;0.000008;0.009490;0.000540;0.083908;0.029152;0.000091;0.043047;0.015183;0.001421;0.285638;0.309347;0.032435;0.000075;0.070055;0.002892;0.075922;0.006565;0.014385;0.000349;0.011776;0.000025;0.007271;0.000116;0.000017;0.000199;0.000091
m;0.000038;0.008932;0.002032;0.102894;0.001035;0.000115;0.031167;0.000077;0.018861;0.142227;0.000038;0.158789;0.075139;0.295726;0.003872;0.086908;0.000230;0.025417;0.000767;0.022618;0.000038;0.000038;0.022925;0.000038;0.000038;0.000038
 ;0.000004;0.000004;0.020572;0.059734;0.023300;0.033066;0.060564;0.173821;0.032796;0.000004;0.042314;0.118280;0.037464;0.018269;0.041917;0.086445;0.027112;0.024585;0.031538;0.008307;0.022629;0.067640;0.041971;0.009507;0.005753;0.012404
h;0.000015;0.003273;0.004825;0.076146;0.008314;0.000384;0.001383;0.024911;0.000876;0.087196;0.000077;0.235309;0.000015;0.390783;0.000461;0.148497;0.001537;0.006623;0.000092;0.008667;0.000015;0.000092;0.000400;0.000046;0.000031;0.000031
a;0.000010;0.001397;0.206237;0.000627;0.084233;0.027026;0.077679;0.176828;0.022579;0.077720;0.005783;0.000031;0.013621;0.000986;0.033539;0.024345;0.093365;0.034412;0.004448;0.015460;0.015408;0.006122;0.029173;0.015624;0.028660;0.004684
p;0.000046;0.004629;0.000046;0.142255;0.154106;0.000509;0.016804;0.015693;0.001759;0.087538;0.015230;0.106101;0.056337;0.182900;0.000278;0.044487;0.117628;0.003009;0.000741;0.049440;0.000093;0.000046;0.000139;0.000093;0.000046;0.000046
e;0.000007;0.010236;0.088932;0.010923;0.119175;0.044063;0.078578;0.029688;0.024116;0.358878;0.001352;0.053472;0.010569;0.030575;0.027959;0.010591;0.031610;0.016245;0.007827;0.000532;0.005839;0.007516;0.002247;0.002587;0.016223;0.010258
