smoothed;3
(;w;e; ;n;o;t;a;k;y;u;l;i;v;h;c;r;x;s;m;d;f;.;);z;g;p;b;,;q;j;?;!;é;ö;á;í;#
((;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
(w;0.000035;0.013921;0.467565;0.000104;0.000035;0.043627;0.000035;0.093402;0.000035;0.000069;0.000035;0.000035;0.108946;0.000035;0.268187;0.000035;0.003109;0.000035;0.000035;0.000069;0.000035;0.000035;0.000069;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035;0.000035
(e;0.000193;0.000193;0.000193;0.000386;0.133128;0.000772;0.004631;0.039167;0.000193;0.003859;0.014856;0.053444;0.018136;0.382404;0.000579;0.012348;0.008489;0.197762;0.045341;0.045148;0.009068;0.016593;0.000386;0.000193;0.000386;0.001736;0.004245;0.000386;0.000193;0.004052;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193;0.000193
( ;0.000611;0.073871;0.008547;0.036020;0.017705;0.227717;0.067155;0.060440;0.007937;0.089744;0.005495;0.013431;0.053724;0.001832;0.024420;0.021368;0.012210;0.000611;0.034799;0.054945;0.050672;0.016484;0.000611;0.000611;0.001832;0.015263;0.053724;0.040293;0.000611;0.000611;0.002442;0.000611;0.000611;0.000611;0.000611;0.000611;0.000611;0.000611
(n;0.000123;0.000246;0.164409;0.000246;0.000123;0.693842;0.000123;0.073768;0.000123;0.000369;0.039655;0.000123;0.018596;0.000123;0.000123;0.000123;0.000985;0.000123;0.000616;0.000246;0.000493;0.001724;0.000123;0.000123;0.000123;0.000246;0.000493;0.001355;0.000123;0.000123;0.000123;0.000123;0.000123;0.000123;0.000123;0.000123;0.000123;0.000123
(o;0.000075;0.014211;0.000075;0.000150;0.161481;0.001645;0.034630;0.000598;0.045176;0.000075;0.142184;0.004936;0.002618;0.035527;0.102094;0.002842;0.144428;0.001197;0.000748;0.001272;0.000524;0.257367;0.000075;0.000075;0.000075;0.000075;0.022887;0.022214;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075;0.000075
(t;0.000018;0.005981;0.014066;0.000091;0.000018;0.112770;0.000018;0.020377;0.000018;0.001152;0.004335;0.000018;0.007573;0.000768;0.791582;0.000018;0.040315;0.000018;0.000366;0.000110;0.000018;0.000018;0.000018;0.000018;0.000037;0.000018;0.000037;0.000037;0.000018;0.000018;0.000018;0.000018;0.000018;0.000018;0.000018;0.000018;0.000018;0.000018
(a;0.000022;0.002896;0.000022;0.053444;0.661101;0.000022;0.030891;0.000241;0.000154;0.000110;0.003971;0.070535;0.002764;0.005024;0.001777;0.014063;0.034599;0.000044;0.033348;0.014656;0.006867;0.008227;0.000110;0.000044;0.000066;0.020470;0.004388;0.029574;0.000373;0.000022;0.000022;0.000022;0.000022;0.000022;0.000022;0.000022;0.000022;0.000022
(k;0.000625;0.000625;0.130081;0.005003;0.480926;0.012508;0.000625;0.051907;0.003752;0.000625;0.007505;0.004378;0.266417;0.000625;0.004378;0.000625;0.011257;0.000625;0.000625;0.000625;0.002502;0.000625;0.001876;0.000625;0.000625;0.001876;0.000625;0.001251;0.000625;0.000625;0.000625;0.000625;0.000625;0.000625;0.000625;0.000625;0.000625;0.000625
(y;0.000071;0.000071;0.173487;0.000071;0.000071;0.821548;0.000071;0.001915;0.000071;0.000071;0.000284;0.000071;0.000426;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071;0.000071
