smoothed;3
(;);f;r;o;m; ;n;e;w;y;k;t;i;s;c;b;a;h;d;g;u;p;l;v;#
((;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
();0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
(f;0.004255;0.004255;0.004255;0.293617;0.272340;0.004255;0.012766;0.004255;0.046809;0.004255;0.008511;0.004255;0.004255;0.136170;0.004255;0.004255;0.004255;0.097872;0.004255;0.004255;0.004255;0.034043;0.004255;0.025532;0.004255;0.004255
(r;0.004695;0.004695;0.004695;0.004695;0.140845;0.004695;0.009390;0.004695;0.328638;0.004695;0.004695;0.004695;0.004695;0.286385;0.004695;0.004695;0.004695;0.056338;0.004695;0.004695;0.004695;0.084507;0.004695;0.004695;0.004695;0.004695
(o;0.002000;0.002000;0.066000;0.126000;0.006000;0.002000;0.002000;0.242000;0.002000;0.004000;0.002000;0.066000;0.012000;0.006000;0.002000;0.010000;0.014000;0.002000;0.270000;0.006000;0.002000;0.102000;0.014000;0.012000;0.024000;0.002000
(m;0.003831;0.003831;0.003831;0.030651;0.149425;0.015326;0.003831;0.003831;0.126437;0.003831;0.145594;0.003831;0.003831;0.122605;0.007663;0.015326;0.003831;0.275862;0.003831;0.003831;0.003831;0.049808;0.003831;0.003831;0.003831;0.003831
( ;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
(n;0.004464;0.004464;0.004464;0.004464;0.598214;0.004464;0.004464;0.004464;0.133929;0.004464;0.004464;0.004464;0.004464;0.071429;0.004464;0.004464;0.004464;0.058036;0.004464;0.004464;0.004464;0.044643;0.004464;0.004464;0.004464;0.004464
(e;0.007143;0.007143;0.014286;0.021429;0.007143;0.035714;0.007143;0.085714;0.007143;0.007143;0.014286;0.007143;0.014286;0.078571;0.064286;0.007143;0.021429;0.128571;0.007143;0.042857;0.007143;0.014286;0.007143;0.021429;0.264286;0.100000
(w;0.001300;0.001300;0.001300;0.010403;0.041612;0.001300;0.001300;0.001300;0.309493;0.001300;0.001300;0.001300;0.001300;0.074122;0.001300;0.001300;0.001300;0.074122;0.464239;0.001300;0.001300;0.001300;0.001300;0.001300;0.001300;0.001300
