smoothed;3
(;);t;h;i;s; ;m;e;a;g;c;o;f;r;n;p;b;l;w;d;y;u;k;v;#
((;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
();0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
(t;0.002967;0.002967;0.002967;0.700297;0.014837;0.002967;0.002967;0.002967;0.011869;0.050445;0.002967;0.002967;0.094955;0.002967;0.056380;0.002967;0.002967;0.002967;0.002967;0.008902;0.002967;0.008902;0.002967;0.002967;0.002967;0.002967
(h;0.006993;0.006993;0.006993;0.006993;0.111888;0.006993;0.006993;0.006993;0.531469;0.125874;0.006993;0.006993;0.048951;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.006993;0.034965;0.006993;0.006993;0.006993
(i;0.003984;0.003984;0.247012;0.003984;0.003984;0.051793;0.278884;0.095618;0.003984;0.003984;0.003984;0.003984;0.003984;0.047809;0.011952;0.167331;0.003984;0.003984;0.007968;0.003984;0.015936;0.003984;0.003984;0.003984;0.011952;0.003984
(s;0.005464;0.005464;0.071038;0.098361;0.032787;0.005464;0.005464;0.005464;0.071038;0.038251;0.005464;0.032787;0.393443;0.005464;0.005464;0.005464;0.043716;0.005464;0.010929;0.010929;0.005464;0.010929;0.109290;0.005464;0.005464;0.005464
( ;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462;0.038462
(m;0.010753;0.010753;0.010753;0.010753;0.107527;0.010753;0.010753;0.010753;0.075269;0.258065;0.010753;0.021505;0.204301;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.096774;0.032258;0.010753;0.010753;0.010753
(e;0.015873;0.015873;0.015873;0.015873;0.095238;0.047619;0.015873;0.031746;0.015873;0.095238;0.015873;0.015873;0.015873;0.031746;0.015873;0.142857;0.015873;0.015873;0.031746;0.015873;0.015873;0.015873;0.031746;0.015873;0.142857;0.095238
(a;0.004310;0.004310;0.021552;0.004310;0.004310;0.077586;0.116379;0.008621;0.004310;0.004310;0.017241;0.021552;0.004310;0.008621;0.038793;0.474138;0.012931;0.051724;0.060345;0.004310;0.017241;0.004310;0.017241;0.008621;0.004310;0.004310
