smoothed;2
(;i;m; ;a;l;b;o;u;t;h;e;s;c;);w;p;d;n;y;f;r;g;q;x;j;v;k;z;,;.;í;ö;á;é;ä;#
(;0.000008;0.072303;0.042226;0.003468;0.094706;0.031624;0.044130;0.042684;0.011559;0.154602;0.038044;0.023558;0.068512;0.052197;0.000075;0.068046;0.046708;0.037578;0.021171;0.027890;0.028082;0.032406;0.024065;0.002885;0.000100;0.009995;0.006727;0.013762;0.000391;0.000374;0.000067;0.000008;0.000017;0.000008;0.000008;0.000008;0.000008
i;0.000004;0.000730;0.035676;0.061723;0.019718;0.033018;0.007000;0.049243;0.000578;0.131229;0.000100;0.024949;0.130417;0.062798;0.010018;0.000089;0.006266;0.035646;0.244641;0.000026;0.021931;0.022892;0.034901;0.000816;0.001661;0.000059;0.022762;0.035242;0.005832;0.000004;0.000007;0.000004;0.000004;0.000004;0.000004;0.000004;0.000004
m;0.000012;0.087799;0.022239;0.139673;0.143974;0.000518;0.020986;0.104279;0.036093;0.000133;0.000410;0.294032;0.023263;0.003277;0.023841;0.000036;0.064873;0.000542;0.001602;0.028853;0.001169;0.001614;0.000024;0.000012;0.000012;0.000012;0.000253;0.000012;0.000096;0.000012;0.000265;0.000024;0.000012;0.000012;0.000012;0.000012;0.000012
 ;0.000001;0.098422;0.034430;0.002924;0.110965;0.029859;0.042225;0.059130;0.009850;0.170246;0.040608;0.015698;0.058923;0.036319;0.000544;0.071000;0.031099;0.029543;0.020872;0.031023;0.026463;0.022954;0.023648;0.001636;0.000105;0.009869;0.005973;0.015070;0.000358;0.000160;0.000072;0.000001;0.000001;0.000001;0.000001;0.000003;0.000001
a;0.000003;0.023803;0.025280;0.075343;0.000104;0.101630;0.026687;0.000326;0.017755;0.170962;0.009943;0.001797;0.074226;0.036552;0.014702;0.005890;0.013261;0.026179;0.191968;0.037963;0.004554;0.079106;0.015631;0.000256;0.001417;0.002100;0.026859;0.013335;0.002299;0.000003;0.000040;0.000003;0.000003;0.000003;0.000003;0.000003;0.000007
l;0.000007;0.170527;0.003931;0.124509;0.067724;0.155142;0.000654;0.054672;0.013878;0.013272;0.000151;0.152939;0.024293;0.002148;0.022903;0.003401;0.003889;0.052806;0.000255;0.101930;0.006072;0.003125;0.000420;0.000041;0.000007;0.000034;0.004261;0.016921;0.000021;0.000007;0.000021;0.000007;0.000007;0.000007;0.000007;0.000007;0.000007
b;0.000018;0.055499;0.000387;0.010463;0.105863;0.099814;0.004080;0.144902;0.150266;0.005451;0.000176;0.301744;0.016899;0.000985;0.001917;0.000615;0.000914;0.000246;0.000246;0.037843;0.000053;0.050434;0.000018;0.000018;0.000018;0.002110;0.008757;0.000053;0.000070;0.000018;0.000018;0.000018;0.000018;0.000018;0.000018;0.000018;0.000018
o;0.000003;0.015989;0.050381;0.127202;0.004010;0.027919;0.012271;0.020764;0.157121;0.050791;0.004866;0.006821;0.022166;0.014153;0.019933;0.060777;0.027091;0.015638;0.142461;0.001903;0.076741;0.105638;0.006608;0.000007;0.001214;0.000595;0.013551;0.013071;0.000278;0.000003;0.000014;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003
u;0.000009;0.014008;0.035838;0.126852;0.029201;0.078358;0.019718;0.003615;0.000194;0.158810;0.004083;0.031481;0.152915;0.026222;0.019338;0.000027;0.039965;0.016023;0.080461;0.012789;0.006699;0.106834;0.030694;0.000009;0.000336;0.000106;0.002095;0.001052;0.001547;0.000009;0.000663;0.000009;0.000009;0.000009;0.000009;0.000009;0.000009
t;0.000003;0.069864;0.001225;0.259611;0.035737;0.007395;0.000276;0.079706;0.015924;0.013542;0.313206;0.069216;0.043912;0.002620;0.041469;0.004876;0.000118;0.000126;0.000492;0.014527;0.000457;0.024911;0.000241;0.000019;0.000003;0.000008;0.000227;0.000096;0.000145;0.000003;0.000025;0.000005;0.000003;0.000003;0.000005;0.000003;0.000003
