smoothed;2
(;s;t;a;e; ;o;r;n;y;g;l;d;h;i;);c;p;u;f;k;w;m;b;v;z;j;x;,;q;.;#
(;0.000063;0.062527;0.145021;0.123490;0.024660;0.020655;0.047255;0.024035;0.023722;0.026726;0.019591;0.024347;0.031170;0.041372;0.070289;0.000063;0.049759;0.037742;0.010453;0.033799;0.005883;0.071666;0.033423;0.052889;0.004945;0.000563;0.010640;0.000125;0.000501;0.001878;0.000688;0.000063
s;0.000037;0.034520;0.128005;0.032594;0.112449;0.364125;0.065928;0.000556;0.006815;0.005037;0.000704;0.008148;0.000556;0.034890;0.051076;0.070151;0.014186;0.016927;0.022593;0.000630;0.004926;0.003074;0.005408;0.000815;0.000185;0.000037;0.000111;0.000037;0.006297;0.000741;0.007111;0.001333
t;0.000025;0.043076;0.014901;0.040672;0.080318;0.247038;0.091312;0.033484;0.000626;0.013198;0.000150;0.009943;0.000150;0.279196;0.067921;0.039821;0.004483;0.000125;0.016630;0.000501;0.000025;0.005485;0.001478;0.000651;0.001002;0.000250;0.000025;0.000025;0.003156;0.000050;0.003356;0.000927
a;0.000029;0.073856;0.154362;0.000171;0.000599;0.079221;0.000400;0.090665;0.185269;0.032276;0.017066;0.090180;0.030707;0.003310;0.023629;0.013327;0.039411;0.015268;0.031592;0.005708;0.014298;0.006307;0.027796;0.030707;0.024429;0.002768;0.000942;0.004623;0.000485;0.000057;0.000400;0.000143
e;0.000021;0.075474;0.029516;0.052320;0.026087;0.296402;0.010100;0.119779;0.085781;0.018776;0.005081;0.032594;0.057463;0.002293;0.011464;0.053249;0.029599;0.008923;0.001157;0.008056;0.001343;0.006486;0.020573;0.004007;0.019705;0.000351;0.000083;0.013591;0.003119;0.002189;0.003842;0.000578
 ;0.000013;0.059729;0.157304;0.111132;0.020579;0.003888;0.054690;0.022562;0.025158;0.025529;0.021641;0.028138;0.032666;0.050175;0.086038;0.001113;0.045187;0.033906;0.009912;0.036042;0.008211;0.064500;0.035556;0.047975;0.005078;0.000499;0.009861;0.000294;0.000665;0.001739;0.000205;0.000013
o;0.000031;0.028624;0.046514;0.004557;0.006911;0.118838;0.032691;0.108960;0.148226;0.003609;0.007034;0.028838;0.014679;0.005046;0.015566;0.018471;0.011223;0.022905;0.152110;0.068777;0.019480;0.050214;0.053761;0.011254;0.016728;0.000428;0.000765;0.001193;0.001804;0.000031;0.000428;0.000306
r;0.000044;0.058022;0.044344;0.071046;0.249989;0.159124;0.078974;0.018861;0.017598;0.041643;0.011151;0.014549;0.024176;0.001350;0.089907;0.030971;0.008015;0.003528;0.030405;0.003267;0.013329;0.001307;0.013896;0.002570;0.005358;0.000087;0.000087;0.000044;0.002483;0.000087;0.003354;0.000436
n;0.000035;0.043692;0.114540;0.033452;0.079427;0.186218;0.070813;0.002006;0.010586;0.016882;0.140935;0.007265;0.138721;0.000657;0.034836;0.035113;0.038157;0.000830;0.007818;0.007991;0.014564;0.000381;0.003010;0.000726;0.005500;0.000346;0.000692;0.000173;0.002076;0.000104;0.002006;0.000450
y;0.000097;0.032264;0.010040;0.004484;0.051564;0.508237;0.204893;0.010625;0.001755;0.000097;0.000487;0.004971;0.001267;0.000487;0.023004;0.099425;0.001267;0.004484;0.000195;0.000682;0.000195;0.002534;0.005946;0.006531;0.002339;0.000292;0.000097;0.000097;0.012184;0.000097;0.008188;0.001170
