smoothed;2
(;h;e;l;o; ;i;m;d;n;g;r;a;t;);y;u;k;c;p;s;f;b;v;w;z;q;j;x;,;.;?;#
(;0.000015;0.031189;0.025086;0.044629;0.044188;0.008896;0.082729;0.037983;0.041556;0.019984;0.022822;0.030998;0.081509;0.141622;0.000235;0.042673;0.013058;0.011779;0.046585;0.046055;0.071024;0.022792;0.043453;0.007073;0.070010;0.000162;0.002485;0.009088;0.000059;0.000176;0.000059;0.000015;0.000015
h;0.000009;0.000325;0.324700;0.000566;0.065954;0.094545;0.146268;0.001281;0.000186;0.001922;0.000019;0.008921;0.273831;0.040983;0.014964;0.015493;0.007686;0.000019;0.000176;0.000056;0.001003;0.000121;0.000223;0.000019;0.000102;0.000009;0.000009;0.000019;0.000009;0.000492;0.000065;0.000019;0.000009
e;0.000004;0.001015;0.023332;0.033809;0.019040;0.340527;0.009051;0.018273;0.037185;0.073162;0.004463;0.113105;0.063288;0.032323;0.058289;0.017301;0.000981;0.000578;0.027581;0.006352;0.068201;0.007526;0.004785;0.022561;0.004361;0.000201;0.001148;0.000137;0.011236;0.000060;0.000094;0.000026;0.000004
l;0.000011;0.000033;0.134181;0.153384;0.048122;0.119083;0.227074;0.002216;0.067675;0.000142;0.000491;0.003286;0.048952;0.012434;0.019847;0.106419;0.010622;0.014782;0.000655;0.002183;0.013821;0.007642;0.000633;0.002806;0.003286;0.000011;0.000022;0.000022;0.000011;0.000098;0.000033;0.000011;0.000011
o;0.000006;0.007498;0.007826;0.022598;0.019729;0.135718;0.013802;0.048788;0.018042;0.139988;0.005502;0.091825;0.002427;0.051828;0.020099;0.002463;0.189074;0.023229;0.008566;0.034119;0.021537;0.060424;0.012473;0.011151;0.050408;0.000115;0.000030;0.000231;0.000425;0.000036;0.000024;0.000012;0.000006
 ;0.000002;0.032080;0.016740;0.043451;0.057186;0.007093;0.113144;0.036887;0.034514;0.021075;0.022567;0.021785;0.095850;0.155600;0.001621;0.044338;0.010628;0.012407;0.032859;0.030171;0.060665;0.022145;0.041556;0.005997;0.068456;0.000170;0.001679;0.008937;0.000206;0.000108;0.000077;0.000002;0.000002
i;0.000006;0.000193;0.023510;0.028726;0.040562;0.090427;0.000349;0.045578;0.030330;0.223881;0.034298;0.017670;0.013745;0.126347;0.014868;0.000037;0.000112;0.082048;0.044580;0.004305;0.107816;0.035614;0.006308;0.022543;0.000062;0.004330;0.000611;0.000087;0.001029;0.000006;0.000006;0.000006;0.000006
m;0.000021;0.001232;0.313157;0.000431;0.089632;0.170227;0.071393;0.022572;0.000062;0.001972;0.000062;0.000513;0.128533;0.000082;0.029186;0.048308;0.031589;0.000021;0.000616;0.046418;0.025263;0.002403;0.015527;0.000103;0.000062;0.000021;0.000021;0.000021;0.000021;0.000062;0.000288;0.000103;0.000082
d;0.000016;0.000447;0.122293;0.004666;0.153246;0.436520;0.081561;0.001822;0.007335;0.014606;0.004235;0.010930;0.023794;0.000160;0.066220;0.027086;0.019495;0.000064;0.001406;0.000719;0.019224;0.000320;0.000352;0.002445;0.000655;0.000032;0.000032;0.000128;0.000048;0.000064;0.000048;0.000016;0.000016
n;0.000008;0.000458;0.060543;0.005507;0.095499;0.203482;0.025937;0.002330;0.121716;0.013268;0.139404;0.000303;0.027133;0.145517;0.032089;0.018558;0.004568;0.026753;0.025223;0.000171;0.040626;0.003565;0.000225;0.005072;0.000225;0.000225;0.000202;0.001142;0.000054;0.000062;0.000101;0.000016;0.000016
g;0.000023;0.127551;0.104923;0.011209;0.125683;0.325557;0.041100;0.001635;0.000631;0.007800;0.005091;0.048480;0.046238;0.001308;0.047662;0.005301;0.068026;0.000047;0.000023;0.000047;0.030078;0.000584;0.000490;0.000023;0.000070;0.000070;0.000023;0.000023;0.000047;0.000023;0.000140;0.000070;0.000023
r;0.000010;0.000886;0.312970;0.007950;0.069852;0.173234;0.092160;0.014108;0.019682;0.011347;0.014775;0.014160;0.065476;0.037437;0.030810;0.042355;0.014389;0.008554;0.009867;0.002459;0.047471;0.002032;0.001469;0.004616;0.001313;0.000021;0.000010;0.000063;0.000083;0.000042;0.000375;0.000010;0.000010
