smoothed;2
(;w;h;o;s; ;l;i;b;e;r;a;c;);y;u;m;n;k;p;d;t;g;x;v;f;j;q;z;.;,;#
(;0.000025;0.073515;0.041542;0.042704;0.075740;0.002522;0.031305;0.069706;0.043916;0.021488;0.029129;0.087387;0.051334;0.000049;0.045226;0.012018;0.040949;0.023466;0.013427;0.040998;0.035385;0.142652;0.023639;0.000049;0.007245;0.030884;0.009990;0.003140;0.000321;0.000148;0.000074;0.000025
w;0.000033;0.000167;0.198744;0.089771;0.016765;0.156330;0.001636;0.095114;0.000334;0.204388;0.009184;0.172494;0.000200;0.025849;0.002004;0.000301;0.000534;0.021140;0.000367;0.000301;0.003139;0.000367;0.000033;0.000067;0.000033;0.000501;0.000033;0.000033;0.000033;0.000033;0.000033;0.000033
h;0.000015;0.000214;0.000153;0.083615;0.001695;0.095586;0.000794;0.130064;0.000550;0.369791;0.008306;0.230444;0.000428;0.016201;0.010948;0.008597;0.001191;0.001771;0.000031;0.000061;0.000321;0.038891;0.000046;0.000015;0.000015;0.000137;0.000015;0.000046;0.000015;0.000015;0.000015;0.000015
o;0.000010;0.062017;0.006522;0.023725;0.020894;0.133735;0.026669;0.013738;0.009874;0.007401;0.087838;0.002566;0.010815;0.020710;0.002443;0.188474;0.053073;0.138498;0.020812;0.026925;0.015221;0.051631;0.005980;0.001288;0.012021;0.056661;0.000225;0.000061;0.000133;0.000020;0.000010;0.000010
s;0.000014;0.003108;0.038323;0.083361;0.031333;0.374613;0.006576;0.042012;0.000718;0.104830;0.000635;0.044927;0.011398;0.061201;0.002943;0.025171;0.006797;0.008220;0.006093;0.017697;0.000525;0.127003;0.001271;0.000014;0.000083;0.000553;0.000028;0.000359;0.000014;0.000124;0.000014;0.000041
 ;0.000004;0.074600;0.041964;0.053491;0.063495;0.002965;0.028178;0.095876;0.043119;0.013953;0.021172;0.103432;0.036631;0.000680;0.047106;0.010646;0.035501;0.024904;0.014671;0.028653;0.032323;0.155413;0.024512;0.000075;0.006055;0.028003;0.010000;0.002098;0.000267;0.000108;0.000100;0.000004
l;0.000021;0.004528;0.000107;0.060855;0.018519;0.126410;0.159710;0.145271;0.000662;0.160266;0.003311;0.067883;0.000897;0.022471;0.100414;0.013906;0.004443;0.000449;0.017686;0.002713;0.059146;0.016576;0.000940;0.000021;0.003354;0.009292;0.000021;0.000021;0.000021;0.000021;0.000021;0.000043
i;0.000012;0.000012;0.000177;0.042924;0.120191;0.075873;0.032831;0.000390;0.006599;0.027424;0.025559;0.019538;0.050586;0.011534;0.000071;0.000519;0.042582;0.228210;0.026657;0.005690;0.042913;0.139705;0.037765;0.001417;0.026173;0.028970;0.000153;0.000342;0.005147;0.000012;0.000012;0.000012
b;0.000053;0.000107;0.000107;0.142369;0.019104;0.013180;0.089221;0.057204;0.004749;0.351814;0.038420;0.089434;0.003255;0.002988;0.041355;0.130736;0.000694;0.000374;0.000053;0.000640;0.000160;0.002508;0.000107;0.000053;0.008911;0.000053;0.002081;0.000053;0.000053;0.000053;0.000053;0.000053
e;0.000007;0.007094;0.001165;0.015354;0.069713;0.325969;0.032376;0.009600;0.002433;0.029069;0.116445;0.056187;0.026564;0.058714;0.022208;0.000612;0.018399;0.074338;0.001588;0.007204;0.047738;0.031014;0.006096;0.011297;0.019528;0.007728;0.000095;0.000852;0.000546;0.000036;0.000007;0.000022
r;0.000017;0.002168;0.000632;0.074200;0.053239;0.174157;0.009286;0.093573;0.002100;0.294495;0.016438;0.060050;0.010224;0.031834;0.040608;0.019442;0.013314;0.014611;0.008995;0.002970;0.020090;0.037962;0.008893;0.000137;0.006572;0.002151;0.000154;0.000051;0.000017;0.001587;0.000017;0.000017
a;0.000011;0.006626;0.018013;0.000305;0.069924;0.077045;0.097133;0.026830;0.027040;0.000621;0.074590;0.000190;0.039239;0.014221;0.048709;0.022722;0.023459;0.175894;0.013926;0.016580;0.026872;0.163190;0.016601;0.001201;0.031180;0.005172;0.000611;0.000063;0.001970;0.000042;0.000011;0.000011
c;0.000035;0.000173;0.120991;0.178044;0.005916;0.024115;0.038681;0.060547;0.000242;0.108432;0.042556;0.194686;0.014601;0.012075;0.006470;0.032592;0.000138;0.002318;0.059786;0.000830;0.001349;0.094454;0.000277;0.000035;0.000173;0.000104;0.000035;0.000173;0.000035;0.000035;0.000035;0.000069
);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
y;0.000028;0.003582;0.000085;0.308590;0.028851;0.433019;0.002425;0.019093;0.008376;0.076710;0.015004;0.002510;0.001184;0.079418;0.000028;0.000282;0.002848;0.001777;0.000141;0.003497;0.000846;0.008348;0.000254;0.000056;0.002059;0.000620;0.000028;0.000028;0.000197;0.000056;0.000028;0.000028
u;0.000024;0.000024;0.007278;0.003469;0.142261;0.164920;0.073920;0.011790;0.019141;0.028894;0.123338;0.031781;0.020112;0.026298;0.011354;0.000364;0.032072;0.072635;0.000558;0.033649;0.017079;0.138161;0.029622;0.000340;0.004585;0.003979;0.000024;0.000049;0.002062;0.000170;0.000024;0.000024
m;0.000036;0.000214;0.001034;0.090387;0.019939;0.151668;0.000428;0.082219;0.019868;0.296558;0.002533;0.138755;0.002961;0.026182;0.047619;0.033851;0.027145;0.001783;0.000036;0.054004;0.000285;0.000178;0.000036;0.000036;0.000071;0.001569;0.000036;0.000036;0.000071;0.000392;0.000036;0.000036
n;0.000013;0.000311;0.000493;0.103243;0.036465;0.205720;0.006177;0.026083;0.000753;0.074655;0.000675;0.029989;0.021931;0.034752;0.015455;0.005230;0.002206;0.014664;0.022060;0.000623;0.135062;0.131169;0.122890;0.000117;0.003763;0.004217;0.000960;0.000143;0.000117;0.000039;0.000013;0.000013
k;0.000066;0.000724;0.000592;0.004672;0.029741;0.241742;0.005330;0.123898;0.001382;0.280629;0.000790;0.077971;0.000132;0.037373;0.004672;0.000592;0.000921;0.183050;0.000592;0.000395;0.000790;0.000526;0.002106;0.000066;0.000066;0.000790;0.000066;0.000066;0.000066;0.000066;0.000066;0.000066
p;0.000049;0.000195;0.020794;0.124518;0.013618;0.085078;0.139357;0.049104;0.000342;0.213599;0.131400;0.075755;0.000976;0.012984;0.005760;0.045395;0.001025;0.000195;0.000195;0.059355;0.000635;0.018255;0.000098;0.000049;0.000049;0.000390;0.000195;0.000098;0.000049;0.000390;0.000049;0.000049
d;0.000026;0.000512;0.000281;0.128031;0.020541;0.459608;0.005756;0.085337;0.000742;0.111788;0.014351;0.034918;0.001637;0.069579;0.016909;0.012432;0.003530;0.017906;0.000051;0.000716;0.007290;0.000256;0.004451;0.000026;0.002353;0.000588;0.000230;0.000026;0.000051;0.000026;0.000026;0.000026
t;0.000009;0.005162;0.298704;0.079419;0.051308;0.278641;0.008176;0.059433;0.000206;0.067378;0.023670;0.033685;0.003624;0.044197;0.010306;0.018062;0.000893;0.000421;0.000034;0.000086;0.000275;0.014506;0.000137;0.000009;0.000232;0.000936;0.000017;0.000103;0.000215;0.000120;0.000009;0.000026
g;0.000040;0.000443;0.134033;0.124698;0.018550;0.300579;0.012112;0.041244;0.000765;0.132303;0.050740;0.052390;0.000040;0.046757;0.004829;0.053155;0.002656;0.011066;0.000040;0.000282;0.000724;0.003058;0.008490;0.000040;0.000040;0.000684;0.000040;0.000040;0.000040;0.000040;0.000040;0.000040
x;0.000502;0.001505;0.005018;0.004516;0.000502;0.167587;0.000502;0.076267;0.001505;0.042649;0.000502;0.205720;0.074260;0.030607;0.007025;0.069242;0.001004;0.000502;0.000502;0.141997;0.000502;0.157050;0.001505;0.003512;0.001004;0.001505;0.000502;0.000502;0.000502;0.000502;0.000502;0.000502
v;0.000082;0.000082;0.000164;0.034214;0.000738;0.003774;0.000574;0.169921;0.000082;0.739088;0.000164;0.046521;0.000164;0.000656;0.001559;0.000738;0.000082;0.000164;0.000082;0.000164;0.000082;0.000082;0.000082;0.000082;0.000082;0.000082;0.000082;0.000082;0.000082;0.000082;0.000082;0.000082
f;0.000050;0.000100;0.000150;0.171752;0.000701;0.304324;0.014830;0.102911;0.001854;0.087930;0.075655;0.061827;0.000752;0.048249;0.005161;0.034471;0.000200;0.000150;0.000100;0.000752;0.001002;0.032567;0.000150;0.000050;0.000050;0.053961;0.000050;0.000050;0.000050;0.000050;0.000050;0.000050
j;0.000326;0.000978;0.000326;0.170199;0.000652;0.003587;0.000326;0.024128;0.000652;0.070101;0.009455;0.069449;0.002282;0.000652;0.000326;0.638735;0.000326;0.000326;0.001630;0.000326;0.000652;0.000652;0.000326;0.000326;0.000326;0.000652;0.000652;0.000326;0.000326;0.000326;0.000326;0.000326
q;0.001149;0.001149;0.001149;0.001149;0.001149;0.019540;0.001149;0.003448;0.001149;0.001149;0.002299;0.008046;0.001149;0.002299;0.001149;0.934483;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149
z;0.001032;0.001032;0.002064;0.043344;0.001032;0.119711;0.004128;0.141383;0.001032;0.393189;0.001032;0.090815;0.002064;0.015480;0.078431;0.046440;0.003096;0.002064;0.002064;0.002064;0.001032;0.001032;0.001032;0.001032;0.001032;0.005160;0.001032;0.001032;0.031992;0.001032;0.001032;0.002064
.;0.004785;0.004785;0.004785;0.009569;0.038278;0.531100;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.066986;0.177033;0.004785;0.004785;0.052632;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785;0.004785
,;0.017544;0.017544;0.017544;0.017544;0.017544;0.368421;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.105263;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544;0.017544
#;0.024390;0.024390;0.024390;0.024390;0.048780;0.048780;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.146341;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.024390;0.048780;0.024390;0.024390;0.024390
