smoothed;3
(;s;o; ;w;i;t;h;a;b;e;n;g;d;u;);c;l;m;p;f;r;k;y;v;j;z;x;q;.;,;é;#
((;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(s;0.000187;0.000375;0.305774;0.003375;0.003187;0.041620;0.152981;0.077990;0.098800;0.000187;0.112111;0.003000;0.000187;0.000187;0.069179;0.000187;0.038808;0.010499;0.008249;0.047432;0.000375;0.000187;0.009186;0.013311;0.000187;0.000187;0.000187;0.000187;0.001125;0.000187;0.000187;0.000187;0.000187
(o;0.000329;0.001974;0.000329;0.000329;0.014145;0.001316;0.059539;0.017105;0.000329;0.039803;0.000329;0.195395;0.000329;0.001645;0.105921;0.000329;0.007895;0.013487;0.000658;0.044079;0.343421;0.085855;0.036184;0.000329;0.025329;0.000329;0.000329;0.001316;0.000329;0.000329;0.000329;0.000329;0.000329
( ;0.004808;0.038462;0.076923;0.033654;0.062500;0.076923;0.120192;0.024038;0.057692;0.052885;0.014423;0.009615;0.004808;0.024038;0.019231;0.004808;0.019231;0.014423;0.038462;0.043269;0.019231;0.014423;0.019231;0.153846;0.014423;0.004808;0.004808;0.004808;0.004808;0.004808;0.004808;0.004808;0.004808
(w;0.000185;0.000185;0.115762;0.000185;0.000185;0.099092;0.000185;0.313391;0.201148;0.000185;0.243008;0.000185;0.000185;0.000185;0.000185;0.000185;0.000185;0.000185;0.000185;0.000185;0.000185;0.022412;0.000185;0.000370;0.000185;0.000185;0.000185;0.000185;0.000185;0.000185;0.000185;0.000185;0.000185
(i;0.000178;0.117783;0.000356;0.204027;0.000178;0.000356;0.205987;0.000178;0.000356;0.000178;0.000178;0.295082;0.002673;0.030827;0.000178;0.000535;0.001426;0.008197;0.075196;0.000891;0.032965;0.006058;0.000178;0.000178;0.014433;0.000178;0.000178;0.000178;0.000178;0.000178;0.000178;0.000178;0.000178
(t;0.000085;0.000341;0.116392;0.000085;0.010410;0.016725;0.000085;0.748101;0.035071;0.000085;0.027477;0.000085;0.000085;0.000085;0.004523;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085;0.036949;0.000085;0.001792;0.000341;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085;0.000085
(h;0.000355;0.000355;0.155950;0.000710;0.000355;0.107993;0.000355;0.000355;0.432327;0.000710;0.242274;0.000355;0.000355;0.000355;0.041918;0.000355;0.000355;0.000355;0.001421;0.000355;0.000355;0.001066;0.000355;0.007460;0.000355;0.000355;0.000355;0.000355;0.000355;0.000355;0.000355;0.000355;0.000355
(a;0.000141;0.042646;0.000141;0.083322;0.009289;0.002815;0.040394;0.000844;0.000281;0.088811;0.000281;0.370021;0.027586;0.019564;0.015201;0.000141;0.064180;0.100915;0.028008;0.013371;0.016467;0.071077;0.000563;0.000704;0.002111;0.000141;0.000141;0.000141;0.000141;0.000141;0.000141;0.000141;0.000141
(b;0.000284;0.000284;0.058874;0.000284;0.000284;0.054323;0.000284;0.000284;0.094425;0.000284;0.454209;0.000853;0.000284;0.000284;0.196530;0.000284;0.000284;0.038965;0.000284;0.000284;0.000284;0.068828;0.000284;0.026166;0.000284;0.000284;0.000284;0.000284;0.000284;0.000284;0.000284;0.000284;0.000284
(e;0.000518;0.040435;0.000518;0.000518;0.000518;0.021773;0.011923;0.000518;0.054951;0.001037;0.001037;0.162779;0.002592;0.023328;0.009850;0.000518;0.028512;0.048212;0.034215;0.007258;0.015552;0.009331;0.000518;0.002592;0.308450;0.001037;0.001037;0.190772;0.017626;0.000518;0.000518;0.000518;0.000518
(n;0.000718;0.000718;0.534483;0.001437;0.000718;0.035920;0.000718;0.000718;0.106322;0.001437;0.243534;0.000718;0.000718;0.002155;0.052443;0.000718;0.000718;0.000718;0.000718;0.003592;0.000718;0.002155;0.000718;0.000718;0.000718;0.000718;0.000718;0.000718;0.000718;0.000718;0.000718;0.000718;0.000718
(g;0.000532;0.000532;0.429787;0.000532;0.000532;0.052660;0.000532;0.000532;0.035638;0.000532;0.206915;0.001596;0.000532;0.000532;0.104787;0.000532;0.000532;0.012766;0.000532;0.000532;0.000532;0.142021;0.000532;0.001064;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532;0.000532
(d;0.000368;0.000736;0.375644;0.000736;0.001104;0.301692;0.000368;0.001104;0.069169;0.000368;0.187638;0.000368;0.000368;0.000368;0.016556;0.000368;0.002208;0.000368;0.000736;0.000736;0.000368;0.030537;0.000368;0.004047;0.000368;0.000736;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368
(u;0.001314;0.168200;0.001314;0.001314;0.001314;0.001314;0.014455;0.027595;0.001314;0.002628;0.001314;0.498029;0.003942;0.001314;0.001314;0.001314;0.002628;0.014455;0.026281;0.201051;0.003942;0.005256;0.003942;0.001314;0.001314;0.001314;0.001314;0.001314;0.001314;0.002628;0.001314;0.001314;0.001314
();0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(c;0.000287;0.000287;0.481609;0.001149;0.000862;0.019253;0.000287;0.099425;0.199713;0.000575;0.037931;0.002299;0.000287;0.000287;0.033333;0.000287;0.000287;0.061207;0.000287;0.000575;0.000287;0.055460;0.000287;0.001149;0.000287;0.000287;0.000287;0.000287;0.000287;0.000287;0.000287;0.000287;0.000287
(l;0.000431;0.000431;0.157827;0.000431;0.000431;0.532126;0.000431;0.000431;0.088400;0.000431;0.198361;0.000431;0.000431;0.000431;0.010781;0.000431;0.000431;0.000431;0.000431;0.000431;0.000431;0.000431;0.000431;0.000862;0.000431;0.000431;0.000431;0.000431;0.000431;0.000431;0.000431;0.000431;0.000431
(m;0.000353;0.001410;0.227080;0.000353;0.000353;0.116008;0.000353;0.000705;0.224612;0.000353;0.222496;0.000353;0.000353;0.000353;0.095205;0.000353;0.005642;0.000353;0.012694;0.000353;0.000353;0.001058;0.000353;0.085331;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353;0.000353
(p;0.000292;0.009349;0.156296;0.000292;0.000292;0.022787;0.000292;0.036518;0.105463;0.000292;0.287175;0.000292;0.000292;0.000292;0.059305;0.000292;0.000292;0.048495;0.000292;0.000292;0.000292;0.267602;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292;0.000292
(f;0.000454;0.000454;0.282599;0.001363;0.000454;0.168105;0.000454;0.000454;0.170831;0.000909;0.085870;0.000454;0.000454;0.000454;0.048614;0.000454;0.000454;0.023626;0.000454;0.000454;0.000454;0.207179;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454;0.000454
(r;0.000433;0.000433;0.051537;0.000433;0.000433;0.255089;0.000433;0.002599;0.079255;0.000433;0.556518;0.000433;0.000433;0.002165;0.040277;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.001732;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433;0.000433
(k;0.000900;0.000900;0.008101;0.003600;0.000900;0.221422;0.000900;0.002700;0.028803;0.000900;0.050405;0.655266;0.000900;0.000900;0.003600;0.000900;0.000900;0.000900;0.000900;0.000900;0.000900;0.003600;0.000900;0.001800;0.000900;0.000900;0.000900;0.000900;0.000900;0.000900;0.000900;0.000900;0.000900
(y;0.000318;0.000318;0.703433;0.000636;0.000318;0.000318;0.000318;0.000318;0.004132;0.000318;0.282581;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318;0.000318
(v;0.002110;0.004219;0.109705;0.002110;0.002110;0.335443;0.002110;0.002110;0.120253;0.002110;0.371308;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110;0.002110
