smoothed;2
(;w;e;l;c;o;m; ;t;p;d;s;a;v;r;i;j;h;n;);f;u;y;k;g;b;z;x;q;.;,;é;#
(;0.000026;0.070061;0.022140;0.030335;0.053567;0.038998;0.035434;0.003902;0.158749;0.047219;0.041860;0.070087;0.093423;0.007441;0.035043;0.070685;0.009574;0.043603;0.022322;0.000078;0.028565;0.009756;0.025912;0.014543;0.020865;0.042016;0.000208;0.000052;0.003200;0.000104;0.000182;0.000026;0.000026
w;0.000035;0.000211;0.212058;0.001652;0.000246;0.080647;0.000281;0.146739;0.000387;0.000070;0.001195;0.019687;0.173739;0.000035;0.010687;0.097451;0.000035;0.207980;0.017226;0.024187;0.001266;0.000211;0.003129;0.000246;0.000035;0.000246;0.000070;0.000035;0.000035;0.000070;0.000035;0.000035;0.000035
e;0.000007;0.008222;0.025729;0.031516;0.027291;0.012520;0.021057;0.319462;0.029345;0.012036;0.050189;0.077385;0.055902;0.018761;0.114922;0.010642;0.000117;0.001203;0.077289;0.056504;0.007554;0.000587;0.022120;0.002244;0.006256;0.002208;0.000374;0.007635;0.000887;0.000015;0.000007;0.000007;0.000007
l;0.000022;0.003322;0.157830;0.154395;0.001684;0.057713;0.002357;0.130623;0.016050;0.004041;0.063190;0.027364;0.063639;0.004983;0.002492;0.161152;0.000022;0.000090;0.000494;0.024019;0.006802;0.011359;0.086289;0.018699;0.000584;0.000539;0.000045;0.000022;0.000067;0.000022;0.000022;0.000022;0.000045
c;0.000035;0.000035;0.115538;0.034363;0.017199;0.187454;0.000277;0.021672;0.086758;0.000312;0.000277;0.007247;0.208086;0.000069;0.056105;0.050938;0.000035;0.111134;0.000832;0.005479;0.000035;0.033115;0.012865;0.048476;0.000867;0.000243;0.000069;0.000035;0.000312;0.000035;0.000035;0.000035;0.000035
o;0.000011;0.056241;0.007958;0.026960;0.012798;0.022468;0.049984;0.133566;0.052905;0.024943;0.014772;0.022392;0.002987;0.015502;0.107239;0.014041;0.000338;0.006497;0.147989;0.021127;0.066761;0.160220;0.001319;0.012221;0.004066;0.013125;0.000283;0.001232;0.000011;0.000011;0.000011;0.000011;0.000011
m;0.000037;0.000075;0.291737;0.000225;0.008199;0.097720;0.030327;0.127822;0.000150;0.096185;0.000075;0.020405;0.136770;0.000112;0.001123;0.090906;0.000037;0.001048;0.002172;0.019581;0.000861;0.029016;0.023850;0.000075;0.000037;0.020780;0.000037;0.000037;0.000037;0.000449;0.000037;0.000037;0.000037
 ;0.000004;0.076896;0.014754;0.027633;0.035036;0.055315;0.031025;0.002498;0.177380;0.031989;0.032612;0.058576;0.109169;0.006108;0.023247;0.091280;0.010429;0.047375;0.022776;0.000615;0.026883;0.009365;0.029002;0.015526;0.021259;0.040901;0.000205;0.000052;0.001888;0.000052;0.000131;0.000004;0.000013
t;0.000008;0.005696;0.073235;0.005654;0.002299;0.082261;0.001376;0.258510;0.015947;0.000109;0.000168;0.043865;0.034822;0.000377;0.032414;0.071104;0.000017;0.309204;0.000612;0.039704;0.000470;0.010209;0.011031;0.000134;0.000059;0.000369;0.000218;0.000008;0.000008;0.000067;0.000008;0.000017;0.000017
p;0.000046;0.000046;0.177317;0.117013;0.000228;0.143228;0.000683;0.102813;0.015156;0.055571;0.000501;0.020481;0.105407;0.000046;0.133443;0.033497;0.000137;0.010877;0.000046;0.018068;0.001456;0.060031;0.002822;0.000091;0.000091;0.000091;0.000046;0.000046;0.000046;0.000546;0.000046;0.000046;0.000046
