smoothed;3
(;h;i; ;e;v;r;y;o;n;w;l;c;m;t;b;);s;f;q;a;p;u;g;k;z;d;x;j;,;.;?;#
((;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(h;0.001059;0.001059;0.153602;0.001059;0.270127;0.001059;0.001059;0.019068;0.135593;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.002119;0.001059;0.001059;0.001059;0.001059;0.351695;0.001059;0.040254;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059;0.001059
(i;0.000394;0.000394;0.000394;0.184221;0.000394;0.014990;0.002367;0.000394;0.000394;0.256016;0.000394;0.007890;0.001972;0.069034;0.261144;0.000394;0.003156;0.111243;0.045759;0.000394;0.000394;0.000394;0.000394;0.000394;0.000394;0.000394;0.033925;0.000394;0.000394;0.000394;0.000394;0.000394;0.000394
( ;0.010870;0.043478;0.086957;0.021739;0.021739;0.010870;0.032609;0.043478;0.043478;0.021739;0.076087;0.021739;0.043478;0.054348;0.086957;0.032609;0.043478;0.010870;0.032609;0.010870;0.086957;0.032609;0.010870;0.010870;0.021739;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870;0.010870
(e;0.001214;0.001214;0.008495;0.001214;0.002427;0.219660;0.009709;0.003641;0.001214;0.157767;0.001214;0.035194;0.023058;0.066748;0.023058;0.001214;0.001214;0.082524;0.020631;0.026699;0.047330;0.002427;0.007282;0.004854;0.001214;0.001214;0.016990;0.224515;0.001214;0.001214;0.001214;0.001214;0.001214
(v;0.004329;0.004329;0.259740;0.004329;0.354978;0.004329;0.004329;0.004329;0.064935;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329;0.190476;0.004329;0.008658;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329;0.004329
(r;0.001060;0.001060;0.154825;0.001060;0.632025;0.001060;0.001060;0.001060;0.041357;0.001060;0.002121;0.001060;0.001060;0.001060;0.001060;0.001060;0.001060;0.001060;0.001060;0.001060;0.086957;0.001060;0.051962;0.001060;0.001060;0.001060;0.003181;0.001060;0.001060;0.001060;0.001060;0.001060;0.001060
(y;0.000919;0.000919;0.000919;0.000919;0.159007;0.000919;0.000919;0.000919;0.810662;0.000919;0.000919;0.000919;0.000919;0.000919;0.000919;0.000919;0.000919;0.000919;0.000919;0.000919;0.001838;0.000919;0.001838;0.000919;0.000919;0.000919;0.000919;0.000919;0.000919;0.000919;0.000919;0.000919;0.000919
(o;0.000871;0.012195;0.000871;0.000871;0.000871;0.034843;0.121951;0.000871;0.000871;0.179443;0.008711;0.006098;0.010453;0.002613;0.038328;0.061847;0.000871;0.000871;0.304878;0.000871;0.000871;0.054878;0.089721;0.000871;0.055749;0.000871;0.001742;0.001742;0.000871;0.000871;0.000871;0.000871;0.000871
(n;0.001883;0.001883;0.043315;0.001883;0.244821;0.001883;0.001883;0.001883;0.516008;0.001883;0.001883;0.001883;0.001883;0.001883;0.001883;0.001883;0.001883;0.001883;0.001883;0.001883;0.101695;0.001883;0.041431;0.001883;0.001883;0.001883;0.001883;0.001883;0.001883;0.001883;0.001883;0.001883;0.001883
(w;0.000501;0.368869;0.110110;0.000501;0.252252;0.000501;0.031532;0.000501;0.111612;0.000501;0.001001;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.111612;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501;0.000501
(l;0.001412;0.001412;0.406780;0.001412;0.275424;0.001412;0.001412;0.001412;0.139831;0.001412;0.001412;0.001412;0.001412;0.001412;0.001412;0.001412;0.001412;0.001412;0.001412;0.001412;0.129944;0.001412;0.008475;0.001412;0.001412;0.001412;0.001412;0.001412;0.001412;0.001412;0.001412;0.001412;0.001412
(c;0.000750;0.092954;0.020990;0.002249;0.038981;0.000750;0.042729;0.004498;0.490255;0.000750;0.000750;0.057721;0.000750;0.000750;0.000750;0.000750;0.000750;0.000750;0.000750;0.000750;0.206897;0.000750;0.024738;0.000750;0.000750;0.001499;0.000750;0.000750;0.000750;0.000750;0.000750;0.000750;0.000750
(m;0.000991;0.000991;0.105055;0.000991;0.187314;0.000991;0.003964;0.070367;0.201189;0.000991;0.000991;0.000991;0.001982;0.006938;0.000991;0.000991;0.000991;0.000991;0.000991;0.000991;0.309217;0.000991;0.090188;0.000991;0.000991;0.000991;0.000991;0.000991;0.000991;0.000991;0.000991;0.000991;0.000991
(t;0.000225;0.769058;0.008770;0.000225;0.023611;0.000225;0.037104;0.005172;0.118732;0.000225;0.010344;0.000225;0.000225;0.000225;0.000450;0.000225;0.000225;0.000225;0.000225;0.000225;0.018889;0.000225;0.002698;0.000225;0.000225;0.000225;0.000225;0.000225;0.000225;0.000225;0.000225;0.000225;0.000225
(b;0.000739;0.000739;0.044346;0.001478;0.432373;0.000739;0.039172;0.032520;0.058389;0.000739;0.000739;0.016999;0.000739;0.000739;0.000739;0.000739;0.000739;0.000739;0.000739;0.000739;0.053954;0.000739;0.303030;0.000739;0.000739;0.000739;0.000739;0.000739;0.000739;0.000739;0.000739;0.000739;0.000739
();0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(s;0.000471;0.076379;0.041490;0.003300;0.101839;0.000471;0.000471;0.016502;0.385196;0.000943;0.002357;0.008958;0.025460;0.005658;0.144272;0.000471;0.000471;0.000471;0.000471;0.000471;0.057520;0.041961;0.075436;0.000471;0.004243;0.000471;0.000471;0.000471;0.000943;0.000471;0.000471;0.000471;0.000471
(f;0.001307;0.001307;0.166013;0.001307;0.045752;0.001307;0.154248;0.001307;0.313725;0.001307;0.001307;0.026144;0.001307;0.001307;0.001307;0.001307;0.001307;0.001307;0.001307;0.001307;0.158170;0.001307;0.101961;0.001307;0.001307;0.001307;0.001307;0.001307;0.001307;0.001307;0.001307;0.001307;0.001307
(q;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.038095;0.009524;0.666667;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524;0.009524
(a;0.000330;0.000660;0.001981;0.065698;0.000660;0.003301;0.066689;0.000660;0.000330;0.460218;0.006273;0.077914;0.049521;0.015517;0.031363;0.065698;0.000660;0.053483;0.013866;0.000330;0.000330;0.018818;0.015517;0.027072;0.000660;0.000330;0.016837;0.003632;0.000330;0.000330;0.000330;0.000330;0.000330
(p;0.000739;0.032520;0.017738;0.000739;0.225425;0.000739;0.291205;0.001478;0.158167;0.001478;0.000739;0.040650;0.000739;0.000739;0.001478;0.000739;0.000739;0.041390;0.000739;0.000739;0.111604;0.000739;0.060606;0.001478;0.000739;0.000739;0.000739;0.000739;0.000739;0.000739;0.000739;0.000739;0.000739
(u;0.002427;0.065534;0.002427;0.002427;0.002427;0.002427;0.004854;0.002427;0.002427;0.524272;0.002427;0.012136;0.002427;0.089806;0.021845;0.002427;0.002427;0.116505;0.002427;0.002427;0.002427;0.104369;0.002427;0.002427;0.002427;0.002427;0.002427;0.002427;0.002427;0.002427;0.002427;0.002427;0.002427
(g;0.002000;0.002000;0.074000;0.002000;0.224000;0.002000;0.172000;0.002000;0.384000;0.002000;0.002000;0.008000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.044000;0.002000;0.042000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000;0.002000
(k;0.004926;0.009852;0.177340;0.004926;0.073892;0.004926;0.004926;0.009852;0.024631;0.561576;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.014778;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926;0.004926
(z;0.025000;0.025000;0.050000;0.025000;0.150000;0.025000;0.025000;0.025000;0.050000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(d;0.001054;0.001054;0.262381;0.001054;0.297155;0.001054;0.037935;0.005269;0.306639;0.001054;0.001054;0.001054;0.002107;0.001054;0.001054;0.001054;0.001054;0.001054;0.001054;0.001054;0.047418;0.001054;0.014752;0.001054;0.001054;0.001054;0.001054;0.001054;0.001054;0.001054;0.001054;0.001054;0.001054
(x;0.029412;0.029412;0.029412;0.058824;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
(j;0.005076;0.005076;0.005076;0.005076;0.035533;0.005076;0.005076;0.010152;0.248731;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.081218;0.005076;0.482234;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076;0.005076
(,;0.025000;0.025000;0.025000;0.200000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000;0.025000
(.;0.026316;0.026316;0.026316;0.157895;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
(?;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(#;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
h(;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
hh;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.083333;0.027778;0.055556;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
hi;0.000132;0.000132;0.000132;0.001979;0.027052;0.000132;0.006862;0.000132;0.001452;0.454473;0.000132;0.053972;0.111507;0.025732;0.011481;0.003299;0.000264;0.245183;0.003959;0.000132;0.001584;0.023225;0.000132;0.021510;0.000132;0.001979;0.001847;0.000132;0.000660;0.000264;0.000132;0.000132;0.000132
