smoothed;2
(;m;u;s;i;c;);w;e;l;o; ;y;d;g;a;n;k;z;b;t;h;r;f;p;v;q;j;x;.;,;#
(;0.000035;0.038513;0.010414;0.070531;0.089029;0.035442;0.000212;0.075332;0.023404;0.048574;0.033995;0.007307;0.054469;0.037030;0.028770;0.078262;0.019380;0.013555;0.000353;0.044197;0.141344;0.044867;0.023475;0.026652;0.033253;0.006778;0.001871;0.012320;0.000141;0.000212;0.000247;0.000035
m;0.000052;0.029547;0.030643;0.014095;0.060138;0.000365;0.030173;0.000104;0.314314;0.000783;0.092921;0.174045;0.064679;0.000209;0.000052;0.121685;0.004542;0.000052;0.000313;0.019994;0.000418;0.005325;0.001462;0.001932;0.029547;0.000261;0.000052;0.000052;0.000052;0.001618;0.000470;0.000104
u;0.000034;0.017915;0.000068;0.153055;0.012418;0.028467;0.023242;0.000034;0.020018;0.061650;0.000441;0.174092;0.029892;0.015675;0.031826;0.019170;0.059817;0.000475;0.005089;0.016897;0.157738;0.007634;0.108710;0.008822;0.042005;0.003800;0.000034;0.000068;0.000170;0.000407;0.000136;0.000204
s;0.000020;0.004227;0.020366;0.023492;0.031532;0.011480;0.060548;0.002909;0.089092;0.005327;0.094380;0.410977;0.003322;0.000806;0.000550;0.037606;0.007254;0.003774;0.000020;0.000609;0.133126;0.038589;0.001494;0.000668;0.014351;0.000098;0.000472;0.000020;0.000020;0.001435;0.001199;0.000236
i;0.000016;0.048826;0.000543;0.103604;0.000341;0.034659;0.015407;0.000016;0.020383;0.027528;0.024940;0.102689;0.000031;0.037232;0.033481;0.010292;0.217546;0.087840;0.003441;0.004263;0.156925;0.000047;0.019716;0.020507;0.006200;0.020600;0.000419;0.000093;0.002248;0.000031;0.000031;0.000109
c;0.000060;0.000179;0.031382;0.004585;0.046210;0.007563;0.008158;0.000060;0.110522;0.025427;0.173822;0.024058;0.006134;0.001548;0.000060;0.205026;0.000476;0.080688;0.000060;0.000119;0.075924;0.148276;0.048473;0.000060;0.000179;0.000060;0.000119;0.000060;0.000060;0.000238;0.000060;0.000357
);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
w;0.000045;0.000134;0.000134;0.013321;0.079076;0.000089;0.027044;0.000089;0.194582;0.002190;0.072862;0.170936;0.000983;0.001341;0.000089;0.226096;0.019713;0.000447;0.000045;0.000224;0.000760;0.177372;0.008136;0.001341;0.000045;0.000045;0.000089;0.000045;0.000045;0.000760;0.001475;0.000447
e;0.000010;0.012744;0.000399;0.064497;0.009008;0.021230;0.053883;0.006705;0.029961;0.036154;0.015016;0.348875;0.020963;0.043084;0.003429;0.076238;0.060915;0.002180;0.000164;0.002784;0.034762;0.000993;0.109536;0.005241;0.007073;0.022171;0.000471;0.000041;0.009335;0.001054;0.000819;0.000266
l;0.000028;0.004714;0.009902;0.018688;0.227100;0.003487;0.020919;0.005355;0.128054;0.161414;0.064153;0.129979;0.086746;0.042899;0.000390;0.052243;0.000335;0.014532;0.000028;0.001199;0.008591;0.000139;0.003403;0.007698;0.003905;0.002204;0.000028;0.000028;0.000028;0.001032;0.000669;0.000112
