smoothed;2
(;s;t;a;i;c;);v;.;o; ;n;l;r;h;e;y;,;f;u;d;g;m;p;j;w;!;k;b;x;?;q;z;#
(;0.000229;0.061598;0.120678;0.119762;0.121136;0.030456;0.000916;0.006870;0.002290;0.037554;0.080605;0.024273;0.027021;0.013739;0.029998;0.016258;0.030456;0.000229;0.021754;0.008702;0.019693;0.015342;0.029082;0.030227;0.005038;0.076254;0.000229;0.002061;0.065949;0.000229;0.000229;0.000687;0.000229;0.000229
s;0.000108;0.043848;0.148567;0.025856;0.051713;0.016268;0.033829;0.000431;0.035014;0.074014;0.314911;0.006572;0.005925;0.000431;0.032428;0.089313;0.004525;0.036091;0.001185;0.019931;0.000215;0.001939;0.021978;0.016160;0.000539;0.003340;0.001832;0.005818;0.000862;0.000108;0.005064;0.000970;0.000108;0.000108
t;0.000075;0.046867;0.017510;0.040608;0.083824;0.002459;0.015722;0.000224;0.015200;0.085016;0.234185;0.000373;0.009016;0.038298;0.265256;0.075851;0.017212;0.011326;0.000522;0.022353;0.000149;0.000745;0.004992;0.000671;0.000075;0.004322;0.000820;0.000298;0.000596;0.000075;0.004769;0.000075;0.000373;0.000149
a;0.000089;0.062856;0.151316;0.000889;0.022493;0.043919;0.004001;0.025071;0.002578;0.000533;0.080192;0.195235;0.112464;0.088016;0.003023;0.001422;0.028627;0.003734;0.003112;0.012891;0.034584;0.020004;0.023826;0.021426;0.001245;0.003823;0.000445;0.014847;0.032628;0.001867;0.000356;0.000178;0.002223;0.000089
i;0.000093;0.141445;0.128765;0.023590;0.000559;0.062098;0.001026;0.026294;0.000466;0.047086;0.048392;0.245688;0.039627;0.023590;0.000093;0.033287;0.000093;0.000839;0.026014;0.000653;0.032448;0.024709;0.044848;0.004382;0.000280;0.000186;0.000093;0.020420;0.009883;0.001305;0.000466;0.000746;0.010350;0.000186
c;0.000252;0.010818;0.088805;0.161006;0.080755;0.011824;0.009560;0.000252;0.002516;0.173082;0.019874;0.000252;0.025912;0.033962;0.117233;0.141132;0.005786;0.002516;0.000252;0.040503;0.000252;0.000252;0.000503;0.000503;0.000252;0.000252;0.000252;0.068428;0.000503;0.000252;0.000503;0.001258;0.000252;0.000252
);0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412;0.029412
v;0.000686;0.003432;0.000686;0.064516;0.201784;0.000686;0.000686;0.000686;0.010981;0.052848;0.002059;0.000686;0.000686;0.000686;0.001373;0.638298;0.003432;0.001373;0.000686;0.003432;0.000686;0.000686;0.000686;0.000686;0.000686;0.000686;0.000686;0.000686;0.000686;0.000686;0.001373;0.000686;0.000686;0.000686
.;0.000543;0.001629;0.000543;0.001629;0.001629;0.001086;0.825733;0.001086;0.052660;0.008686;0.090119;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.001629;0.000543;0.000543;0.000543;0.000543;0.001086;0.000543;0.000543;0.000543;0.001086;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543;0.000543
o;0.000088;0.030579;0.047928;0.004206;0.012968;0.012442;0.005608;0.012530;0.005170;0.029615;0.124682;0.140366;0.030316;0.105318;0.003943;0.006046;0.004118;0.004907;0.077631;0.147288;0.023219;0.007886;0.065977;0.033821;0.000438;0.035135;0.000263;0.014632;0.010427;0.000701;0.000876;0.000088;0.000526;0.000263
