smoothed;2
(;a;n;d; ;w;e;r;b;c;k;g;l;s;o;m;p;u;t;j;);i;h;y;f;x;q;v;z;.;,;ö;#
(;0.000012;0.090905;0.022033;0.042474;0.010757;0.071054;0.023413;0.029653;0.045517;0.045600;0.012338;0.027070;0.037886;0.072021;0.039419;0.034760;0.045010;0.010427;0.153030;0.009755;0.000283;0.068164;0.040717;0.032613;0.026846;0.000083;0.001769;0.005791;0.000165;0.000059;0.000354;0.000012;0.000012
a;0.000005;0.000103;0.187697;0.025025;0.077014;0.005259;0.001442;0.078971;0.025825;0.036132;0.016322;0.018461;0.093110;0.066584;0.000157;0.025570;0.012525;0.020796;0.174009;0.000775;0.015277;0.026443;0.012505;0.042402;0.004636;0.003385;0.000633;0.026056;0.002831;0.000034;0.000005;0.000005;0.000005
n;0.000006;0.037802;0.022581;0.150784;0.205511;0.000506;0.064786;0.000447;0.001076;0.020588;0.019636;0.126868;0.004686;0.041088;0.092182;0.003357;0.000306;0.005838;0.122565;0.000482;0.034286;0.024386;0.000511;0.012945;0.003439;0.000035;0.000106;0.003075;0.000053;0.000047;0.000006;0.000006;0.000012
d;0.000012;0.031795;0.014892;0.010267;0.446989;0.001064;0.125549;0.014799;0.000358;0.001503;0.000046;0.002902;0.006359;0.017736;0.129041;0.005272;0.000462;0.011088;0.000532;0.000081;0.067024;0.083303;0.000231;0.026245;0.000763;0.000035;0.000023;0.001538;0.000035;0.000023;0.000012;0.000012;0.000012
 ;0.000002;0.104132;0.023612;0.034913;0.008671;0.072396;0.015855;0.020072;0.041849;0.031202;0.012511;0.027303;0.036846;0.059994;0.055029;0.032107;0.030250;0.009816;0.167171;0.009916;0.001884;0.094900;0.042728;0.035501;0.025112;0.000106;0.001214;0.004333;0.000201;0.000088;0.000279;0.000004;0.000002
w;0.000016;0.189460;0.020619;0.001030;0.153275;0.000213;0.187858;0.009386;0.000262;0.000131;0.001341;0.000065;0.001701;0.012149;0.081576;0.000294;0.000082;0.000016;0.000507;0.000016;0.024445;0.092269;0.222015;0.000458;0.000654;0.000016;0.000016;0.000016;0.000033;0.000033;0.000016;0.000016;0.000016
e;0.000003;0.051431;0.075590;0.041305;0.340873;0.005812;0.023830;0.111393;0.003558;0.025595;0.000805;0.006151;0.028613;0.070047;0.015184;0.021128;0.008738;0.000485;0.029115;0.000173;0.059001;0.009613;0.000961;0.031203;0.008276;0.008931;0.000794;0.020982;0.000384;0.000014;0.000003;0.000003;0.000007
r;0.000008;0.074872;0.018096;0.020109;0.164152;0.001763;0.301056;0.013218;0.001546;0.008823;0.011447;0.009362;0.007229;0.046222;0.069615;0.010135;0.006021;0.035162;0.037553;0.000072;0.029945;0.082430;0.000966;0.043075;0.001996;0.000121;0.000072;0.004250;0.000024;0.000628;0.000008;0.000008;0.000016
b;0.000025;0.105199;0.000151;0.000580;0.008603;0.000076;0.311436;0.037211;0.004390;0.003103;0.000050;0.000025;0.098237;0.014430;0.155403;0.000454;0.000505;0.150332;0.003103;0.002523;0.001564;0.058629;0.000151;0.036000;0.000151;0.000025;0.000025;0.007467;0.000025;0.000025;0.000025;0.000025;0.000050
c;0.000017;0.209715;0.001959;0.000752;0.028477;0.000035;0.102662;0.065299;0.000245;0.011842;0.062867;0.000122;0.032378;0.005755;0.173191;0.000035;0.000035;0.036839;0.095788;0.000017;0.007014;0.049101;0.102382;0.012647;0.000052;0.000017;0.000192;0.000192;0.000052;0.000262;0.000017;0.000017;0.000017
k;0.000027;0.034740;0.134107;0.001371;0.193222;0.001124;0.441693;0.002934;0.000548;0.000110;0.000466;0.001864;0.004469;0.030216;0.008802;0.000631;0.000329;0.001810;0.000192;0.000082;0.029530;0.100134;0.000795;0.009898;0.000658;0.000027;0.000027;0.000027;0.000027;0.000055;0.000027;0.000027;0.000027
g;0.000018;0.054149;0.013234;0.000128;0.312928;0.000110;0.111089;0.046880;0.000312;0.000349;0.000128;0.009692;0.010922;0.020301;0.162595;0.003102;0.000147;0.053837;0.002588;0.000018;0.049157;0.046568;0.097505;0.003928;0.000147;0.000018;0.000018;0.000037;0.000018;0.000018;0.000018;0.000018;0.000018
l;0.000010;0.058017;0.000438;0.055224;0.121797;0.003796;0.154168;0.003621;0.000321;0.000944;0.013324;0.000603;0.157409;0.018415;0.052158;0.004798;0.002628;0.010385;0.012312;0.000010;0.021334;0.218239;0.000029;0.080520;0.006356;0.000010;0.000195;0.002881;0.000010;0.000019;0.000010;0.000010;0.000010
s;0.000006;0.048633;0.008488;0.000382;0.388934;0.002471;0.092711;0.001669;0.000278;0.010041;0.004341;0.000414;0.006308;0.035001;0.087878;0.006166;0.013709;0.021848;0.124283;0.000052;0.061669;0.042616;0.036315;0.004276;0.000291;0.000013;0.000369;0.000019;0.000006;0.000789;0.000006;0.000006;0.000006
o;0.000005;0.003167;0.149076;0.019242;0.132833;0.059843;0.007710;0.095803;0.010595;0.015582;0.015637;0.004489;0.028023;0.021817;0.023583;0.043822;0.031155;0.167036;0.050496;0.000148;0.019923;0.015701;0.009071;0.001909;0.056963;0.000666;0.000015;0.015513;0.000153;0.000010;0.000005;0.000005;0.000005
m;0.000018;0.131992;0.003196;0.000105;0.154049;0.000053;0.293838;0.000913;0.021987;0.001914;0.000018;0.000123;0.000685;0.016350;0.115379;0.021337;0.066733;0.021390;0.000299;0.000105;0.026448;0.082995;0.001703;0.037142;0.000580;0.000035;0.000018;0.000053;0.000018;0.000457;0.000018;0.000018;0.000035
p;0.000022;0.081933;0.000044;0.001269;0.098696;0.000066;0.203978;0.107427;0.000219;0.000350;0.000241;0.000241;0.133316;0.015888;0.146446;0.000328;0.058889;0.056438;0.018667;0.000022;0.017748;0.038121;0.014487;0.004136;0.000438;0.000022;0.000022;0.000022;0.000022;0.000438;0.000022;0.000022;0.000022
u;0.000012;0.023351;0.072267;0.013586;0.138637;0.000025;0.030138;0.108907;0.017603;0.019111;0.001051;0.026850;0.076877;0.159763;0.002954;0.043229;0.041943;0.000037;0.159911;0.000087;0.021843;0.009481;0.003226;0.014241;0.006144;0.000260;0.000049;0.001459;0.005427;0.001496;0.000012;0.000012;0.000012
