smoothed;3
(;b;y; ;n;o;w;,;u;p;r;a;l;k;h;t;s;e;d;i;.;);c;m;g;f;v;x;z;j;q;?;#
((;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303;0.030303
(b;0.003067;0.006135;0.079755;0.003067;0.003067;0.018405;0.003067;0.003067;0.457055;0.003067;0.042945;0.039877;0.039877;0.003067;0.003067;0.003067;0.003067;0.217791;0.003067;0.024540;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067;0.003067
(y;0.007576;0.007576;0.015152;0.007576;0.007576;0.659091;0.007576;0.007576;0.007576;0.007576;0.007576;0.022727;0.007576;0.015152;0.007576;0.007576;0.007576;0.075758;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576;0.007576
( ;0.010101;0.060606;0.060606;0.030303;0.020202;0.070707;0.060606;0.010101;0.020202;0.030303;0.010101;0.020202;0.020202;0.010101;0.050505;0.060606;0.070707;0.050505;0.030303;0.030303;0.010101;0.050505;0.030303;0.060606;0.030303;0.020202;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101;0.010101
(n;0.009009;0.009009;0.009009;0.009009;0.018018;0.540541;0.009009;0.009009;0.027027;0.009009;0.009009;0.045045;0.009009;0.009009;0.009009;0.009009;0.009009;0.072072;0.009009;0.054054;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009;0.009009
(o;0.003676;0.007353;0.003676;0.003676;0.147059;0.011029;0.014706;0.003676;0.025735;0.011029;0.161765;0.003676;0.003676;0.022059;0.095588;0.014706;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676;0.007353;0.014706;0.003676;0.382353;0.014706;0.003676;0.003676;0.003676;0.003676;0.003676;0.003676
(w;0.002481;0.002481;0.002481;0.002481;0.002481;0.062035;0.002481;0.002481;0.002481;0.002481;0.009926;0.101737;0.002481;0.002481;0.481390;0.002481;0.002481;0.131514;0.002481;0.146402;0.002481;0.002481;0.002481;0.002481;0.002481;0.002481;0.002481;0.002481;0.002481;0.002481;0.002481;0.002481;0.002481
(,;0.027778;0.027778;0.027778;0.111111;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
(u;0.010638;0.010638;0.010638;0.010638;0.138298;0.010638;0.010638;0.010638;0.021277;0.053191;0.010638;0.010638;0.021277;0.010638;0.265957;0.010638;0.085106;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.117021;0.031915;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638
(p;0.007246;0.007246;0.007246;0.007246;0.007246;0.043478;0.007246;0.007246;0.021739;0.007246;0.159420;0.144928;0.115942;0.007246;0.021739;0.007246;0.028986;0.217391;0.007246;0.021739;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.007246;0.057971;0.007246;0.007246;0.007246
