smoothed;2
(;p;r;e;s;i;d;n;t; ;u;m;a;y;h;g;w;o;);b;c;z;x;v;f;l;k;.;j;q;,;é;á;ä;í;#
(;0.000007;0.049839;0.033913;0.023927;0.080678;0.064084;0.036505;0.022379;0.155325;0.003667;0.010912;0.036979;0.095086;0.023697;0.041987;0.024357;0.062151;0.045395;0.000044;0.047447;0.053736;0.000726;0.000044;0.005948;0.033787;0.025149;0.008786;0.000111;0.009919;0.003037;0.000341;0.000007;0.000007;0.000007;0.000007;0.000007
p;0.000012;0.061682;0.151367;0.170926;0.019015;0.051445;0.000606;0.002164;0.016988;0.109133;0.046784;0.000779;0.091342;0.003289;0.017111;0.000210;0.000148;0.124488;0.017989;0.000223;0.000272;0.000012;0.000025;0.000025;0.000408;0.111927;0.000148;0.001311;0.000062;0.000037;0.000012;0.000012;0.000012;0.000012;0.000012;0.000012
r;0.000004;0.002539;0.013998;0.276630;0.051700;0.086706;0.022445;0.015444;0.042597;0.167594;0.039661;0.011879;0.069433;0.039330;0.001107;0.008438;0.001794;0.077237;0.030468;0.002454;0.009157;0.000045;0.000138;0.006149;0.002463;0.008251;0.010955;0.001133;0.000205;0.000009;0.000004;0.000009;0.000004;0.000004;0.000004;0.000009
e;0.000002;0.010405;0.119133;0.027821;0.079602;0.010319;0.052859;0.084932;0.031406;0.307620;0.000715;0.021448;0.047065;0.021205;0.001341;0.007070;0.008194;0.010411;0.055194;0.002681;0.030402;0.000348;0.009767;0.018012;0.008706;0.030423;0.001724;0.000141;0.000145;0.000887;0.000002;0.000002;0.000004;0.000002;0.000008;0.000002
s;0.000004;0.015972;0.001501;0.100480;0.033552;0.051276;0.000737;0.005741;0.126997;0.375521;0.023811;0.005818;0.043603;0.003960;0.048430;0.000398;0.002334;0.071039;0.060302;0.000413;0.010162;0.000007;0.000004;0.000454;0.000513;0.011028;0.004867;0.000771;0.000015;0.000262;0.000004;0.000007;0.000004;0.000004;0.000007;0.000004
i;0.000003;0.007666;0.033815;0.027112;0.137583;0.000277;0.046241;0.252418;0.124781;0.038220;0.001649;0.034228;0.023063;0.000041;0.000126;0.036192;0.000017;0.050387;0.006423;0.007625;0.062232;0.004979;0.002049;0.022431;0.025231;0.040559;0.014096;0.000003;0.000061;0.000468;0.000003;0.000003;0.000003;0.000003;0.000007;0.000003
d;0.000007;0.000562;0.013999;0.147305;0.020802;0.087688;0.006919;0.011065;0.000358;0.450185;0.013262;0.006532;0.042873;0.016525;0.000394;0.004503;0.000693;0.093016;0.068551;0.000321;0.001774;0.000007;0.000015;0.003292;0.000540;0.007197;0.000102;0.001095;0.000270;0.000088;0.000007;0.000007;0.000015;0.000007;0.000015;0.000007
n;0.000004;0.000515;0.000682;0.067079;0.048725;0.030965;0.139256;0.015771;0.119325;0.217698;0.006897;0.002821;0.032943;0.014220;0.000704;0.129437;0.000467;0.073315;0.037453;0.000635;0.026375;0.000193;0.000029;0.006035;0.005539;0.006575;0.015446;0.000055;0.000493;0.000321;0.000004;0.000004;0.000004;0.000004;0.000007;0.000004
t;0.000002;0.000109;0.032824;0.072812;0.040865;0.068776;0.000244;0.000496;0.015609;0.250362;0.017166;0.001151;0.034654;0.012502;0.307521;0.000102;0.006037;0.087427;0.039985;0.000404;0.002331;0.000264;0.000002;0.000430;0.000459;0.007304;0.000019;0.000075;0.000019;0.000029;0.000002;0.000002;0.000002;0.000002;0.000005;0.000002
 ;0.000001;0.032672;0.023668;0.015828;0.067090;0.086544;0.028960;0.023654;0.175848;0.004637;0.009899;0.031583;0.111027;0.027756;0.044654;0.023744;0.066220;0.060413;0.000966;0.045031;0.037454;0.000698;0.000082;0.005387;0.032309;0.023584;0.008715;0.000122;0.009175;0.002053;0.000222;0.000001;0.000001;0.000001;0.000001;0.000001
u;0.000008;0.039769;0.126290;0.030114;0.160416;0.015245;0.015926;0.086192;0.146159;0.102547;0.000054;0.053421;0.032304;0.009831;0.000482;0.028353;0.000015;0.004762;0.015911;0.019930;0.025719;0.001416;0.000375;0.002213;0.008040;0.072831;0.000720;0.000766;0.000031;0.000107;0.000008;0.000008;0.000008;0.000008;0.000008;0.000015
m;0.000010;0.092303;0.001481;0.274352;0.017398;0.084122;0.000083;0.002351;0.000269;0.139610;0.023115;0.030084;0.144860;0.031337;0.000124;0.000124;0.000021;0.103840;0.022535;0.022473;0.004588;0.000062;0.000041;0.000549;0.001999;0.000694;0.000010;0.001471;0.000021;0.000010;0.000010;0.000010;0.000010;0.000010;0.000010;0.000010
a;0.000003;0.018535;0.085078;0.002010;0.078168;0.029663;0.025909;0.176097;0.165410;0.072333;0.019639;0.028804;0.000124;0.041735;0.002996;0.018458;0.005716;0.000352;0.014396;0.025714;0.038482;0.003025;0.001750;0.025797;0.004402;0.100611;0.013775;0.000056;0.000811;0.000133;0.000003;0.000003;0.000003;0.000003;0.000003;0.000003
y;0.000010;0.002931;0.016310;0.037285;0.032987;0.023222;0.001050;0.003238;0.010873;0.519093;0.000198;0.003624;0.003793;0.000010;0.000089;0.000366;0.004328;0.230184;0.089255;0.010953;0.002664;0.000297;0.000020;0.003426;0.000208;0.003377;0.000040;0.000089;0.000010;0.000010;0.000010;0.000010;0.000010;0.000010;0.000010;0.000010
h;0.000004;0.000133;0.009568;0.422826;0.002171;0.128350;0.000256;0.003020;0.030274;0.070522;0.008206;0.000685;0.217698;0.009497;0.000115;0.000597;0.000451;0.082066;0.011536;0.000738;0.000097;0.000004;0.000009;0.000093;0.000133;0.000796;0.000009;0.000004;0.000009;0.000106;0.000004;0.000004;0.000004;0.000004;0.000004;0.000004
g;0.000011;0.000618;0.051909;0.128060;0.024930;0.039535;0.000904;0.019607;0.003926;0.312631;0.044709;0.000927;0.068048;0.003262;0.106175;0.011732;0.000206;0.122761;0.049127;0.000195;0.000126;0.000011;0.000011;0.000011;0.000206;0.009787;0.000034;0.000263;0.000011;0.000195;0.000011;0.000011;0.000011;0.000011;0.000011;0.000011
w;0.000011;0.000274;0.012081;0.185926;0.020710;0.120880;0.001406;0.024928;0.000812;0.130583;0.000137;0.000331;0.179776;0.002057;0.207665;0.000023;0.000229;0.083893;0.023351;0.000469;0.000057;0.000011;0.000011;0.000011;0.001440;0.002274;0.000389;0.000160;0.000011;0.000011;0.000011;0.000011;0.000011;0.000023;0.000011;0.000011
o;0.000003;0.024156;0.102277;0.007141;0.023414;0.012905;0.018178;0.141475;0.050680;0.135939;0.154733;0.054864;0.002451;0.003285;0.003497;0.004549;0.047017;0.026147;0.021576;0.012721;0.012598;0.000236;0.001218;0.017674;0.073268;0.031634;0.015920;0.000006;0.000408;0.000009;0.000003;0.000003;0.000003;0.000006;0.000003;0.000003
);0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778;0.027778
b;0.000015;0.000551;0.044615;0.324056;0.015249;0.061621;0.000268;0.000268;0.002829;0.015279;0.119758;0.000685;0.105358;0.045658;0.000089;0.000045;0.000104;0.145580;0.002457;0.003723;0.002174;0.000015;0.000015;0.007952;0.000134;0.097451;0.000015;0.000759;0.003142;0.000015;0.000015;0.000045;0.000015;0.000015;0.000015;0.000015
c;0.000009;0.000223;0.046179;0.108408;0.006543;0.054534;0.000316;0.002491;0.092061;0.024172;0.032992;0.000093;0.194586;0.013466;0.111549;0.000437;0.000223;0.188099;0.006180;0.000316;0.016747;0.000037;0.000009;0.000046;0.000037;0.038493;0.061467;0.000028;0.000009;0.000186;0.000009;0.000009;0.000009;0.000009;0.000009;0.000019
z;0.000254;0.000508;0.001525;0.340788;0.003304;0.250318;0.000254;0.000254;0.000254;0.084117;0.010419;0.001525;0.107497;0.060229;0.005083;0.000508;0.000254;0.070648;0.013215;0.003050;0.000254;0.024651;0.000254;0.002033;0.007624;0.008640;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254;0.000254
x;0.000155;0.182552;0.000155;0.060230;0.001087;0.068147;0.000155;0.000466;0.130239;0.196523;0.074666;0.000776;0.149022;0.003105;0.002173;0.000466;0.002328;0.009003;0.036479;0.000931;0.076374;0.000155;0.000466;0.000310;0.000466;0.000776;0.000155;0.001242;0.000155;0.000310;0.000155;0.000155;0.000155;0.000155;0.000155;0.000155
v;0.000025;0.003538;0.000322;0.715328;0.000272;0.168794;0.000346;0.000049;0.000025;0.005170;0.000495;0.001658;0.061031;0.001435;0.000198;0.000025;0.000025;0.038271;0.000915;0.000025;0.000025;0.000049;0.000074;0.000148;0.000025;0.001460;0.000025;0.000025;0.000025;0.000025;0.000025;0.000049;0.000025;0.000025;0.000025;0.000025
f;0.000013;0.000194;0.073770;0.073098;0.002893;0.102363;0.000581;0.000013;0.034367;0.310655;0.028206;0.000168;0.057639;0.003384;0.000039;0.000155;0.000155;0.171626;0.053003;0.008808;0.000258;0.000013;0.000013;0.000026;0.060920;0.017293;0.000220;0.000013;0.000026;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013;0.000013
l;0.000006;0.003273;0.002545;0.156891;0.022637;0.132419;0.051061;0.000281;0.012903;0.137118;0.016329;0.006962;0.076788;0.101278;0.000116;0.000392;0.002527;0.055472;0.024692;0.000673;0.000961;0.000232;0.000006;0.003683;0.007696;0.166282;0.016629;0.000031;0.000018;0.000061;0.000006;0.000006;0.000006;0.000006;0.000006;0.000006
k;0.000025;0.000567;0.002490;0.275981;0.066801;0.138484;0.000937;0.100572;0.000666;0.265061;0.001898;0.000542;0.071115;0.004388;0.001060;0.003821;0.000715;0.012571;0.040007;0.000986;0.000099;0.000025;0.000025;0.000049;0.001824;0.007543;0.001479;0.000049;0.000049;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025;0.000025
.;0.000746;0.000746;0.000746;0.000746;0.074627;0.000746;0.000746;0.000746;0.001493;0.369403;0.000746;0.088806;0.002985;0.000746;0.002239;0.002239;0.000746;0.002239;0.067910;0.000746;0.367164;0.000746;0.000746;0.000746;0.000746;0.000746;0.002239;0.000746;0.000746;0.000746;0.000746;0.000746;0.000746;0.000746;0.000746;0.000746
