smoothed;2
(;t;h;e; ;r;a;m;i;n;s;b;u;g;w;o;v;);l;y;c;d;f;p;j;k;x;z;#
(;0.001890;0.143667;0.039698;0.049149;0.001890;0.047259;0.079395;0.043478;0.051040;0.020794;0.068053;0.049149;0.018904;0.028355;0.069943;0.047259;0.013233;0.001890;0.020794;0.022684;0.047259;0.043478;0.017013;0.037807;0.009452;0.017013;0.001890;0.001890;0.005671
t;0.000654;0.008497;0.322876;0.075163;0.198039;0.037255;0.047059;0.001961;0.086928;0.001307;0.043137;0.000654;0.015033;0.000654;0.000654;0.096078;0.000654;0.035948;0.006536;0.013072;0.001961;0.000654;0.000654;0.001307;0.000654;0.000654;0.000654;0.000654;0.000654
h;0.001149;0.035632;0.001149;0.457471;0.064368;0.009195;0.191954;0.001149;0.105747;0.003448;0.003448;0.005747;0.020690;0.001149;0.001149;0.065517;0.001149;0.013793;0.001149;0.002299;0.001149;0.003448;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149;0.001149
e;0.000531;0.017507;0.000531;0.034483;0.272149;0.133156;0.052520;0.023342;0.013793;0.098143;0.090186;0.000531;0.009019;0.005836;0.004775;0.010080;0.010080;0.059416;0.024403;0.010610;0.034483;0.062069;0.010610;0.006366;0.000531;0.001061;0.010610;0.002122;0.001061
 ;0.000364;0.189229;0.045852;0.025473;0.001456;0.031659;0.096434;0.034207;0.086608;0.017103;0.057132;0.042940;0.020015;0.013100;0.056405;0.060044;0.010189;0.000728;0.026565;0.022926;0.042940;0.025473;0.028384;0.041849;0.005095;0.014556;0.000728;0.000728;0.001820
r;0.001063;0.061637;0.002125;0.244421;0.116897;0.011690;0.091392;0.025505;0.103082;0.037194;0.041445;0.003188;0.018066;0.010627;0.005313;0.095643;0.003188;0.023379;0.013815;0.038257;0.014878;0.018066;0.002125;0.004251;0.002125;0.006376;0.001063;0.001063;0.002125
a;0.000799;0.150958;0.001597;0.000799;0.063099;0.085463;0.000799;0.023163;0.028754;0.218051;0.094249;0.021565;0.017572;0.018371;0.011981;0.001597;0.026358;0.014377;0.077476;0.023962;0.045527;0.037540;0.009585;0.007987;0.003195;0.012780;0.000799;0.000799;0.000799
m;0.002577;0.002577;0.002577;0.203608;0.131443;0.005155;0.170103;0.012887;0.118557;0.010309;0.023196;0.025773;0.038660;0.002577;0.002577;0.100515;0.002577;0.015464;0.002577;0.015464;0.007732;0.002577;0.002577;0.085052;0.002577;0.002577;0.002577;0.002577;0.002577
i;0.000887;0.132092;0.001773;0.026596;0.024823;0.022163;0.026596;0.042553;0.000887;0.259752;0.120567;0.014184;0.001773;0.045213;0.000887;0.077128;0.019504;0.005319;0.024823;0.000887;0.080674;0.026596;0.015071;0.009752;0.001773;0.007092;0.002660;0.007092;0.000887
n;0.000824;0.118616;0.000824;0.041186;0.246293;0.000824;0.046129;0.006590;0.037068;0.006590;0.045305;0.000824;0.006590;0.089786;0.001647;0.073311;0.006590;0.043657;0.008237;0.015651;0.051895;0.123558;0.007414;0.002471;0.001647;0.014003;0.000824;0.000824;0.000824
