smoothed;2
(;b;u;t; ;o;c;h;a;n;g;e;p;i;s;j;y;w;r;);l;k;v;m;f;d;x;#
(;0.000059;0.043668;0.005297;0.148187;0.001824;0.056321;0.030250;0.048905;0.100518;0.022658;0.021010;0.019656;0.025718;0.125353;0.062735;0.011653;0.060205;0.070386;0.020716;0.016890;0.028602;0.005414;0.004590;0.025129;0.021186;0.021540;0.000059;0.001471
b;0.000038;0.006540;0.129163;0.002433;0.018593;0.157110;0.000342;0.000190;0.105095;0.000152;0.000038;0.311521;0.000114;0.059544;0.017300;0.001673;0.047909;0.000837;0.041939;0.002091;0.091255;0.000038;0.005247;0.000418;0.000076;0.000228;0.000038;0.000076
u;0.000020;0.017849;0.000060;0.149632;0.123059;0.002581;0.047923;0.000420;0.026453;0.083340;0.034196;0.023531;0.039239;0.014647;0.161317;0.000020;0.019709;0.000020;0.120418;0.003662;0.077437;0.000600;0.002021;0.030154;0.004502;0.016308;0.000280;0.000600
t;0.000006;0.000316;0.016106;0.015397;0.279565;0.081833;0.002987;0.324528;0.032414;0.000563;0.000082;0.068676;0.000082;0.060569;0.044274;0.000006;0.015739;0.007233;0.024542;0.014233;0.008385;0.000006;0.000323;0.001392;0.000342;0.000114;0.000006;0.000278
 ;0.000003;0.044960;0.008811;0.165844;0.000270;0.059786;0.037430;0.046060;0.110750;0.020034;0.028308;0.019312;0.032860;0.081883;0.058380;0.011777;0.029518;0.069220;0.022350;0.000091;0.037160;0.011309;0.005806;0.033141;0.033193;0.030078;0.000069;0.001596
o;0.000008;0.010925;0.157632;0.048944;0.143928;0.026605;0.012649;0.009186;0.004203;0.131806;0.005935;0.008281;0.028896;0.021505;0.022142;0.000268;0.003621;0.053454;0.107287;0.003967;0.030667;0.013035;0.016656;0.045315;0.073322;0.018262;0.001126;0.000378
c;0.000025;0.000101;0.028587;0.083255;0.031546;0.167371;0.014723;0.119988;0.207266;0.000126;0.000152;0.107238;0.000025;0.050267;0.008121;0.000025;0.009942;0.000025;0.047838;0.002479;0.031445;0.088517;0.000051;0.000101;0.000051;0.000455;0.000025;0.000253
h;0.000011;0.000568;0.009600;0.025367;0.094795;0.082246;0.000772;0.000054;0.203211;0.002724;0.000011;0.408160;0.000064;0.143704;0.001223;0.000011;0.007712;0.000236;0.009718;0.007294;0.001223;0.000011;0.000011;0.000858;0.000075;0.000311;0.000011;0.000021
a;0.000008;0.027959;0.018811;0.150728;0.085912;0.000363;0.033263;0.015602;0.000091;0.191383;0.017138;0.001173;0.012667;0.026097;0.073646;0.000726;0.034981;0.006742;0.089718;0.002989;0.102483;0.013643;0.027285;0.027717;0.004676;0.030055;0.001400;0.002747
n;0.000010;0.000372;0.004257;0.115772;0.229044;0.074423;0.021324;0.000487;0.027614;0.009755;0.151605;0.077019;0.000468;0.029447;0.034859;0.000945;0.016427;0.000286;0.000391;0.011884;0.006796;0.020684;0.003293;0.002482;0.003503;0.156272;0.000181;0.000401
