smoothed;2
(;i;t; ;s;g;r;e;a;o;b;j;n;d;y;);c;m;k;h;w;p;l;f;v;u;x;z;q;.;#
(;0.000024;0.072156;0.158234;0.002546;0.074679;0.020490;0.035792;0.025297;0.093384;0.039600;0.042242;0.009638;0.021942;0.043931;0.024750;0.000024;0.054950;0.038672;0.010971;0.035150;0.067849;0.050190;0.026297;0.026963;0.007116;0.012446;0.000024;0.000381;0.003974;0.000119;0.000167
i;0.000011;0.000362;0.130784;0.052252;0.121985;0.036484;0.023152;0.030632;0.025472;0.052603;0.006905;0.000138;0.253471;0.044155;0.000021;0.009044;0.061136;0.038378;0.017928;0.000064;0.000011;0.006160;0.030696;0.026876;0.022620;0.000745;0.001138;0.005426;0.001319;0.000021;0.000011
t;0.000008;0.075681;0.014410;0.257442;0.044590;0.000152;0.034257;0.071892;0.036618;0.083539;0.000121;0.000008;0.000516;0.000106;0.011252;0.041037;0.001815;0.000797;0.000023;0.295959;0.006013;0.000084;0.007380;0.000456;0.000182;0.015367;0.000015;0.000213;0.000030;0.000030;0.000008
 ;0.000004;0.095496;0.175054;0.003074;0.062117;0.020576;0.023277;0.016797;0.113326;0.060370;0.042665;0.008589;0.022879;0.034485;0.027559;0.000722;0.035925;0.033467;0.011626;0.038184;0.071233;0.032774;0.023329;0.027287;0.006411;0.009980;0.000122;0.000191;0.002259;0.000081;0.000142
s;0.000013;0.052942;0.123798;0.373941;0.037601;0.000405;0.000899;0.101666;0.043073;0.082866;0.000253;0.000101;0.006993;0.000253;0.004561;0.059872;0.012681;0.006904;0.004421;0.032482;0.003142;0.018002;0.005308;0.000557;0.000051;0.026490;0.000013;0.000013;0.000279;0.000405;0.000013
g;0.000037;0.040835;0.002466;0.348128;0.024023;0.007883;0.047112;0.119854;0.054323;0.115333;0.000598;0.000037;0.022566;0.000411;0.008780;0.051483;0.000075;0.001345;0.000112;0.107001;0.000075;0.000112;0.008967;0.000262;0.000037;0.037921;0.000037;0.000037;0.000037;0.000075;0.000037
r;0.000015;0.086002;0.057419;0.159859;0.053499;0.009800;0.012176;0.274578;0.062052;0.068110;0.001782;0.001025;0.015977;0.019793;0.040002;0.030276;0.009681;0.013022;0.011285;0.000772;0.001529;0.003861;0.008954;0.001693;0.006518;0.048807;0.000342;0.000059;0.000045;0.001054;0.000015
e;0.000007;0.009749;0.033008;0.307254;0.071792;0.005549;0.121174;0.026137;0.051650;0.013401;0.002864;0.000137;0.083658;0.049800;0.020306;0.055753;0.028459;0.022136;0.001480;0.001055;0.008427;0.009098;0.035180;0.008166;0.020450;0.001041;0.010722;0.000308;0.001213;0.000021;0.000007
a;0.000009;0.025131;0.179004;0.066270;0.069346;0.014080;0.084290;0.001937;0.000104;0.000294;0.030467;0.000921;0.186040;0.026005;0.039487;0.014070;0.037122;0.025672;0.016700;0.007026;0.005136;0.013007;0.102528;0.004462;0.029100;0.018827;0.001500;0.001339;0.000047;0.000066;0.000009
o;0.000010;0.018393;0.050737;0.127120;0.024583;0.007303;0.112891;0.006797;0.002633;0.019466;0.010821;0.000298;0.152697;0.014070;0.001938;0.020092;0.012868;0.051899;0.012361;0.004193;0.052704;0.024782;0.026034;0.076612;0.013921;0.152747;0.001739;0.000179;0.000089;0.000010;0.000010
