smoothed;2
(;a;l;r;i;g;h;t; ;j;m;c;e;y;s;n;);o;k;v;b;f;w;u;d;p;#
(;0.000120;0.100852;0.025093;0.020771;0.117661;0.016208;0.035178;0.138432;0.000120;0.010445;0.024973;0.024012;0.014648;0.046464;0.047425;0.033497;0.088366;0.036019;0.004562;0.003242;0.051147;0.026414;0.092808;0.003242;0.021251;0.016088;0.000960
a;0.000019;0.000074;0.089203;0.085926;0.028210;0.017456;0.009052;0.152824;0.086371;0.000722;0.026729;0.036540;0.001148;0.044537;0.077652;0.197305;0.003110;0.000148;0.012050;0.028599;0.025674;0.004535;0.006405;0.015901;0.028636;0.012846;0.008330
l;0.000041;0.075287;0.163109;0.003020;0.150699;0.000496;0.000041;0.015057;0.143956;0.000041;0.002565;0.003971;0.154215;0.075453;0.021469;0.000993;0.008232;0.071978;0.013237;0.009432;0.003309;0.005212;0.006246;0.011210;0.057872;0.002813;0.000041
r;0.000028;0.061747;0.007385;0.013899;0.097240;0.010109;0.000786;0.041811;0.201078;0.000281;0.009912;0.007722;0.264988;0.048830;0.056187;0.019684;0.011148;0.068992;0.010389;0.005616;0.002022;0.001544;0.001404;0.035043;0.019852;0.002022;0.000281
i;0.000022;0.021457;0.033049;0.026290;0.000284;0.034143;0.000175;0.131934;0.065179;0.000219;0.046785;0.054812;0.034602;0.000022;0.124278;0.250612;0.001006;0.038933;0.019685;0.022178;0.007765;0.023381;0.000022;0.000787;0.048600;0.004987;0.008793
g;0.000069;0.043002;0.008959;0.060230;0.037902;0.007236;0.096685;0.001723;0.373923;0.000069;0.000896;0.000069;0.134381;0.004548;0.022190;0.011577;0.016677;0.141134;0.000069;0.000069;0.000207;0.000069;0.000069;0.037696;0.000345;0.000138;0.000069
h;0.000028;0.218368;0.000636;0.008789;0.138798;0.000028;0.000028;0.030208;0.089409;0.000028;0.000857;0.000249;0.403156;0.008761;0.000995;0.002045;0.011000;0.077691;0.000028;0.000028;0.000221;0.000166;0.000193;0.007822;0.000249;0.000193;0.000028
t;0.000016;0.032565;0.006158;0.034358;0.057882;0.000047;0.305933;0.013204;0.286260;0.000016;0.000951;0.004396;0.069761;0.016259;0.043353;0.001574;0.015402;0.090026;0.000016;0.000203;0.000281;0.000218;0.008402;0.012518;0.000047;0.000031;0.000125
 ;0.000007;0.112836;0.028145;0.022738;0.080726;0.028492;0.048470;0.166659;0.000055;0.008208;0.034523;0.036526;0.019001;0.029129;0.055659;0.021920;0.000007;0.056165;0.010967;0.006059;0.044186;0.030079;0.075804;0.008485;0.037316;0.036353;0.001484
j;0.000713;0.068425;0.000713;0.003564;0.014968;0.000713;0.000713;0.000713;0.007840;0.000713;0.000713;0.000713;0.091946;0.000713;0.000713;0.000713;0.001426;0.237349;0.000713;0.000713;0.000713;0.002138;0.000713;0.559515;0.000713;0.000713;0.000713
m;0.000065;0.136940;0.000523;0.001960;0.080295;0.000065;0.000131;0.000065;0.156409;0.000065;0.013981;0.001568;0.305174;0.037371;0.020907;0.001829;0.015615;0.112244;0.000065;0.000065;0.018293;0.000392;0.000261;0.027048;0.000065;0.068535;0.000065
c;0.000065;0.211050;0.026185;0.053090;0.042812;0.000327;0.108405;0.084315;0.028083;0.000065;0.000327;0.010670;0.113380;0.009885;0.005630;0.000262;0.002029;0.182705;0.082875;0.000065;0.000131;0.000065;0.000065;0.036659;0.000589;0.000065;0.000196
e;0.000013;0.054449;0.027474;0.128995;0.009871;0.004253;0.000919;0.029771;0.362702;0.000105;0.020320;0.022906;0.026975;0.021370;0.069978;0.082711;0.016645;0.013429;0.001838;0.024416;0.002783;0.007036;0.005789;0.000473;0.043384;0.009307;0.012090
y;0.000060;0.003724;0.010392;0.015919;0.025290;0.000180;0.000180;0.009611;0.538475;0.000060;0.003664;0.001081;0.063195;0.000060;0.033399;0.001382;0.040848;0.227008;0.000060;0.001682;0.017180;0.000120;0.002643;0.000120;0.001081;0.002403;0.000180
s;0.000026;0.046641;0.006306;0.000592;0.049627;0.000386;0.039073;0.114878;0.438250;0.000026;0.004813;0.009550;0.104813;0.006512;0.040000;0.008468;0.027284;0.062265;0.003938;0.000103;0.000515;0.000412;0.002214;0.018764;0.000438;0.013822;0.000283
n;0.000022;0.026592;0.005053;0.000337;0.034296;0.135994;0.000472;0.124135;0.236502;0.000292;0.002471;0.020102;0.073039;0.012645;0.037575;0.012286;0.011634;0.076678;0.023605;0.003818;0.000135;0.003549;0.000202;0.004178;0.153805;0.000180;0.000404
);0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037;0.037037
o;0.000019;0.002794;0.025124;0.101079;0.018353;0.005743;0.004404;0.062316;0.153500;0.000213;0.051548;0.015831;0.008401;0.002134;0.020856;0.140986;0.005626;0.024542;0.015016;0.016762;0.010826;0.053081;0.053178;0.158932;0.018237;0.029160;0.001339
k;0.000137;0.037438;0.015496;0.002468;0.122189;0.001234;0.000137;0.000411;0.322134;0.000137;0.000411;0.000274;0.266456;0.004800;0.055129;0.136588;0.020570;0.007817;0.000137;0.000137;0.000411;0.001234;0.001509;0.001783;0.000274;0.000549;0.000137
