smoothed;2
(;s;o; ;w;h;y;a;r;e;n;t;f;l;i;g;c;u;j;);m;p;d;b;k;v;x;#
(;0.000166;0.076311;0.036662;0.009788;0.076642;0.035833;0.047445;0.089416;0.025050;0.027704;0.020405;0.157100;0.025216;0.040312;0.077306;0.024386;0.036496;0.010119;0.009788;0.000332;0.036994;0.032847;0.036828;0.045620;0.015428;0.004147;0.000166;0.001493
s;0.000095;0.028634;0.092846;0.400400;0.001522;0.033200;0.005232;0.030822;0.000476;0.093227;0.007515;0.121290;0.000476;0.012842;0.038718;0.000285;0.021404;0.017599;0.000095;0.065734;0.008181;0.014745;0.000476;0.000095;0.003615;0.000095;0.000095;0.000285
o;0.000072;0.024090;0.034086;0.136919;0.063426;0.007335;0.000935;0.003020;0.086797;0.007695;0.114843;0.047030;0.068819;0.022508;0.015749;0.008701;0.008845;0.185460;0.000144;0.020351;0.054293;0.030275;0.017978;0.008198;0.018841;0.012009;0.001294;0.000288
 ;0.000027;0.058313;0.055445;0.008003;0.069948;0.035616;0.046104;0.103461;0.018491;0.016989;0.021386;0.165133;0.027996;0.037091;0.106902;0.024609;0.029470;0.010570;0.009095;0.001611;0.036708;0.023789;0.032502;0.039494;0.015486;0.003878;0.000109;0.001775
w;0.000232;0.012297;0.093271;0.156845;0.000232;0.200232;0.000464;0.204872;0.007193;0.191647;0.020418;0.000464;0.000232;0.002088;0.072854;0.000232;0.000232;0.000232;0.000232;0.030162;0.000696;0.000464;0.001856;0.001160;0.000696;0.000232;0.000232;0.000232
h;0.000099;0.001481;0.070188;0.087167;0.000494;0.000296;0.007799;0.239684;0.013919;0.366732;0.001579;0.038401;0.000099;0.000790;0.140967;0.000099;0.000197;0.011254;0.000099;0.014413;0.002172;0.000197;0.000395;0.000987;0.000099;0.000099;0.000099;0.000197
y;0.000197;0.034693;0.297654;0.400946;0.002168;0.000197;0.000197;0.002168;0.015770;0.100926;0.000591;0.013207;0.000591;0.002760;0.018529;0.000788;0.008279;0.000788;0.000197;0.077272;0.003942;0.003351;0.001183;0.010250;0.000197;0.002563;0.000197;0.000394
a;0.000072;0.075717;0.000216;0.074782;0.003883;0.026461;0.033868;0.000072;0.073201;0.000503;0.191271;0.180916;0.005609;0.091321;0.025886;0.012152;0.032789;0.018120;0.000288;0.015100;0.025671;0.013950;0.027612;0.022507;0.015460;0.027252;0.000431;0.004890
r;0.000125;0.053137;0.077710;0.173382;0.000998;0.001497;0.046401;0.062742;0.007359;0.295248;0.015218;0.045778;0.002245;0.009854;0.082575;0.009106;0.009979;0.016216;0.000125;0.032431;0.012473;0.002994;0.020581;0.001746;0.015218;0.004116;0.000374;0.000374
e;0.000050;0.066446;0.014408;0.328316;0.006882;0.001040;0.025845;0.069664;0.108630;0.029757;0.071446;0.033124;0.006387;0.033074;0.010348;0.003169;0.025053;0.000891;0.000099;0.055701;0.018716;0.010645;0.044314;0.001733;0.002575;0.020350;0.009853;0.001485
n;0.000088;0.027869;0.090153;0.195081;0.000265;0.000973;0.013359;0.026542;0.000708;0.082191;0.013005;0.103689;0.003450;0.006105;0.029815;0.147306;0.021941;0.008847;0.000354;0.031142;0.001681;0.000531;0.166239;0.000531;0.024330;0.003008;0.000177;0.000619
t;0.000056;0.055534;0.074516;0.286142;0.005819;0.326761;0.008474;0.025309;0.020168;0.059375;0.000734;0.012655;0.000452;0.008757;0.051410;0.000113;0.003107;0.014801;0.000056;0.043331;0.000565;0.000226;0.000169;0.000226;0.000056;0.000847;0.000056;0.000282
f;0.000326;0.000651;0.152443;0.333876;0.000326;0.000326;0.002606;0.051140;0.064495;0.095440;0.000326;0.028664;0.063192;0.014984;0.101303;0.000326;0.000977;0.035505;0.000326;0.050163;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326;0.000326
l;0.000142;0.021385;0.069679;0.125903;0.005382;0.000142;0.083274;0.061464;0.002266;0.152528;0.000566;0.011896;0.008073;0.152953;0.191474;0.000283;0.003682;0.014870;0.000142;0.021102;0.005665;0.004957;0.047444;0.000566;0.011613;0.002266;0.000142;0.000142
i;0.000076;0.103040;0.030927;0.092705;0.000076;0.000152;0.000152;0.012918;0.020897;0.026444;0.248480;0.140350;0.023860;0.028799;0.000456;0.036702;0.040274;0.002280;0.001140;0.013222;0.040198;0.006003;0.035714;0.006079;0.056611;0.024696;0.002964;0.004787
g;0.000257;0.042482;0.132080;0.322863;0.000257;0.131050;0.004892;0.036560;0.041710;0.114573;0.009269;0.002575;0.002060;0.010814;0.038105;0.007724;0.000257;0.048661;0.000257;0.049691;0.001287;0.000257;0.000772;0.000257;0.000257;0.000257;0.000257;0.000515
c;0.000259;0.004922;0.169948;0.023057;0.000259;0.116839;0.001813;0.198705;0.045337;0.129016;0.001036;0.084197;0.000259;0.032642;0.059845;0.000518;0.010622;0.034456;0.000259;0.005440;0.000259;0.001813;0.000518;0.000518;0.076425;0.000259;0.000259;0.000518
u;0.000174;0.144201;0.000697;0.165796;0.000174;0.005747;0.018460;0.027342;0.122605;0.017416;0.060954;0.153605;0.009579;0.067050;0.011668;0.033960;0.026646;0.000174;0.000522;0.028561;0.022466;0.047544;0.017938;0.009753;0.001219;0.002961;0.000348;0.002438
j;0.002217;0.002217;0.181818;0.002217;0.002217;0.002217;0.002217;0.039911;0.002217;0.062084;0.002217;0.002217;0.002217;0.002217;0.015521;0.002217;0.002217;0.647450;0.002217;0.004435;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217;0.002217
);0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714;0.035714
m;0.000242;0.022034;0.103390;0.159806;0.000242;0.002906;0.068523;0.127361;0.000726;0.300242;0.003148;0.000726;0.001695;0.000484;0.072639;0.000242;0.001211;0.028814;0.000242;0.030993;0.019128;0.030993;0.000484;0.021792;0.000242;0.000969;0.000242;0.000484
p;0.000352;0.022551;0.088090;0.129316;0.000352;0.026427;0.006695;0.076815;0.083157;0.214940;0.000352;0.022903;0.000705;0.155391;0.054616;0.000352;0.002467;0.032417;0.000352;0.023961;0.000705;0.054264;0.000352;0.000705;0.000705;0.000352;0.000352;0.000352
d;0.000167;0.017702;0.107214;0.500000;0.001670;0.000501;0.017368;0.032732;0.026887;0.080828;0.015364;0.001169;0.000668;0.004008;0.086506;0.001837;0.005177;0.014362;0.000334;0.071309;0.002505;0.000334;0.008851;0.001002;0.000167;0.001002;0.000167;0.000167
b;0.000394;0.012598;0.131496;0.018898;0.000394;0.000394;0.029134;0.105512;0.053543;0.316535;0.000394;0.001969;0.000394;0.078346;0.070079;0.000394;0.001575;0.157087;0.003150;0.005512;0.000394;0.000394;0.000394;0.004724;0.000394;0.005118;0.000394;0.000394
k;0.000360;0.035689;0.001802;0.227830;0.001081;0.000360;0.003244;0.018025;0.005768;0.379596;0.162942;0.000721;0.002163;0.003965;0.113915;0.000360;0.000360;0.001081;0.000360;0.033526;0.001442;0.001081;0.000360;0.001802;0.001081;0.000360;0.000360;0.000360
v;0.000620;0.000620;0.022319;0.009919;0.000620;0.000620;0.003100;0.035958;0.001860;0.786733;0.000620;0.000620;0.000620;0.000620;0.123993;0.000620;0.000620;0.000620;0.000620;0.003720;0.000620;0.000620;0.000620;0.000620;0.000620;0.000620;0.000620;0.000620
x;0.003413;0.003413;0.006826;0.146758;0.003413;0.010239;0.027304;0.191126;0.003413;0.051195;0.003413;0.174061;0.003413;0.003413;0.092150;0.003413;0.054608;0.013652;0.003413;0.034130;0.003413;0.139932;0.003413;0.006826;0.003413;0.003413;0.003413;0.003413
#;0.003367;0.003367;0.026936;0.111111;0.006734;0.003367;0.164983;0.050505;0.003367;0.161616;0.003367;0.003367;0.003367;0.003367;0.077441;0.003367;0.006734;0.286195;0.006734;0.023569;0.010101;0.003367;0.003367;0.003367;0.003367;0.003367;0.003367;0.016835
