smoothed;3
(;t;h;i;s; ;d;e;m;o;c;r;a;y;n;w;g;);j;u;z;l;v;f;k;p;b;.;q;x;,;á;ö;ã;!;?;í;ó;ñ;é;à;¡;ú;#
((;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
(t;0.000037;0.000037;0.720237;0.016536;0.000187;0.000037;0.000037;0.021336;0.000187;0.143425;0.000037;0.046121;0.033222;0.001050;0.000037;0.009899;0.000037;0.000037;0.000037;0.005887;0.000037;0.000037;0.000600;0.000037;0.000037;0.000112;0.000075;0.000037;0.000037;0.000037;0.000037;0.000037;0.000037;0.000037;0.000037;0.000037;0.000037;0.000037;0.000037;0.000037;0.000037;0.000037;0.000037;0.000037
(h;0.000139;0.000139;0.000278;0.135409;0.000417;0.000139;0.000139;0.324621;0.000973;0.139858;0.000139;0.000139;0.341999;0.003615;0.000139;0.000139;0.000139;0.000139;0.000139;0.046295;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000417;0.001529;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139;0.000139
(i;0.000076;0.180123;0.000076;0.000380;0.126018;0.169774;0.008447;0.000076;0.085914;0.000989;0.001979;0.015143;0.001826;0.000152;0.364204;0.000152;0.001674;0.000076;0.000076;0.000152;0.000380;0.006240;0.007534;0.026406;0.000076;0.000152;0.000304;0.000076;0.000076;0.000076;0.000304;0.000076;0.000076;0.000076;0.000076;0.000152;0.000076;0.000076;0.000076;0.000076;0.000076;0.000076;0.000076;0.000076
(s;0.000084;0.157779;0.099233;0.059051;0.000084;0.002359;0.000253;0.126358;0.004296;0.267543;0.032516;0.000253;0.097970;0.015584;0.002696;0.003370;0.000084;0.000253;0.000084;0.074888;0.000084;0.006571;0.000084;0.000084;0.002190;0.043552;0.000168;0.000253;0.000674;0.000084;0.000337;0.000084;0.000084;0.000168;0.000084;0.000084;0.000084;0.000084;0.000084;0.000084;0.000084;0.000084;0.000084;0.000084
( ;0.001675;0.085427;0.031826;0.056951;0.046901;0.006700;0.030151;0.028476;0.092127;0.058626;0.035176;0.013400;0.103853;0.097152;0.010050;0.056951;0.005025;0.001675;0.001675;0.006700;0.001675;0.011725;0.003350;0.026801;0.001675;0.102178;0.053601;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675;0.001675
(d;0.000181;0.000181;0.000362;0.216627;0.000181;0.000181;0.000362;0.337077;0.000362;0.252128;0.001630;0.060677;0.084586;0.003804;0.000725;0.001087;0.000181;0.000181;0.000543;0.032241;0.000181;0.000181;0.000181;0.000181;0.000181;0.000362;0.000181;0.002174;0.000181;0.000181;0.000181;0.000181;0.000362;0.000181;0.000181;0.000181;0.000181;0.000181;0.000181;0.000181;0.000181;0.000181;0.000181;0.000181
(e;0.000261;0.012023;0.000261;0.015944;0.047047;0.000261;0.031364;0.000261;0.065081;0.000261;0.028489;0.023262;0.051751;0.004443;0.141140;0.000261;0.004182;0.000261;0.000523;0.012546;0.000523;0.090695;0.190016;0.026660;0.000523;0.008887;0.001045;0.000523;0.010193;0.227653;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261
(m;0.000163;0.000163;0.000163;0.140359;0.000817;0.000163;0.000327;0.186438;0.000980;0.211928;0.010621;0.007190;0.270588;0.052778;0.000327;0.000163;0.000327;0.000163;0.000163;0.111438;0.000327;0.000163;0.000163;0.000327;0.000163;0.000163;0.000654;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163;0.000163
(o;0.000129;0.036415;0.008006;0.002712;0.003228;0.000258;0.000775;0.000258;0.001420;0.000129;0.012268;0.085744;0.001679;0.000129;0.179106;0.012138;0.000129;0.000129;0.000129;0.104855;0.000129;0.008523;0.037061;0.437113;0.006715;0.033445;0.022727;0.000129;0.000129;0.002583;0.000129;0.000129;0.000129;0.000129;0.000129;0.000129;0.000129;0.000129;0.000129;0.000129;0.000129;0.000129;0.000129;0.000129
(c;0.000116;0.000116;0.125609;0.030735;0.000348;0.000580;0.000232;0.035027;0.000116;0.462074;0.000580;0.056483;0.204709;0.001972;0.001508;0.000116;0.000116;0.000116;0.000116;0.017397;0.000232;0.058339;0.000116;0.000116;0.000116;0.000116;0.000464;0.000116;0.000116;0.000116;0.000116;0.000580;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116;0.000116
(r;0.000200;0.000800;0.004199;0.148770;0.000400;0.000200;0.000600;0.625275;0.000200;0.073185;0.000200;0.000200;0.090382;0.001800;0.000200;0.000200;0.000400;0.000200;0.000200;0.047191;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000600;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200;0.000200
(a;0.000045;0.038057;0.000764;0.006380;0.047043;0.072250;0.019366;0.000090;0.101051;0.000090;0.040753;0.060658;0.000225;0.000090;0.417326;0.004583;0.028397;0.000090;0.000090;0.008807;0.000225;0.058995;0.002426;0.022556;0.000270;0.014648;0.053783;0.000180;0.000090;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045;0.000045
(y;0.000274;0.000274;0.000274;0.003559;0.000274;0.000821;0.000274;0.187517;0.000274;0.783466;0.000274;0.000274;0.012592;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.001642;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274;0.000274
(n;0.000272;0.000272;0.000272;0.057734;0.001089;0.000272;0.001362;0.261166;0.000272;0.477941;0.000272;0.002451;0.119009;0.001634;0.000272;0.000272;0.001362;0.000272;0.000272;0.063725;0.000272;0.000545;0.000272;0.000545;0.000272;0.001089;0.001906;0.000272;0.000272;0.000272;0.000272;0.000272;0.000272;0.000272;0.000272;0.000272;0.000272;0.000272;0.000272;0.000545;0.000272;0.000272;0.000272;0.000272
(w;0.000079;0.000157;0.293868;0.128381;0.000079;0.000236;0.000079;0.292217;0.000079;0.095440;0.000079;0.011635;0.175000;0.000157;0.000157;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000157;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079;0.000079
(g;0.000342;0.001027;0.002739;0.064704;0.000685;0.005478;0.000342;0.162958;0.000685;0.399178;0.000342;0.158165;0.065046;0.004793;0.000342;0.000342;0.000342;0.000342;0.000342;0.086957;0.000342;0.036289;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342;0.001027;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342;0.000342
();0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727;0.022727
