unsmoothed;3
(;w;i;e;d;r;a;u;f;n;h;m; ;s;t;z;g;p;o;);c;k;l;ä;,;.;b;ü;j;ß;ö;v;x;?;q;!;y;#
((;0.003110;0.063359;0.114137;0.095095;0.156379;0.035145;0.048697;0.031866;0.028581;0.055360;0.050964;0.024514;0.066068;0.045491;0.025339;0.021563;0.019514;0.005036;0.012770;0.003110;0.011978;0.007949;0.018504;0.003697;0.005454;0.002957;0.017112;0.003317;0.006060;0.001956;0.001104;0.013207;0.000156;0.000072;0.000075;0.000177;0.000100;0.000034
(w;0.002073;0.004239;0.391523;0.209646;0.014586;0.022096;0.080028;0.023469;0.004720;0.029240;0.012139;0.007343;0.044208;0.016327;0.016559;0.003375;0.009009;0.002691;0.038806;0.002073;0.007985;0.003966;0.008669;0.017922;0.003636;0.004253;0.005075;0.008561;0.000373;0.001304;0.001062;0.002471;0.000104;0.000048;0.000050;0.000118;0.000229;0.000023
(i;0.002073;0.004239;0.024481;0.115680;0.019820;0.036157;0.015948;0.011414;0.006757;0.167656;0.018795;0.030856;0.047865;0.044591;0.051952;0.004535;0.025079;0.003370;0.025812;0.002073;0.294479;0.007700;0.013620;0.002188;0.003834;0.002028;0.006659;0.001878;0.000401;0.001926;0.000736;0.004961;0.000132;0.000048;0.000050;0.000118;0.000066;0.000023
(e;0.002073;0.006294;0.137515;0.045539;0.019201;0.145336;0.014473;0.016458;0.007281;0.120727;0.019275;0.014381;0.092363;0.232133;0.023598;0.004540;0.016983;0.003319;0.008138;0.002119;0.010009;0.005315;0.017471;0.002223;0.006457;0.002999;0.014724;0.001878;0.000465;0.002055;0.000736;0.002900;0.000656;0.000063;0.000096;0.000118;0.000066;0.000023
(d;0.002073;0.005045;0.229656;0.267688;0.014633;0.028182;0.154527;0.019021;0.004815;0.032319;0.012023;0.007627;0.086399;0.022817;0.018028;0.003375;0.009151;0.003070;0.024935;0.002073;0.007985;0.004013;0.014402;0.002178;0.006621;0.004577;0.005169;0.002257;0.000373;0.001304;0.000736;0.002471;0.000104;0.000048;0.000050;0.000118;0.000066;0.000070
(r;0.002073;0.007116;0.210105;0.252729;0.031786;0.029258;0.040255;0.028256;0.009380;0.037809;0.016260;0.010720;0.137175;0.029274;0.032196;0.005752;0.015045;0.003723;0.021700;0.002073;0.010174;0.010408;0.015299;0.007635;0.006857;0.002722;0.011923;0.005506;0.000404;0.001304;0.001017;0.003253;0.000104;0.000048;0.000050;0.000306;0.000098;0.000210
(a;0.002073;0.004440;0.024875;0.045063;0.016739;0.065952;0.017053;0.187026;0.013685;0.107930;0.028095;0.038628;0.072012;0.037511;0.042952;0.004727;0.024634;0.003843;0.007846;0.002073;0.021106;0.008723;0.096746;0.002131;0.003936;0.002071;0.092529;0.001878;0.000373;0.018832;0.000736;0.002972;0.000404;0.000048;0.000050;0.000118;0.000166;0.000023
(u;0.002073;0.004608;0.024609;0.052069;0.015323;0.056081;0.016256;0.011428;0.026414;0.480347;0.013082;0.050460;0.069918;0.041831;0.030510;0.003621;0.012758;0.003858;0.007969;0.002073;0.020276;0.011156;0.011312;0.002315;0.004005;0.002340;0.007103;0.001878;0.000373;0.009846;0.000736;0.002901;0.000165;0.000048;0.000050;0.000118;0.000066;0.000023
(f;0.002073;0.004679;0.038624;0.096726;0.014586;0.322114;0.043070;0.018271;0.024337;0.030118;0.012415;0.010124;0.079472;0.017937;0.055353;0.004253;0.015011;0.002837;0.042102;0.002073;0.007985;0.004258;0.014086;0.008865;0.004514;0.002411;0.005953;0.103140;0.000959;0.001304;0.007470;0.002471;0.000104;0.000048;0.000050;0.000118;0.000066;0.000023
(n;0.002073;0.005137;0.052269;0.074131;0.054761;0.022640;0.225370;0.131936;0.007958;0.038811;0.013819;0.007839;0.154361;0.029774;0.035158;0.007487;0.041858;0.002714;0.011249;0.002168;0.008434;0.008290;0.009142;0.003100;0.021171;0.012322;0.006067;0.002327;0.000397;0.001304;0.001043;0.003369;0.000104;0.000402;0.000073;0.000851;0.000066;0.000023
(h;0.002073;0.006374;0.083496;0.407114;0.014990;0.054351;0.054219;0.016956;0.005297;0.036222;0.013361;0.014671;0.102784;0.021635;0.066585;0.003894;0.009875;0.002806;0.011193;0.002131;0.007985;0.006043;0.021421;0.009978;0.006752;0.002721;0.005190;0.001936;0.000488;0.001304;0.002813;0.002586;0.000104;0.000105;0.000107;0.000176;0.000239;0.000023
(m;0.002073;0.005180;0.228661;0.234473;0.015150;0.022379;0.084261;0.020467;0.005756;0.029616;0.011976;0.053268;0.113968;0.022538;0.022112;0.003846;0.009856;0.006831;0.026968;0.002073;0.008174;0.005095;0.009705;0.003449;0.005330;0.002536;0.006769;0.007336;0.000373;0.001304;0.025222;0.002659;0.000104;0.000048;0.000050;0.000118;0.000066;0.000211
( ;0.003110;0.035328;0.066994;0.102377;0.110103;0.043758;0.055996;0.043576;0.023671;0.057439;0.033355;0.031182;0.071198;0.059460;0.029616;0.023136;0.031023;0.017850;0.014923;0.003157;0.013296;0.021998;0.021217;0.005150;0.006090;0.003593;0.031804;0.006112;0.003901;0.001956;0.001575;0.025122;0.000179;0.000072;0.000381;0.000177;0.000100;0.000034
