smoothed;3
(;w;i;e;d;r;a;u;f;n;h;m; ;s;t;z;g;p;o;);c;k;l;ä;,;.;b;ü;j;ß;ö;v;x;?;q;!;y;#
((;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
(w;0.006579;0.006579;0.526316;0.144737;0.006579;0.006579;0.078947;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.013158;0.006579;0.006579;0.006579;0.006579;0.019737;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579;0.006579
(i;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.191710;0.010363;0.041451;0.005181;0.010363;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.575130;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181;0.005181
(e;0.010753;0.010753;0.150538;0.010753;0.010753;0.096774;0.010753;0.010753;0.010753;0.021505;0.010753;0.010753;0.010753;0.354839;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.021505;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753;0.010753
(d;0.003257;0.003257;0.358306;0.214984;0.003257;0.013029;0.263844;0.006515;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.039088;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257;0.003257
(r;0.023810;0.023810;0.071429;0.071429;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810;0.023810
(a;0.010638;0.010638;0.010638;0.010638;0.010638;0.031915;0.010638;0.234043;0.010638;0.063830;0.021277;0.031915;0.053191;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.106383;0.010638;0.010638;0.010638;0.138298;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638;0.010638
(u;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.426471;0.014706;0.044118;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706;0.014706
(f;0.012346;0.012346;0.012346;0.037037;0.012346;0.432099;0.024691;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.086420;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346;0.012346
(n;0.016393;0.016393;0.032787;0.016393;0.016393;0.016393;0.245902;0.147541;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393;0.016393
(h;0.009615;0.009615;0.096154;0.548077;0.009615;0.009615;0.019231;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615;0.009615
(m;0.015385;0.015385;0.200000;0.153846;0.015385;0.015385;0.076923;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.030769;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.030769;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385;0.015385
( ;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316;0.026316
(s;0.012500;0.012500;0.225000;0.100000;0.012500;0.012500;0.012500;0.037500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.162500;0.012500;0.050000;0.012500;0.012500;0.025000;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500;0.012500
(t;0.025641;0.025641;0.025641;0.025641;0.025641;0.051282;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641;0.025641
(z;0.014085;0.154930;0.014085;0.014085;0.014085;0.014085;0.014085;0.338028;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085;0.014085
