smoothed;2
(;r;e;s;u;m;p;t;i;o;n; ;f;h;);d;c;l;a;j;y;b;,;w;k;g;v;.;q;x;?;z;ó;ä;#
(;0.000966;0.008696;0.009662;0.028019;0.005797;0.100483;0.017391;0.245411;0.222222;0.023188;0.014493;0.000966;0.039614;0.025121;0.000966;0.006763;0.015459;0.014493;0.068599;0.002899;0.013527;0.019324;0.000966;0.096618;0.001932;0.003865;0.003865;0.000966;0.001932;0.000966;0.000966;0.000966;0.000966;0.000966;0.000966
r;0.000122;0.009275;0.277032;0.041128;0.023066;0.015377;0.003051;0.072980;0.068099;0.109104;0.013302;0.152185;0.000854;0.000488;0.000122;0.022577;0.006956;0.018184;0.090066;0.000122;0.021357;0.001464;0.017208;0.002685;0.009519;0.010373;0.005736;0.006102;0.000122;0.000122;0.000122;0.000122;0.000732;0.000122;0.000122
e;0.000062;0.099748;0.024937;0.090389;0.012930;0.028631;0.014100;0.022166;0.006958;0.002401;0.110831;0.315375;0.011514;0.001724;0.000123;0.051783;0.035958;0.029185;0.041808;0.000431;0.005418;0.003756;0.014285;0.005849;0.001108;0.020812;0.019519;0.008805;0.005357;0.013361;0.000185;0.000308;0.000062;0.000062;0.000062
s;0.000119;0.000949;0.101922;0.065852;0.035952;0.004746;0.029900;0.109041;0.103583;0.042240;0.000119;0.352041;0.001780;0.029544;0.000712;0.001661;0.009136;0.006051;0.030138;0.000119;0.001661;0.000593;0.036308;0.001187;0.004865;0.000237;0.000119;0.027527;0.000119;0.000119;0.000949;0.000119;0.000119;0.000119;0.000356
u;0.000268;0.205101;0.040000;0.129396;0.000537;0.027114;0.040268;0.080805;0.038389;0.001342;0.123758;0.031946;0.003758;0.000268;0.000268;0.012081;0.060940;0.125369;0.034362;0.000268;0.000268;0.017987;0.004027;0.000268;0.000805;0.016376;0.000268;0.001342;0.000268;0.000537;0.000537;0.000268;0.000268;0.000268;0.000268
m;0.000261;0.047308;0.272086;0.018557;0.036330;0.105332;0.091218;0.000261;0.121275;0.073968;0.000784;0.067433;0.000784;0.000261;0.000261;0.000261;0.000784;0.000784;0.093570;0.000261;0.020910;0.032410;0.006534;0.000261;0.000261;0.000261;0.000261;0.004966;0.000261;0.000261;0.000261;0.000261;0.000261;0.000261;0.000784
p;0.000295;0.224978;0.172424;0.006495;0.017124;0.020077;0.054621;0.024801;0.016534;0.219073;0.000295;0.030706;0.000295;0.008267;0.000886;0.000295;0.000295;0.093593;0.095955;0.000295;0.000886;0.000295;0.002952;0.000295;0.000590;0.000590;0.000295;0.004429;0.000295;0.000295;0.000295;0.000295;0.000295;0.000590;0.000295
t;0.000080;0.037618;0.092845;0.023771;0.022011;0.001121;0.000240;0.013126;0.112774;0.091164;0.001121;0.187130;0.000160;0.306227;0.000080;0.000160;0.001361;0.007924;0.044261;0.000080;0.018169;0.000080;0.021931;0.005763;0.000080;0.000160;0.000080;0.008804;0.000080;0.000080;0.000720;0.000400;0.000080;0.000080;0.000240
i;0.000099;0.022788;0.032101;0.152977;0.001387;0.028436;0.006440;0.110671;0.000297;0.131675;0.227088;0.035074;0.015456;0.000198;0.000099;0.034380;0.070940;0.029724;0.030516;0.000198;0.000099;0.008917;0.000396;0.000099;0.011097;0.011394;0.032101;0.000396;0.000099;0.001684;0.000099;0.002675;0.000099;0.000099;0.000198
o;0.000096;0.127747;0.004511;0.024954;0.093195;0.066417;0.045110;0.036184;0.009310;0.014973;0.212017;0.121605;0.099146;0.004415;0.000096;0.018908;0.016700;0.023803;0.004223;0.001728;0.007294;0.012285;0.002975;0.024091;0.002208;0.010942;0.012957;0.000864;0.000096;0.000672;0.000096;0.000096;0.000096;0.000096;0.000096
n;0.000107;0.000107;0.068755;0.063606;0.008366;0.001823;0.000215;0.148772;0.034967;0.044728;0.008903;0.256784;0.007187;0.000858;0.000429;0.135471;0.045586;0.008688;0.037756;0.000858;0.005792;0.000215;0.013622;0.000215;0.007723;0.082162;0.005470;0.009654;0.000215;0.000215;0.000215;0.000215;0.000107;0.000107;0.000107
 ;0.000040;0.039730;0.032435;0.056899;0.012768;0.037708;0.053925;0.180452;0.082554;0.073473;0.018914;0.008089;0.035210;0.026090;0.000079;0.027161;0.051824;0.017565;0.112054;0.003331;0.007930;0.036360;0.000753;0.055115;0.002736;0.015662;0.006979;0.001031;0.002498;0.000079;0.000079;0.000357;0.000040;0.000040;0.000040
f;0.000368;0.038278;0.072874;0.000736;0.064409;0.001472;0.000368;0.017667;0.099742;0.185499;0.000368;0.398969;0.047847;0.000736;0.000368;0.000368;0.000368;0.012146;0.043062;0.000368;0.004049;0.000368;0.002576;0.001472;0.000368;0.000368;0.000368;0.001840;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368;0.000368
h;0.000169;0.007621;0.481118;0.001863;0.004064;0.001185;0.000169;0.011854;0.137341;0.057917;0.002202;0.093649;0.000169;0.000339;0.000169;0.000847;0.000339;0.002710;0.179509;0.000339;0.005758;0.000169;0.005588;0.000508;0.000169;0.000169;0.000169;0.002202;0.000169;0.000169;0.000169;0.000169;0.000169;0.000677;0.000169
);0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571;0.028571
d;0.000236;0.014894;0.179905;0.043735;0.027896;0.015130;0.001891;0.006147;0.087707;0.038534;0.001418;0.443499;0.000946;0.000709;0.000946;0.006619;0.000236;0.007565;0.052955;0.000709;0.007092;0.000473;0.030024;0.000709;0.000473;0.003310;0.005910;0.017494;0.000236;0.000236;0.000946;0.000236;0.000236;0.000236;0.000709
c;0.000245;0.025704;0.138311;0.001958;0.038923;0.000245;0.000245;0.120196;0.081028;0.264627;0.000245;0.032558;0.000245;0.108201;0.000245;0.000245;0.026438;0.031824;0.086169;0.000245;0.025214;0.000245;0.001224;0.000245;0.010037;0.000245;0.000245;0.002448;0.000734;0.000245;0.000245;0.000245;0.000245;0.000245;0.000245
l;0.000210;0.004624;0.139134;0.030685;0.018495;0.000420;0.002522;0.016604;0.142287;0.063892;0.000631;0.189786;0.009248;0.000210;0.000210;0.056116;0.000841;0.108449;0.086591;0.000210;0.100252;0.000420;0.009668;0.003573;0.000631;0.000631;0.007566;0.004414;0.000210;0.000210;0.000210;0.000210;0.000210;0.000420;0.000210
a;0.000106;0.109644;0.000426;0.083670;0.011177;0.041197;0.017777;0.163615;0.027464;0.000213;0.181605;0.049819;0.010858;0.000319;0.000213;0.033106;0.034171;0.121673;0.000106;0.001916;0.021610;0.018842;0.001171;0.004471;0.018735;0.017245;0.024377;0.001916;0.000106;0.001810;0.000106;0.000213;0.000106;0.000106;0.000106
j;0.004292;0.004292;0.377682;0.004292;0.244635;0.004292;0.004292;0.004292;0.008584;0.193133;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.042918;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.008584;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292;0.004292
y;0.000510;0.000510;0.040327;0.034201;0.000510;0.032670;0.005615;0.005105;0.009188;0.083716;0.004084;0.632976;0.001021;0.000510;0.001531;0.001531;0.001021;0.000510;0.000510;0.000510;0.000510;0.000510;0.082185;0.001021;0.000510;0.000510;0.000510;0.053599;0.000510;0.000510;0.001021;0.000510;0.000510;0.000510;0.000510
b;0.000614;0.031308;0.410068;0.035605;0.089012;0.005525;0.000614;0.005525;0.029466;0.047268;0.000614;0.005525;0.000614;0.000614;0.000614;0.000614;0.001228;0.126458;0.077962;0.038674;0.081031;0.000614;0.000614;0.000614;0.000614;0.000614;0.001842;0.001842;0.000614;0.000614;0.000614;0.000614;0.000614;0.000614;0.000614
,;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.979381;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606;0.000606
