unsmoothed;3
(;r;e;s;u;m;p;t;i;o;n; ;f;h;);d;c;l;a;j;y;b;,;w;k;g;v;.;q;x;?;z;ó;ä;#
((;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(r;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(e;0.000000;0.000000;0.000000;0.000000;0.111111;0.111111;0.000000;0.000000;0.111111;0.000000;0.111111;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.444444;0.000000;0.111111;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(s;0.000000;0.000000;0.250000;0.000000;0.142857;0.035714;0.000000;0.071429;0.035714;0.321429;0.000000;0.000000;0.000000;0.107143;0.000000;0.000000;0.000000;0.000000;0.035714;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(u;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(m;0.000000;0.621359;0.009709;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.029126;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.252427;0.000000;0.087379;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(p;0.000000;0.176471;0.176471;0.000000;0.058824;0.000000;0.000000;0.000000;0.000000;0.058824;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.176471;0.352941;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(t;0.000000;0.007905;0.003953;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.023715;0.000000;0.000000;0.000000;0.960474;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.003953;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(i;0.000000;0.000000;0.000000;0.008734;0.000000;0.000000;0.000000;0.192140;0.000000;0.000000;0.231441;0.510917;0.056769;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
(o;0.000000;0.043478;0.000000;0.000000;0.304348;0.000000;0.000000;0.000000;0.000000;0.000000;0.478261;0.000000;0.086957;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.086957;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
