smoothed;2
(;r;e;a;n;u;d;c;i;ó; ;l;p;í;o;s;);m;t;,;v;b;y;ñ;q;h;.;g;f;á;x;z;k;¿;é;?;j;ú;w;#
(;0.000962;0.010577;0.231731;0.057692;0.047115;0.006731;0.036538;0.048077;0.007692;0.000962;0.000962;0.085577;0.112500;0.000962;0.007692;0.155769;0.000962;0.029808;0.035577;0.000962;0.003846;0.003846;0.026923;0.000962;0.015385;0.018269;0.010577;0.004808;0.006731;0.000962;0.000962;0.000962;0.000962;0.016346;0.003846;0.000962;0.000962;0.000962;0.001923;0.000962
r;0.000106;0.022241;0.201017;0.182694;0.005825;0.023618;0.017369;0.012709;0.093518;0.003919;0.131858;0.015781;0.001589;0.020229;0.124656;0.009638;0.000212;0.032302;0.037280;0.009002;0.006037;0.001059;0.000212;0.000106;0.004342;0.000106;0.008473;0.010803;0.000635;0.014721;0.000106;0.002542;0.000212;0.000106;0.003601;0.000106;0.000953;0.000106;0.000106;0.000106
e;0.000053;0.080303;0.000947;0.012998;0.165974;0.008420;0.016524;0.044046;0.000947;0.000053;0.259275;0.073041;0.004789;0.000158;0.008841;0.174657;0.000158;0.031574;0.014156;0.013261;0.007841;0.009314;0.000053;0.012366;0.002736;0.000158;0.003526;0.025417;0.007367;0.000105;0.010788;0.002947;0.000053;0.000053;0.000053;0.000210;0.006683;0.000053;0.000053;0.000053
a;0.000067;0.109860;0.001214;0.000067;0.074791;0.007418;0.078095;0.058538;0.000270;0.000135;0.294241;0.069598;0.013555;0.003574;0.000337;0.123280;0.000270;0.051254;0.022930;0.016186;0.005058;0.021378;0.009644;0.004586;0.001753;0.002091;0.011330;0.004923;0.001888;0.000067;0.000067;0.004316;0.000270;0.000067;0.000202;0.000270;0.005193;0.001079;0.000067;0.000067
n;0.000104;0.000208;0.073140;0.078662;0.001250;0.015420;0.057095;0.061575;0.042926;0.005105;0.298708;0.000521;0.000104;0.000938;0.066055;0.038966;0.000313;0.005209;0.187956;0.013961;0.004480;0.000208;0.000104;0.000104;0.002396;0.000313;0.008335;0.007397;0.019587;0.001771;0.000104;0.002917;0.000417;0.000104;0.000208;0.000417;0.001459;0.001250;0.000104;0.000104
u;0.000197;0.101381;0.335897;0.039842;0.180079;0.000394;0.021302;0.049901;0.045759;0.000394;0.025049;0.033925;0.019329;0.005523;0.000986;0.041617;0.000197;0.017160;0.021499;0.000986;0.002170;0.010059;0.018540;0.000197;0.000197;0.000197;0.000197;0.009270;0.003353;0.001183;0.000394;0.002564;0.000197;0.000197;0.005523;0.000197;0.003550;0.000197;0.000197;0.000197
d;0.000147;0.007062;0.503457;0.140945;0.000147;0.016184;0.000294;0.000147;0.084155;0.000588;0.035457;0.000294;0.000147;0.006179;0.185964;0.000294;0.000147;0.002207;0.001765;0.004119;0.000736;0.000294;0.000147;0.000147;0.000883;0.000441;0.003678;0.000147;0.000147;0.000294;0.000147;0.000147;0.000294;0.000147;0.001765;0.000147;0.000294;0.000147;0.000147;0.000147
c;0.000165;0.024326;0.079100;0.133874;0.002482;0.077114;0.000165;0.008936;0.275029;0.002813;0.002482;0.019527;0.000165;0.008274;0.259143;0.000165;0.000165;0.000165;0.068013;0.000165;0.000165;0.000165;0.000165;0.000165;0.000165;0.031110;0.000662;0.000165;0.000165;0.001489;0.000165;0.000165;0.000827;0.000165;0.001158;0.000165;0.000165;0.000165;0.000165;0.000165
i;0.000115;0.028384;0.083189;0.075689;0.095535;0.003577;0.095189;0.093458;0.000346;0.112611;0.017307;0.015230;0.008538;0.000115;0.092535;0.075920;0.000115;0.041537;0.040152;0.000923;0.033576;0.014653;0.000115;0.000115;0.001154;0.000115;0.000346;0.020999;0.015922;0.000231;0.000115;0.014192;0.000692;0.000115;0.015461;0.000115;0.001269;0.000115;0.000115;0.000115
ó;0.000808;0.008892;0.000808;0.000808;0.795473;0.000808;0.016168;0.001617;0.000808;0.000808;0.034762;0.034762;0.004850;0.000808;0.000808;0.006467;0.000808;0.048504;0.002425;0.000808;0.004850;0.000808;0.000808;0.000808;0.000808;0.000808;0.000808;0.005659;0.000808;0.000808;0.012935;0.000808;0.000808;0.000808;0.000808;0.000808;0.001617;0.000808;0.000808;0.000808
