unsmoothed;2
(;r;e;a;n;u;d;c;i;ó; ;l;p;í;o;s;);m;t;,;v;b;y;ñ;q;h;.;g;f;á;x;z;k;¿;é;?;j;ú;w;#
(;0.000000;0.010000;0.240000;0.059000;0.048000;0.006000;0.037000;0.049000;0.007000;0.000000;0.000000;0.088000;0.116000;0.000000;0.007000;0.161000;0.000000;0.030000;0.036000;0.000000;0.003000;0.003000;0.027000;0.000000;0.015000;0.018000;0.010000;0.004000;0.006000;0.000000;0.000000;0.000000;0.000000;0.016000;0.003000;0.000000;0.000000;0.000000;0.001000;0.000000
r;0.000000;0.022229;0.201766;0.183365;0.005743;0.023612;0.017337;0.012657;0.093810;0.003829;0.132312;0.015741;0.001489;0.020208;0.125080;0.009572;0.000106;0.032334;0.037332;0.008934;0.005956;0.000957;0.000106;0.000000;0.004254;0.000000;0.008402;0.010742;0.000532;0.014678;0.000000;0.002446;0.000106;0.000000;0.003510;0.000000;0.000851;0.000000;0.000000;0.000000
e;0.000000;0.080420;0.000896;0.012973;0.166271;0.008385;0.016506;0.044086;0.000896;0.000000;0.259769;0.073142;0.004746;0.000105;0.008807;0.174972;0.000105;0.031588;0.014133;0.013236;0.007805;0.009281;0.000000;0.012340;0.002689;0.000105;0.003480;0.025418;0.007330;0.000053;0.010758;0.002900;0.000000;0.000000;0.000000;0.000158;0.006645;0.000000;0.000000;0.000000
a;0.000000;0.110089;0.001150;0.000000;0.074926;0.007371;0.078239;0.058629;0.000203;0.000068;0.294969;0.069719;0.013524;0.003516;0.000270;0.123546;0.000203;0.051325;0.022924;0.016162;0.005004;0.021369;0.009602;0.004531;0.001691;0.002029;0.011293;0.004869;0.001826;0.000000;0.000000;0.004260;0.000203;0.000000;0.000135;0.000203;0.005139;0.001014;0.000000;0.000000
n;0.000000;0.000105;0.073342;0.078887;0.001151;0.015380;0.057230;0.061728;0.043001;0.005022;0.299854;0.000418;0.000000;0.000837;0.066227;0.039025;0.000209;0.005127;0.188638;0.013915;0.004394;0.000105;0.000000;0.000000;0.002302;0.000209;0.008265;0.007324;0.019565;0.001674;0.000000;0.002825;0.000314;0.000000;0.000105;0.000314;0.001360;0.001151;0.000000;0.000000
u;0.000000;0.101988;0.338370;0.039960;0.181312;0.000199;0.021272;0.050099;0.045924;0.000199;0.025050;0.033996;0.019284;0.005368;0.000795;0.041750;0.000000;0.017097;0.021471;0.000795;0.001988;0.009940;0.018489;0.000000;0.000000;0.000000;0.000000;0.009145;0.003181;0.000994;0.000199;0.002386;0.000000;0.000000;0.005368;0.000000;0.003380;0.000000;0.000000;0.000000
d;0.000000;0.006956;0.506290;0.141631;0.000000;0.016131;0.000148;0.000000;0.084505;0.000444;0.035519;0.000148;0.000000;0.006068;0.186917;0.000148;0.000000;0.002072;0.001628;0.003996;0.000592;0.000148;0.000000;0.000000;0.000740;0.000296;0.003552;0.000000;0.000000;0.000148;0.000000;0.000000;0.000148;0.000000;0.001628;0.000000;0.000148;0.000000;0.000000;0.000000
c;0.000000;0.024321;0.079460;0.134599;0.002332;0.077461;0.000000;0.008829;0.276695;0.002665;0.002332;0.019490;0.000000;0.008163;0.260703;0.000000;0.000000;0.000000;0.068299;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.031151;0.000500;0.000000;0.000000;0.001333;0.000000;0.000000;0.000666;0.000000;0.001000;0.000000;0.000000;0.000000;0.000000;0.000000
i;0.000000;0.028399;0.083459;0.075924;0.095862;0.003477;0.095514;0.093775;0.000232;0.113017;0.017271;0.015185;0.008462;0.000000;0.092848;0.076156;0.000000;0.041614;0.040223;0.000811;0.033615;0.014605;0.000000;0.000000;0.001043;0.000000;0.000232;0.020981;0.015880;0.000116;0.000000;0.014142;0.000580;0.000000;0.015417;0.000000;0.001159;0.000000;0.000000;0.000000
ó;0.000000;0.008354;0.000000;0.000000;0.821220;0.000000;0.015873;0.000835;0.000000;0.000000;0.035088;0.035088;0.004177;0.000000;0.000000;0.005848;0.000000;0.049290;0.001671;0.000000;0.004177;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.005013;0.000000;0.000000;0.012531;0.000000;0.000000;0.000000;0.000000;0.000000;0.000835;0.000000;0.000000;0.000000
 ;0.000000;0.031527;0.131278;0.068761;0.023750;0.025512;0.123003;0.072745;0.021528;0.000383;0.004635;0.101053;0.093239;0.000038;0.015476;0.068991;0.000038;0.036736;0.032791;0.001111;0.010534;0.006895;0.029075;0.000000;0.043057;0.023980;0.001073;0.008657;0.016319;0.000575;0.000077;0.001188;0.000613;0.000230;0.001264;0.000038;0.001992;0.001532;0.000268;0.000038
l;0.000000;0.000145;0.108891;0.343325;0.000000;0.021575;0.002896;0.001448;0.057486;0.001014;0.221691;0.024616;0.000434;0.018679;0.137562;0.000579;0.000145;0.008978;0.019548;0.008543;0.003330;0.000145;0.000290;0.000000;0.000869;0.000000;0.006806;0.009123;0.000579;0.001014;0.000000;0.000000;0.000000;0.000000;0.000290;0.000000;0.000000;0.000000;0.000000;0.000000
p;0.000000;0.227185;0.169068;0.169068;0.000000;0.061720;0.000000;0.002161;0.031940;0.001441;0.000240;0.065562;0.001441;0.001921;0.249760;0.000480;0.000000;0.000000;0.012008;0.000000;0.000000;0.000000;0.000240;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000961;0.000000;0.000000;0.000240;0.000000;0.000720;0.000000;0.000000;0.003602;0.000000;0.000240
í;0.000000;0.008772;0.002924;0.423977;0.036550;0.000000;0.013158;0.048246;0.000000;0.000000;0.086257;0.000000;0.000000;0.000000;0.049708;0.084795;0.000000;0.005848;0.176901;0.029240;0.002924;0.001462;0.000000;0.000000;0.000000;0.000000;0.005848;0.000000;0.021930;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001462;0.000000;0.000000;0.000000
o;0.000000;0.130003;0.001854;0.000253;0.129076;0.000253;0.026961;0.024518;0.000421;0.000000;0.265144;0.027804;0.026287;0.000084;0.001264;0.188137;0.000169;0.055270;0.012638;0.030752;0.002865;0.030500;0.008678;0.000000;0.000337;0.003960;0.018199;0.010279;0.002528;0.000000;0.000758;0.000253;0.000000;0.000000;0.000000;0.000674;0.000084;0.000000;0.000000;0.000000
s;0.000000;0.007817;0.115888;0.042629;0.000091;0.031358;0.002272;0.009362;0.096801;0.003908;0.405290;0.002999;0.029086;0.004636;0.051082;0.000000;0.000909;0.003999;0.122523;0.037357;0.000273;0.000182;0.000000;0.000000;0.000273;0.000091;0.026086;0.001363;0.002727;0.000091;0.000000;0.000000;0.000000;0.000000;0.000364;0.000364;0.000000;0.000000;0.000182;0.000000
);0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
m;0.000000;0.000000;0.245457;0.132188;0.000249;0.044063;0.000000;0.000498;0.176251;0.000498;0.001992;0.000000;0.105551;0.009460;0.163306;0.000747;0.000000;0.000000;0.000000;0.000498;0.000000;0.073936;0.000000;0.000000;0.000000;0.000000;0.000498;0.000000;0.000000;0.040329;0.000000;0.000000;0.000000;0.000000;0.001494;0.000000;0.000000;0.002987;0.000000;0.000000
t;0.000000;0.133406;0.252770;0.229833;0.000000;0.044157;0.000000;0.000312;0.131066;0.002184;0.001248;0.000156;0.000000;0.002809;0.182244;0.000156;0.000000;0.000000;0.000624;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000936;0.000156;0.000000;0.000000;0.010454;0.000000;0.000624;0.000000;0.000000;0.005461;0.000000;0.000000;0.001404;0.000000;0.000000
,;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.998825;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000588;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000588;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
v;0.000000;0.000000;0.257406;0.267620;0.000000;0.004086;0.000000;0.000000;0.199183;0.001021;0.000000;0.000000;0.000000;0.028601;0.233912;0.000000;0.000000;0.000000;0.000000;0.001021;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.007150;0.000000;0.000000;0.000000;0.000000;0.000000
b;0.000000;0.231715;0.089968;0.172168;0.000000;0.047896;0.000000;0.000647;0.177346;0.001294;0.003236;0.146278;0.000000;0.009709;0.035599;0.029773;0.000000;0.000647;0.001294;0.000647;0.004531;0.000000;0.000000;0.000000;0.000000;0.000000;0.000647;0.000000;0.000000;0.002589;0.000000;0.000000;0.000000;0.000000;0.001294;0.000000;0.042718;0.000000;0.000000;0.000000
y;0.000000;0.000000;0.045093;0.087533;0.002653;0.026525;0.000000;0.000000;0.000000;0.002653;0.724138;0.000000;0.000000;0.000000;0.070734;0.000000;0.000000;0.000884;0.000000;0.034483;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.003537;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001768;0.000000;0.000000;0.000000;0.000000;0.000000
ñ;0.000000;0.000000;0.003322;0.189369;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.807309;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
q;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
h;0.000000;0.011892;0.164324;0.562162;0.000000;0.023784;0.000000;0.000000;0.015135;0.000000;0.006486;0.001081;0.000000;0.003243;0.185946;0.000000;0.000000;0.000000;0.001081;0.011892;0.000000;0.000000;0.002162;0.000000;0.000000;0.001081;0.003243;0.000000;0.000000;0.001081;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001081;0.000000;0.000000;0.004324
.;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.068999;0.000000;0.000000;0.000000;0.000000;0.000000;0.929057;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.001944;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
g;0.000000;0.230496;0.056028;0.163121;0.017021;0.214184;0.000000;0.000000;0.195035;0.001418;0.001418;0.016312;0.000000;0.009220;0.084397;0.000000;0.000000;0.000000;0.000709;0.001418;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000709;0.000000;0.000000;0.000709;0.000000;0.000000;0.000000;0.000000;0.000709;0.000000;0.000000;0.005674;0.000000;0.001418
f;0.000000;0.062257;0.161479;0.050584;0.000000;0.097276;0.000000;0.000000;0.257782;0.002918;0.000000;0.031128;0.000000;0.009728;0.300584;0.000000;0.000000;0.002918;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000973;0.000000;0.000000;0.000973;0.000000;0.000000;0.000000;0.000000;0.000000;0.021401;0.000000;0.000000;0.000000;0.000000;0.000000
á;0.000000;0.015945;0.000000;0.000000;0.127563;0.002278;0.000000;0.066059;0.000000;0.000000;0.232346;0.050114;0.020501;0.000000;0.000000;0.359909;0.000000;0.045558;0.027335;0.009112;0.000000;0.004556;0.000000;0.000000;0.000000;0.000000;0.002278;0.004556;0.009112;0.000000;0.022779;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
x;0.000000;0.000000;0.007937;0.107143;0.000000;0.000000;0.000000;0.087302;0.380952;0.000000;0.000000;0.000000;0.194444;0.000000;0.011905;0.000000;0.000000;0.000000;0.178571;0.007937;0.003968;0.000000;0.000000;0.000000;0.000000;0.000000;0.003968;0.000000;0.000000;0.007937;0.007937;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
z;0.000000;0.000000;0.000000;0.508824;0.000000;0.002941;0.000000;0.041176;0.011765;0.052941;0.126471;0.000000;0.000000;0.000000;0.211765;0.000000;0.000000;0.000000;0.000000;0.023529;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.005882;0.000000;0.014706;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
k;0.000000;0.000000;0.000000;0.205882;0.000000;0.029412;0.000000;0.000000;0.176471;0.000000;0.029412;0.000000;0.000000;0.000000;0.441176;0.029412;0.000000;0.000000;0.000000;0.029412;0.029412;0.000000;0.000000;0.000000;0.000000;0.029412;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
¿;0.000000;0.000000;0.090909;0.045455;0.000000;0.000000;0.045455;0.227273;0.000000;0.000000;0.000000;0.045455;0.363636;0.000000;0.000000;0.136364;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.045455;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
é;0.000000;0.128743;0.000000;0.000000;0.395210;0.000000;0.008982;0.020958;0.000000;0.000000;0.155689;0.020958;0.011976;0.000000;0.000000;0.143713;0.000000;0.002994;0.011976;0.002994;0.000000;0.008982;0.000000;0.000000;0.000000;0.000000;0.000000;0.053892;0.002994;0.000000;0.026946;0.000000;0.000000;0.000000;0.000000;0.000000;0.002994;0.000000;0.000000;0.000000
?;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
