unsmoothed;3
(;r;e;a;n;u;d;c;i;ó; ;l;p;í;o;s;);m;t;,;v;b;y;ñ;q;h;.;g;f;á;x;z;k;¿;é;?;j;ú;w;#
((;0.002998;0.033187;0.176850;0.073834;0.052654;0.018079;0.038757;0.042497;0.029363;0.003588;0.078262;0.064704;0.070483;0.002050;0.039083;0.113483;0.002998;0.027043;0.037214;0.005102;0.004435;0.006132;0.016890;0.000902;0.011409;0.011773;0.008085;0.006227;0.006082;0.001316;0.000755;0.001019;0.000102;0.008066;0.002501;0.000066;0.001121;0.000330;0.000530;0.000024
(r;0.001999;0.026201;0.338489;0.157344;0.021017;0.051257;0.019284;0.016217;0.048512;0.003669;0.096279;0.019050;0.008819;0.008103;0.065415;0.025180;0.002034;0.018807;0.025253;0.006380;0.003942;0.003407;0.002296;0.000602;0.004024;0.001849;0.004857;0.006399;0.002232;0.005770;0.000504;0.001495;0.000103;0.000044;0.001838;0.000044;0.001031;0.000220;0.000020;0.000016
(e;0.001999;0.046987;0.038199;0.033880;0.185638;0.012848;0.019007;0.026693;0.017541;0.002392;0.138764;0.114572;0.009904;0.001402;0.026658;0.220591;0.002034;0.018558;0.017520;0.007814;0.005947;0.006182;0.002260;0.004715;0.003503;0.001884;0.003217;0.011291;0.005887;0.000895;0.005479;0.001646;0.000068;0.000044;0.000668;0.000097;0.002962;0.000220;0.000020;0.000016
(a;0.001999;0.055488;0.038284;0.029556;0.077977;0.040759;0.079132;0.042840;0.017310;0.002415;0.235243;0.053991;0.041079;0.002539;0.023812;0.108369;0.002066;0.030787;0.020451;0.008789;0.003625;0.010211;0.005461;0.002112;0.008820;0.036423;0.005821;0.004441;0.002663;0.000877;0.000504;0.002100;0.000136;0.000044;0.000713;0.000112;0.002460;0.000558;0.000020;0.000016
(n;0.001999;0.018826;0.076237;0.062796;0.019487;0.056846;0.032581;0.032574;0.031576;0.004066;0.152126;0.013942;0.008322;0.001646;0.316630;0.034997;0.002068;0.009738;0.075689;0.008040;0.003421;0.003123;0.002260;0.000602;0.003374;0.001918;0.004812;0.005259;0.008576;0.001435;0.000504;0.001621;0.000173;0.000044;0.000703;0.000149;0.001201;0.000604;0.000020;0.000016
(u;0.001999;0.052787;0.150690;0.042876;0.412873;0.010119;0.020595;0.028698;0.032550;0.002459;0.060525;0.025135;0.014750;0.003156;0.023987;0.035906;0.001999;0.013728;0.019966;0.003667;0.002619;0.006401;0.008423;0.000602;0.002606;0.001849;0.002057;0.005866;0.003115;0.001209;0.000570;0.001475;0.000068;0.000044;0.002457;0.000044;0.001874;0.000220;0.000020;0.000016
(d;0.001999;0.021110;0.476933;0.085775;0.019103;0.015430;0.013554;0.011998;0.081447;0.002540;0.064014;0.013852;0.008322;0.012399;0.086028;0.022038;0.001999;0.008719;0.013352;0.004734;0.002154;0.003137;0.002260;0.000602;0.002853;0.001947;0.003241;0.002818;0.002055;0.000927;0.000504;0.000680;0.000117;0.000044;0.010219;0.000044;0.000797;0.000220;0.000020;0.000016
(c;0.001999;0.081320;0.071190;0.081225;0.019880;0.069887;0.013505;0.014941;0.109474;0.003281;0.052952;0.020299;0.008322;0.004088;0.341915;0.021989;0.001999;0.008029;0.035576;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.012232;0.002223;0.002818;0.002055;0.001322;0.000504;0.000680;0.000290;0.000044;0.001001;0.000044;0.000747;0.000220;0.000020;0.000016
(i;0.001999;0.028258;0.065720;0.054864;0.241533;0.011212;0.045343;0.043256;0.017320;0.040065;0.057932;0.018864;0.011143;0.001367;0.054671;0.047374;0.001999;0.021900;0.073836;0.003672;0.013162;0.007956;0.002260;0.000602;0.002954;0.001849;0.002134;0.105050;0.007348;0.000916;0.000504;0.005394;0.000261;0.000044;0.005807;0.000044;0.001134;0.000220;0.000020;0.000016
(ó;0.002998;0.032364;0.056850;0.044334;0.439264;0.015079;0.028193;0.018414;0.025863;0.003588;0.095806;0.038248;0.014572;0.002050;0.035583;0.035907;0.002998;0.036688;0.020049;0.005102;0.005023;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.006733;0.003082;0.001316;0.007021;0.001019;0.000102;0.000066;0.001001;0.000066;0.001538;0.000330;0.000030;0.000024
( ;0.002998;0.043950;0.122489;0.078714;0.040529;0.027835;0.081758;0.054369;0.036627;0.003780;0.080579;0.071230;0.059103;0.002069;0.043321;0.067479;0.003017;0.030411;0.035609;0.005658;0.008202;0.008079;0.017928;0.000902;0.025438;0.014763;0.003621;0.008555;0.011241;0.001603;0.000794;0.001613;0.000408;0.000181;0.001633;0.000085;0.002117;0.001096;0.000164;0.000043
(l;0.001999;0.018840;0.093137;0.393997;0.019103;0.021033;0.014470;0.012481;0.036404;0.002730;0.126071;0.022008;0.008467;0.007593;0.126394;0.022182;0.002047;0.011021;0.019325;0.006249;0.003067;0.003136;0.006145;0.000602;0.002896;0.001849;0.004325;0.005859;0.002248;0.001215;0.000504;0.000680;0.000068;0.000044;0.000764;0.000044;0.000747;0.000220;0.000020;0.000016
(p;0.001999;0.106014;0.151728;0.111774;0.019103;0.044994;0.013505;0.012718;0.048004;0.002873;0.052255;0.035657;0.008803;0.002007;0.310998;0.022149;0.001999;0.008029;0.016812;0.003402;0.001957;0.003088;0.002340;0.000602;0.002606;0.001849;0.002057;0.002818;0.002055;0.001198;0.000504;0.000680;0.000148;0.000044;0.000908;0.000044;0.000747;0.001421;0.000020;0.000096
(í;0.002998;0.032573;0.058312;0.256322;0.046929;0.015079;0.026836;0.042120;0.025863;0.003588;0.121390;0.020704;0.012483;0.002050;0.060437;0.075381;0.002998;0.014967;0.107664;0.019722;0.004397;0.005363;0.003390;0.000902;0.003909;0.002773;0.006009;0.004227;0.014047;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001852;0.000330;0.000030;0.000024
(o;0.001999;0.109744;0.038518;0.029640;0.062128;0.010137;0.022492;0.020171;0.017383;0.002392;0.188175;0.023071;0.064704;0.001395;0.024143;0.084701;0.002055;0.026452;0.159879;0.013652;0.002912;0.060874;0.005153;0.000602;0.002719;0.003169;0.008123;0.006244;0.002897;0.000877;0.000756;0.000764;0.000068;0.000044;0.000668;0.000269;0.000775;0.000220;0.000020;0.000016
(s;0.001999;0.025538;0.275287;0.047906;0.019133;0.037069;0.014262;0.027541;0.119902;0.009906;0.187271;0.014802;0.018018;0.009124;0.055242;0.021989;0.002302;0.009362;0.053650;0.015854;0.002048;0.003149;0.002260;0.000602;0.002697;0.001879;0.010752;0.003272;0.002964;0.000908;0.000504;0.000680;0.000068;0.000044;0.000789;0.000165;0.000747;0.000220;0.000081;0.000016
();0.005996;0.056374;0.113701;0.088668;0.057309;0.030159;0.040514;0.035994;0.051727;0.007177;0.156524;0.041408;0.024967;0.004101;0.071166;0.065967;0.005996;0.024086;0.038428;0.010205;0.005870;0.009264;0.006781;0.001805;0.007819;0.005546;0.006170;0.008454;0.006164;0.002632;0.001511;0.002039;0.000204;0.000132;0.002003;0.000132;0.002242;0.000660;0.000060;0.000048
(m;0.001999;0.018791;0.286386;0.084730;0.019186;0.069185;0.013505;0.034386;0.142659;0.002558;0.052839;0.013803;0.043506;0.015631;0.078157;0.022238;0.001999;0.008029;0.012809;0.003568;0.001957;0.027733;0.002260;0.000602;0.002606;0.001849;0.002223;0.002818;0.002055;0.025431;0.000504;0.000680;0.000068;0.000044;0.001166;0.000044;0.000747;0.001216;0.000020;0.000016
(t;0.001999;0.091038;0.159194;0.282093;0.019103;0.024772;0.013505;0.012102;0.070190;0.003120;0.052591;0.013855;0.008322;0.002303;0.167803;0.022041;0.001999;0.008029;0.013017;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.002161;0.002109;0.002818;0.002055;0.004362;0.000504;0.000888;0.000068;0.000044;0.002488;0.000044;0.000747;0.000688;0.000020;0.000016
(,;0.002998;0.028187;0.056850;0.044334;0.028654;0.015079;0.020257;0.017997;0.025863;0.003588;0.577673;0.020704;0.012483;0.002050;0.035583;0.032983;0.002998;0.012043;0.019214;0.005396;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003379;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
(v;0.001999;0.018791;0.123702;0.229873;0.019103;0.011415;0.013505;0.011998;0.083637;0.002733;0.052175;0.013803;0.008322;0.010901;0.323915;0.021989;0.001999;0.008029;0.012809;0.003742;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.002057;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.003051;0.000044;0.000747;0.000220;0.000020;0.000016
(b;0.001999;0.207141;0.067890;0.086945;0.019103;0.026018;0.013505;0.012214;0.298580;0.002824;0.053253;0.062562;0.008322;0.004603;0.035588;0.031913;0.001999;0.008244;0.013241;0.003617;0.003467;0.003088;0.002260;0.000602;0.002606;0.001849;0.002272;0.002818;0.002055;0.001740;0.000504;0.000680;0.000068;0.000044;0.001099;0.000044;0.014987;0.000220;0.000020;0.000016
(y;0.001999;0.018791;0.052931;0.083425;0.019987;0.018895;0.013505;0.011998;0.017242;0.003277;0.552813;0.013803;0.008322;0.001367;0.084337;0.021989;0.001999;0.008323;0.012809;0.027242;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.003236;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.001257;0.000044;0.000747;0.000220;0.000020;0.000016
(ñ;0.002998;0.028187;0.058511;0.139018;0.028654;0.015079;0.020257;0.017997;0.025863;0.003588;0.078262;0.020704;0.012483;0.002050;0.439237;0.032983;0.002998;0.012043;0.019214;0.005102;0.002935;0.004632;0.003390;0.000902;0.003909;0.002773;0.003085;0.004227;0.003082;0.001316;0.000755;0.001019;0.000102;0.000066;0.001001;0.000066;0.001121;0.000330;0.000030;0.000024
(q;0.001999;0.018791;0.037900;0.029556;0.019103;0.676719;0.013505;0.011998;0.017242;0.002392;0.052175;0.013803;0.008322;0.001367;0.023722;0.021989;0.001999;0.008029;0.012809;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.002057;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.000668;0.000044;0.000747;0.000220;0.000020;0.000016
(h;0.001999;0.022755;0.185268;0.402128;0.019103;0.036500;0.013505;0.011998;0.022287;0.002392;0.054337;0.014163;0.008322;0.002448;0.122741;0.021989;0.001999;0.008029;0.013170;0.007366;0.001957;0.003088;0.002981;0.000602;0.002606;0.002209;0.003138;0.002818;0.002055;0.001238;0.000504;0.000680;0.000068;0.000044;0.000668;0.000044;0.001108;0.000220;0.000020;0.001457
(.;0.001999;0.018791;0.037900;0.029556;0.019103;0.010053;0.013505;0.011998;0.017242;0.002392;0.075174;0.013803;0.008322;0.001367;0.023722;0.021989;0.645017;0.008029;0.012809;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.002705;0.002818;0.002055;0.000877;0.000504;0.000680;0.000068;0.000044;0.000668;0.000044;0.000747;0.000220;0.000020;0.000016
(g;0.001999;0.428957;0.056576;0.083930;0.024777;0.081448;0.013505;0.011998;0.082254;0.002865;0.052647;0.019240;0.008322;0.004440;0.051854;0.021989;0.001999;0.008029;0.013046;0.003874;0.001957;0.003088;0.002260;0.000602;0.002606;0.001849;0.002293;0.002818;0.002055;0.001114;0.000504;0.000680;0.000068;0.000044;0.000904;0.000044;0.000747;0.002111;0.000020;0.000489
(f;0.001999;0.150654;0.091727;0.046417;0.019103;0.098034;0.013505;0.011998;0.214280;0.003365;0.052175;0.024179;0.008322;0.060165;0.123917;0.021989;0.001999;0.009001;0.012809;0.003402;0.001957;0.003088;0.002260;0.000602;0.002606;0.002173;0.002057;0.002818;0.002379;0.000877;0.000504;0.000680;0.000068;0.000044;0.007801;0.000044;0.000747;0.000220;0.000020;0.000016
